Node ID,Distance,Conductance,Type,Name,EPSC
0,"[114.15409302358559, 220.9285964056956, 120.38868854121658, 178.37074302601945, 143.43776430954227]","[0.048545187652297705, 2.7958353707117833, 0.04363021279681008, 0.09349676220033572, 0.07636310187649024]",dend,"['L5PCtemplate[0].dend[32]', 'L5PCtemplate[0].dend[72]', 'L5PCtemplate[0].dend[33]', 'L5PCtemplate[0].dend[14]', 'L5PCtemplate[0].dend[58]']",-0.03690862274225992
1,"[120.38868854121658, 134.43247134517557, 116.96455005124055, 104.71130249161499, 68.01074554677353]","[0.08767542135421998, 0.3937965202234075, 0.29221119775847265, 0.18037243255980331, 0.040200255649464806]",dend,"['L5PCtemplate[1].dend[33]', 'L5PCtemplate[1].dend[67]', 'L5PCtemplate[1].dend[40]', 'L5PCtemplate[1].dend[4]', 'L5PCtemplate[1].dend[65]']",-0.028275210299000264
2,"[133.03318673269888, 116.94856380256056, 100.96950177156991, 101.98687132330745, 131.54209788544483]","[0.20661558281117134, 3.03102232555221, 0.017953496108674114, 0.06464481144670653, 0.13123766603362835]",dend,"['L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[82]', 'L5PCtemplate[2].dend[62]']",-0.08690988776294262
3,"[86.19613726756356, 90.61400111749089, 69.15359332682125, 90.61400111749089, 64.34817036737246]","[0.18307694106235187, 1.8815928754160607, 0.8973102523086509, 0.09632951690207897, 0.24927328091714235]",dend,"['L5PCtemplate[3].dend[4]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[6]']",-0.059810515416813814
4,"[158.1431732900972, 109.94421115086885, 155.86712106725082, 146.01110421120347, 25.153635303841966]","[0.4105894033099728, 0.08269356697261733, 0.004021281339274148, 0.016995337770365184, 0.4590537725916284]",dend,"['L5PCtemplate[4].dend[28]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[67]', 'L5PCtemplate[4].dend[69]', 'L5PCtemplate[4].dend[7]']",-0.00016690479327508
5,"[123.36762958838811, 120.38868854121658, 62.29762052507359, 126.69388733406447, 114.15409302358559]","[0.02695126417616783, 0.013549097692509827, 0.030160101910849856, 0.2735498556313767, 0.3427105153249801]",dend,"['L5PCtemplate[5].dend[24]', 'L5PCtemplate[5].dend[33]', 'L5PCtemplate[5].dend[45]', 'L5PCtemplate[5].dend[41]', 'L5PCtemplate[5].dend[32]']",-0.03466775923044452
6,"[43.79339593421373, 178.37074302601945, 61.79997353369858, 21.19770181309925, 68.94748552015548]","[0.2708241859437482, 0.22801966197585982, 0.09787465591777315, 0.48974426869419296, 0.18518539409109747]",dend,"['L5PCtemplate[6].dend[64]', 'L5PCtemplate[6].dend[14]', 'L5PCtemplate[6].dend[2]', 'L5PCtemplate[6].dend[39]', 'L5PCtemplate[6].dend[29]']",-0.01660082168939425
7,"[130.03362670112426, 172.46251877385134, 104.99675813988493, 126.79328158930532, 74.88580032951214]","[0.010768062018860798, 0.3159813812349534, 0.03425181777443141, 0.4306169735000171, 0.003770910345926079]",dend,"['L5PCtemplate[7].dend[66]', 'L5PCtemplate[7].dend[40]', 'L5PCtemplate[7].dend[49]', 'L5PCtemplate[7].dend[2]', 'L5PCtemplate[7].dend[35]']",-0.0004740912345368997
8,"[153.96319586631438, 77.5076075414143, 83.3175177762149, 19.134581469327554, 21.99791443707396]","[0.041953823850133555, 0.10750357861349126, 0.06374822012417228, 0.03011647005545152, 0.010672314379518733]",dend,"['L5PCtemplate[8].dend[40]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[21]', 'L5PCtemplate[8].dend[42]', 'L5PCtemplate[8].dend[63]']",-0.01090136450159207
9,"[101.42502984666582, 153.96319586631438, 49.484739032008434, 121.35133217772845, 125.5981794534687]","[0.5655915338761708, 0.13417357697877877, 0.06334236425312931, 0.24687227282639373, 0.1767999579252923]",dend,"['L5PCtemplate[9].dend[27]', 'L5PCtemplate[9].dend[40]', 'L5PCtemplate[9].dend[18]', 'L5PCtemplate[9].dend[82]', 'L5PCtemplate[9].dend[58]']",-0.015346379785796671
10,"[133.03318673269888, 143.422687241373, 147.9144711029631, 120.57705827075272, 104.99675813988493]","[0.5199973780283556, 1.6636630859546617, 0.6657668871846267, 0.07850818037373625, 0.24444553119178694]",dend,"['L5PCtemplate[10].dend[77]', 'L5PCtemplate[10].dend[35]', 'L5PCtemplate[10].dend[61]', 'L5PCtemplate[10].dend[35]', 'L5PCtemplate[10].dend[49]']",-0.12327165277667973
11,"[54.194117300567484, 83.46440955223416, 178.37074302601945, 141.74163293971782, 132.4685610854313]","[0.2762801004077871, 0.26587768361053377, 0.014251539357058774, 0.0382038445960432, 0.15903415020449027]",dend,"['L5PCtemplate[11].dend[15]', 'L5PCtemplate[11].dend[2]', 'L5PCtemplate[11].dend[14]', 'L5PCtemplate[11].dend[4]', 'L5PCtemplate[11].dend[31]']",-0.01571590427289493
12,"[126.79328158930532, 40.42374332073766, 25.153635303841966, 86.19613726756356, 66.91099239677285]","[0.09309125828728955, 0.55675909606439, 0.06071261916637641, 0.33646523616535473, 0.06449600878607521]",dend,"['L5PCtemplate[12].dend[2]', 'L5PCtemplate[12].dend[39]', 'L5PCtemplate[12].dend[7]', 'L5PCtemplate[12].dend[4]', 'L5PCtemplate[12].dend[10]']",-0.02614899952675387
13,"[68.97818967932899, 83.46440955223416, 100.86394087242225, 82.8589089884082, 68.97818967932899]","[0.36293504860265025, 0.28201135073315925, 0.10554752678446289, 0.11065733462470985, 0.043213152969896]",dend,"['L5PCtemplate[13].dend[15]', 'L5PCtemplate[13].dend[2]', 'L5PCtemplate[13].dend[77]', 'L5PCtemplate[13].dend[80]', 'L5PCtemplate[13].dend[15]']",-0.05099740709795242
14,"[101.98687132330745, 100.47779507920052, 62.29762052507359, 112.99782162310034, 85.23817306740301]","[0.0323563341159418, 0.3973365368470386, 0.09961292716327567, 0.898537107217244, 0.07110554671188471]",dend,"['L5PCtemplate[14].dend[82]', 'L5PCtemplate[14].dend[50]', 'L5PCtemplate[14].dend[45]', 'L5PCtemplate[14].dend[67]', 'L5PCtemplate[14].dend[13]']",-0.005576453719413621
15,"[68.97818967932899, 121.82597602863196, 133.53481669883018, 105.12884557076974, 67.68097204351214]","[0.05809752562349196, 0.28375278026489664, 0.19574394675861365, 0.026146941592232832, 0.07447568638313792]",dend,"['L5PCtemplate[15].dend[15]', 'L5PCtemplate[15].dend[14]', 'L5PCtemplate[15].dend[5]', 'L5PCtemplate[15].dend[2]', 'L5PCtemplate[15].dend[4]']",-0.0148335669209132
16,"[31.71869765005929, 85.23817306740301, 102.43165180468468, 140.51513324199686, 43.431583169161684]","[1.29943368655689, 0.5197219028577831, 0.04301577751112092, 0.134156029768276, 0.23682486138605227]",dend,"['L5PCtemplate[16].dend[78]', 'L5PCtemplate[16].dend[13]', 'L5PCtemplate[16].dend[6]', 'L5PCtemplate[16].dend[6]', 'L5PCtemplate[16].dend[71]']",-0.04479395080778659
17,"[73.15339736778739, 126.69388733406447, 177.30177078932604, 169.50086269348816, 106.30384547392431]","[0.06696853005473531, 0.051500522314262547, 0.07320648087118017, 0.22464074011567367, 0.17121693197838575]",dend,"['L5PCtemplate[17].dend[56]', 'L5PCtemplate[17].dend[41]', 'L5PCtemplate[17].dend[67]', 'L5PCtemplate[17].dend[13]', 'L5PCtemplate[17].dend[13]']",-0.00275872260573351
18,"[125.5981794534687, 201.17835085873975, 121.35133217772845, 65.1512755144224, 167.26752669263527]","[0.04734741975233336, 0.024873240442702397, 0.2096902023713651, 0.11184341362730708, 0.0657814346003927]",dend,"['L5PCtemplate[18].dend[58]', 'L5PCtemplate[18].dend[61]', 'L5PCtemplate[18].dend[82]', 'L5PCtemplate[18].dend[68]', 'L5PCtemplate[18].dend[74]']",-0.006702617129406008
19,"[143.43776430954227, 68.01074554677353, 98.1018678436529, 155.86712106725082, 91.96161382787453]","[0.05230740322376141, 0.3350675343977043, 0.289544657622949, 0.32868705827692374, 0.04992216388720706]",dend,"['L5PCtemplate[19].dend[58]', 'L5PCtemplate[19].dend[65]', 'L5PCtemplate[19].dend[39]', 'L5PCtemplate[19].dend[67]', 'L5PCtemplate[19].dend[59]']",-0.017924541900526947
20,"[121.82597602863196, 83.46440955223416, 68.01074554677353, 151.14261545663817, 135.8111998862337]","[0.0705195267400898, 0.23140197419187133, 0.014488290769030236, 0.027964327266772403, 0.22642515326912402]",dend,"['L5PCtemplate[20].dend[14]', 'L5PCtemplate[20].dend[2]', 'L5PCtemplate[20].dend[65]', 'L5PCtemplate[20].dend[31]', 'L5PCtemplate[20].dend[59]']",-0.004974186941808512
