Node ID,Distance,Conductance,Type,Name,EPSC
0,"[114.15409302358559, 220.9285964056956, 120.38868854121658, 178.37074302601945, 143.43776430954227]","[0.03664522742489678, 1.1376027642490334, 0.008756376871102176, 0.19096737120130347, 0.14284267134761197]",dend,"['L5PCtemplate[0].dend[32]', 'L5PCtemplate[0].dend[72]', 'L5PCtemplate[0].dend[33]', 'L5PCtemplate[0].dend[14]', 'L5PCtemplate[0].dend[58]']",-0.03300395908780729
1,"[120.38868854121658, 134.43247134517557, 116.96455005124055, 104.71130249161499, 68.01074554677353]","[0.1798934335212322, 0.5538805490015458, 0.4740603128088096, 0.35445730392963537, 0.005234266896797301]",dend,"['L5PCtemplate[1].dend[33]', 'L5PCtemplate[1].dend[67]', 'L5PCtemplate[1].dend[40]', 'L5PCtemplate[1].dend[4]', 'L5PCtemplate[1].dend[65]']",-0.041357507393513515
2,"[133.03318673269888, 116.94856380256056, 100.96950177156991, 101.98687132330745, 131.54209788544483]","[0.3925010493115037, 1.0450738366985797, 0.0, 0.10845180453229313, 0.2792781032027847]",dend,"['L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[82]', 'L5PCtemplate[2].dend[62]']",-0.04854865216401549
3,"[86.19613726756356, 90.61400111749089, 69.15359332682125, 90.61400111749089, 64.34817036737246]","[0.35512107965393325, 0.9051877903141113, 0.7167040929037329, 0.20441856290195348, 0.4218955716157838]",dend,"['L5PCtemplate[3].dend[4]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[5]', 'L5PCtemplate[3].dend[6]']",-0.06441523591718123
4,"[158.1431732900972, 109.94421115086885, 155.86712106725082, 146.01110421120347, 25.153635303841966]","[0.5741721411166321, 0.16661440009892697, 0.0, 0.0, 0.5438984535255064]",dend,"['L5PCtemplate[4].dend[28]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[67]', 'L5PCtemplate[4].dend[69]', 'L5PCtemplate[4].dend[7]']",0.0
5,"[123.36762958838811, 120.38868854121658, 62.29762052507359, 126.69388733406447, 114.15409302358559]","[0.0, 0.0, 0.0, 0.4606900677728543, 0.5119788355619214]",dend,"['L5PCtemplate[5].dend[24]', 'L5PCtemplate[5].dend[33]', 'L5PCtemplate[5].dend[45]', 'L5PCtemplate[5].dend[41]', 'L5PCtemplate[5].dend[32]']",-0.04774858729774678
6,"[43.79339593421373, 178.37074302601945, 61.79997353369858, 21.19770181309925, 68.94748552015548]","[0.43500532006637876, 0.42694518263849246, 0.20903376093419865, 0.5561164518598599, 0.35497195465698805]",dend,"['L5PCtemplate[6].dend[64]', 'L5PCtemplate[6].dend[14]', 'L5PCtemplate[6].dend[2]', 'L5PCtemplate[6].dend[39]', 'L5PCtemplate[6].dend[29]']",-0.026576765721131324
7,"[130.03362670112426, 172.46251877385134, 104.99675813988493, 126.79328158930532, 74.88580032951214]","[0.0, 0.5113661103304599, 0.0, 0.5729262411199363, 0.0]",dend,"['L5PCtemplate[7].dend[66]', 'L5PCtemplate[7].dend[40]', 'L5PCtemplate[7].dend[49]', 'L5PCtemplate[7].dend[2]', 'L5PCtemplate[7].dend[35]']",0.0
8,"[153.96319586631438, 77.5076075414143, 83.3175177762149, 19.134581469327554, 21.99791443707396]","[0.0, 0.23035474531501107, 0.10830063786931683, 0.0, 0.0]",dend,"['L5PCtemplate[8].dend[40]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[21]', 'L5PCtemplate[8].dend[42]', 'L5PCtemplate[8].dend[63]']",-0.013462132649522118
9,"[101.42502984666582, 153.96319586631438, 49.484739032008434, 121.35133217772845, 125.5981794534687]","[0.6272923096821976, 0.28575071148335746, 0.11211047934057355, 0.43399164966314313, 0.3526143634041806]",dend,"['L5PCtemplate[9].dend[27]', 'L5PCtemplate[9].dend[40]', 'L5PCtemplate[9].dend[18]', 'L5PCtemplate[9].dend[82]', 'L5PCtemplate[9].dend[58]']",-0.030843913420142144
10,"[133.03318673269888, 143.422687241373, 147.9144711029631, 120.57705827075272, 104.99675813988493]","[0.6226340527610112, 0.9217282444663379, 0.692816574946818, 0.15278867584302874, 0.42754249553453266]",dend,"['L5PCtemplate[10].dend[77]', 'L5PCtemplate[10].dend[35]', 'L5PCtemplate[10].dend[61]', 'L5PCtemplate[10].dend[35]', 'L5PCtemplate[10].dend[49]']",-0.11772195922787887
11,"[54.194117300567484, 83.46440955223416, 178.37074302601945, 141.74163293971782, 132.4685610854313]","[0.4424114092391482, 0.44183804613939687, 0.0, 0.0, 0.32718017933256716]",dend,"['L5PCtemplate[11].dend[15]', 'L5PCtemplate[11].dend[2]', 'L5PCtemplate[11].dend[14]', 'L5PCtemplate[11].dend[4]', 'L5PCtemplate[11].dend[31]']",-0.022283654254806606
12,"[126.79328158930532, 40.42374332073766, 25.153635303841966, 86.19613726756356, 66.91099239677285]","[0.1941536058310743, 0.5931000753437966, 0.1063373198902087, 0.4977824431658478, 0.11359091873257933]",dend,"['L5PCtemplate[12].dend[2]', 'L5PCtemplate[12].dend[39]', 'L5PCtemplate[12].dend[7]', 'L5PCtemplate[12].dend[4]', 'L5PCtemplate[12].dend[10]']",-0.0416929250164344
