Node ID,Distance,Conductance,Type,Name,EPSC
0,"[305.1546690250625, 203.12536279050124, 297.03914062237635, 344.2130572326344, 205.95709008267312, 296.70507413250823]","[4.76648296772135, 3.8703486837073893, 4.688173884065213, 5.162058397668682, 3.8927847527977457, 4.684978095370119]",apic,"['L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[86]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[12]']",-0.2900943763336272
1,"[299.37612342372216, 187.49904621726995]","[4.710591271158388, 3.748845311555801]",apic,"['L5PCtemplate[1].apic[10]', 'L5PCtemplate[1].apic[89]']",-0.09316538774726268
2,"[1017.3385909867684, 923.4443824653044]","[29.88921633628992, 19.366145689213262]",apic,"['L5PCtemplate[2].apic[49]', 'L5PCtemplate[2].apic[38]']",-0.13728368106882272
3,"[203.12536279050124, 327.08942875592305, 232.77678170708953, 394.31562882363727, 355.24492600037985, 299.37612342372216]","[3.8703486837073893, 4.984745490186021, 4.111835929699157, 5.7179234729785255, 5.279618645345408, 4.710591271158388]",apic,"['L5PCtemplate[3].apic[82]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[83]', 'L5PCtemplate[3].apic[18]', 'L5PCtemplate[3].apic[33]', 'L5PCtemplate[3].apic[10]']",-0.1320312882810981
4,"[1139.099119375378, 1289.0294885812198]","[50.0, 50.0]",apic,"['L5PCtemplate[4].apic[67]', 'L5PCtemplate[4].apic[67]']",-0.017443000491823568
5,"[1256.1271403859382, 1246.1922402366936, 1210.9982500289723, 1155.8419231192609, 1236.259643559963, 1260.9908310564795, 1247.7691346354463]","[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",apic,"['L5PCtemplate[5].apic[65]', 'L5PCtemplate[5].apic[67]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[42]', 'L5PCtemplate[5].apic[66]', 'L5PCtemplate[5].apic[63]']",-0.03911181974132205
6,"[264.02260982087193, 231.9158829836171, 249.35268802719958, 189.59237466332434, 118.18707435641254]","[4.382630826541227, 4.104616617824942, 4.253340497598861, 3.764898177507766, 3.2542667985222002]",apic,"['L5PCtemplate[6].apic[95]', 'L5PCtemplate[6].apic[79]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[92]', 'L5PCtemplate[6].apic[108]']",-0.5239900806884634
7,"[363.74225133642045, 288.1820293585134, 283.14649180641305, 345.53560556074933]","[5.371991876840461, 4.6041765790556, 4.557094325550766, 5.176012769941713]",apic,"['L5PCtemplate[7].apic[17]', 'L5PCtemplate[7].apic[16]', 'L5PCtemplate[7].apic[83]', 'L5PCtemplate[7].apic[19]']",-0.2762846673604713
8,"[1082.1476014710763, 1010.9240500275828, 1106.0631133489935]","[40.32774348673961, 29.01608347136313, 45.04108973959572]",apic,"['L5PCtemplate[8].apic[78]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[78]']",-0.14036075673260484
9,"[236.90947113093318, 320.3812671851626, 311.6141913062814, 311.6141913062814]","[4.146668949232389, 4.916955427841165, 4.829746616806561, 4.829746616806561]",apic,"['L5PCtemplate[9].apic[96]', 'L5PCtemplate[9].apic[12]', 'L5PCtemplate[9].apic[9]', 'L5PCtemplate[9].apic[9]']",-0.09547588500993243
10,"[230.80523374005736, 257.96163675675126, 204.04272657060807, 461.3882218553504]","[4.095321672843337, 4.328743949788181, 3.8776028558644917, 6.556884248823716]",apic,"['L5PCtemplate[10].apic[102]', 'L5PCtemplate[10].apic[83]', 'L5PCtemplate[10].apic[89]', 'L5PCtemplate[10].apic[17]']",-0.2251163328779171
11,"[1197.2953017254179, 1221.3364953488497, 1105.9376687331796]","[50.0, 50.0, 45.01498272525447]",apic,"['L5PCtemplate[11].apic[64]', 'L5PCtemplate[11].apic[42]', 'L5PCtemplate[11].apic[75]']",0.0
12,"[402.2416283282885, 334.27105056178317, 288.9573320507796, 311.6141913062814]","[5.811184409271172, 5.058356389263005, 4.611468743496946, 4.829746616806561]",apic,"['L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]']",-0.1295107326257039
13,"[218.58730416885743, 158.5725582694369, 372.3321717457555, 272.6730029880563, 308.6432519510967]","[3.994449621635428, 3.5339018247078013, 5.467014493447121, 4.460703691600113, 4.800546039265216]",apic,"['L5PCtemplate[13].apic[87]', 'L5PCtemplate[13].apic[3]', 'L5PCtemplate[13].apic[18]', 'L5PCtemplate[13].apic[20]', 'L5PCtemplate[13].apic[19]']",-0.17302594515342662
14,"[1078.048120249858, 1210.5084104286736, 1139.099119375378, 1105.9376687331796, 1050.8025755333772, 1226.0942663391088, 1085.7561247998594]","[39.57082847686957, 50.0, 50.0, 45.01498272525447, 34.88878855678627, 50.0, 41.005981779972586]",apic,"['L5PCtemplate[14].apic[61]', 'L5PCtemplate[14].apic[41]', 'L5PCtemplate[14].apic[67]', 'L5PCtemplate[14].apic[75]', 'L5PCtemplate[14].apic[74]', 'L5PCtemplate[14].apic[43]', 'L5PCtemplate[14].apic[40]']",-0.11446656664304555
15,"[940.8389239528508, 905.9851485104439, 922.8358253746583, 982.4240557244341, 1082.1057865991384]","[20.987407383324367, 17.864782834871843, 19.311751052332934, 25.434986738194013, 40.31995030302951]",apic,"['L5PCtemplate[15].apic[38]', 'L5PCtemplate[15].apic[51]', 'L5PCtemplate[15].apic[60]', 'L5PCtemplate[15].apic[68]', 'L5PCtemplate[15].apic[75]']",-0.4203926814071224
16,"[445.14602616885213, 402.5403908502934, 425.4909328219618, 421.4069383692147, 440.27348588813595, 391.20536606776875, 391.20536606776875]","[6.343062257357292, 5.814729380394361, 6.093613878103351, 6.043026680809177, 6.280287366098348, 5.681736935003109, 5.681736935003109]",apic,"['L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[35]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[33]']",-0.19417692803642694
17,"[816.8660199789317, 816.8660199789317, 788.4503402436945, 838.059981058077, 732.0901756623505, 797.8192791933797, 732.0901756623505, 768.8612055325697]","[11.833447759445411, 11.833447759445411, 10.377034577190956, 13.051287876475282, 11.393891338670494, 10.836256699106663, 11.393891338670494, 9.47878161692087]",apic,"['L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[37]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]']",-0.2002141868132412
18,"[441.85902775156444, 240.69752380559822, 163.7600932024688, 283.14649180641305, 186.09666655964833]","[6.300646049950679, 4.178856281794844, 3.571520750324218, 4.557094325550766, 3.7381293494198364]",apic,"['L5PCtemplate[18].apic[17]', 'L5PCtemplate[18].apic[101]', 'L5PCtemplate[18].apic[103]', 'L5PCtemplate[18].apic[83]', 'L5PCtemplate[18].apic[3]']",-0.03772837176683197
19,"[355.24492600037985, 445.14602616885213, 447.0801433093812]","[5.279618645345408, 6.343062257357292, 6.36815388380888]",apic,"['L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[35]']",-0.09175824662008836
20,"[1058.766078338441, 1171.0319160374543]","[36.19685315453285, 50.0]",apic,"['L5PCtemplate[20].apic[61]', 'L5PCtemplate[20].apic[76]']",-0.009652471946708374
21,"[1032.067235396822, 968.6376792891044, 999.7698750450477, 962.8275558003528, 947.4944939198651]","[31.994766314258456, 23.864838009474322, 27.55810273141257, 23.232502111550687, 21.643043893865542]",apic,"['L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[49]', 'L5PCtemplate[21].apic[68]', 'L5PCtemplate[21].apic[53]']",-0.38563370167707944
22,"[356.3369328288799, 328.36525758999204]","[5.291400170649663, 4.997743908986729]",apic,"['L5PCtemplate[22].apic[25]', 'L5PCtemplate[22].apic[18]']",-0.1880984085502746
23,"[1082.1057865991384, 1010.9240500275828, 1018.304306718431, 1034.9073069284893, 1082.2858051409169, 1181.8091763174295]","[40.31995030302951, 29.01608347136313, 30.02292378747009, 32.41751661587442, 40.35351170547106, 50.0]",apic,"['L5PCtemplate[23].apic[75]', 'L5PCtemplate[23].apic[53]', 'L5PCtemplate[23].apic[52]', 'L5PCtemplate[23].apic[49]', 'L5PCtemplate[23].apic[69]', 'L5PCtemplate[23].apic[70]']",-0.039682876676749856
24,"[1229.3836923322092, 1284.5400192419206]","[50.0, 50.0]",apic,"['L5PCtemplate[24].apic[63]', 'L5PCtemplate[24].apic[63]']",-0.010508870452952124
25,"[320.062023313858, 252.4785624580402, 261.94854786234214]","[4.913752354813207, 4.280566096368876, 4.364115681530386]",apic,"['L5PCtemplate[25].apic[84]', 'L5PCtemplate[25].apic[93]', 'L5PCtemplate[25].apic[87]']",0.0
26,"[1210.9982500289723, 1085.7561247998594, 1260.9908310564795, 1266.0652342675914]","[50.0, 41.005981779972586, 50.0, 50.0]",apic,"['L5PCtemplate[26].apic[63]', 'L5PCtemplate[26].apic[40]', 'L5PCtemplate[26].apic[66]', 'L5PCtemplate[26].apic[44]']",-0.04477985263093842
27,"[363.74225133642045, 283.6291697090845, 326.99041340256923]","[5.371991876840461, 4.561586420144209, 4.9837381152542495]",apic,"['L5PCtemplate[27].apic[17]', 'L5PCtemplate[27].apic[87]', 'L5PCtemplate[27].apic[87]']",-0.15612732840963872
28,"[19.273949454034774, 34.65248624354424, 230.48994892325635]","[2.659302035997264, 2.744104108848411, 4.092686914238241]",apic,"['L5PCtemplate[28].apic[0]', 'L5PCtemplate[28].apic[0]', 'L5PCtemplate[28].apic[103]']",-0.10966161496952509
29,"[847.2177443770693, 788.4503402436945]","[13.61555981924624, 10.377034577190956]",apic,"['L5PCtemplate[29].apic[51]', 'L5PCtemplate[29].apic[51]']",-0.07445329849389282
30,"[262.8814577601018, 297.03914062237635, 320.0851050887752, 288.1820293585134, 359.6429433351849, 294.4953777956342, 250.0896735546317, 359.76838909913823]","[4.372434066665422, 4.688173884065213, 4.9139838714438975, 4.6041765790556, 5.327228827605973, 4.663894212848803, 4.259743819173565, 5.328593104277493]",apic,"['L5PCtemplate[30].apic[86]', 'L5PCtemplate[30].apic[86]', 'L5PCtemplate[30].apic[85]', 'L5PCtemplate[30].apic[16]', 'L5PCtemplate[30].apic[34]', 'L5PCtemplate[30].apic[93]', 'L5PCtemplate[30].apic[10]', 'L5PCtemplate[30].apic[30]']",-0.5484628051547702
31,"[257.87467588456104, 313.0392218190096, 344.2130572326344, 205.95709008267312]","[4.3279756393456115, 4.843815829561429, 5.162058397668682, 3.8927847527977457]",apic,"['L5PCtemplate[31].apic[79]', 'L5PCtemplate[31].apic[13]', 'L5PCtemplate[31].apic[17]', 'L5PCtemplate[31].apic[79]']",-0.3996666617695155
32,"[363.98178236557567, 297.03914062237635, 350.34871466787376, 308.6432519510967, 352.54668609881696]","[5.374619074804539, 4.688173884065213, 5.227115685056867, 4.800546039265216, 5.250620035570352]",apic,"['L5PCtemplate[32].apic[19]', 'L5PCtemplate[32].apic[86]', 'L5PCtemplate[32].apic[18]', 'L5PCtemplate[32].apic[19]', 'L5PCtemplate[32].apic[85]']",-0.13582304273569434
33,"[303.84662065878194, 309.0085548012233, 412.9565961996402]","[4.753773373436557, 4.804126963434438, 5.939684382816158]",apic,"['L5PCtemplate[33].apic[84]', 'L5PCtemplate[33].apic[101]', 'L5PCtemplate[33].apic[29]']",-0.08484560203498859
34,"[1117.6804952031148, 1174.227365422498, 1058.766078338441, 1226.0942663391088]","[47.525659193028744, 50.0, 36.19685315453285, 50.0]",apic,"['L5PCtemplate[34].apic[67]', 'L5PCtemplate[34].apic[63]', 'L5PCtemplate[34].apic[61]', 'L5PCtemplate[34].apic[43]']",-0.055751330179987235
35,"[1026.1894254883025, 1021.6170555725964, 1042.5024963743288, 922.8358253746583, 1017.3385909867684, 1020.2019945156071]","[31.137272815339408, 30.486149568042016, 33.575722187572424, 19.311751052332934, 29.88921633628992, 30.287411753657743]",apic,"['L5PCtemplate[35].apic[39]', 'L5PCtemplate[35].apic[68]', 'L5PCtemplate[35].apic[39]', 'L5PCtemplate[35].apic[60]', 'L5PCtemplate[35].apic[49]', 'L5PCtemplate[35].apic[61]']",-0.23058042552008828
36,"[324.23749899931823, 283.14649180641305, 368.7774766038379, 272.9940969056006, 386.6853090271192, 382.42795917040206]","[4.955811534010285, 4.557094325550766, 5.427489897967957, 4.463628297025828, 5.62955591295807, 5.5808460069889065]",apic,"['L5PCtemplate[36].apic[21]', 'L5PCtemplate[36].apic[83]', 'L5PCtemplate[36].apic[85]', 'L5PCtemplate[36].apic[15]', 'L5PCtemplate[36].apic[29]', 'L5PCtemplate[36].apic[19]']",-0.2843131888525363
