Node ID,Distance,Conductance,Type,Name,EPSC
0,"[46.95412193191092, 66.11497450112924, 143.422687241373, 106.30384547392431]","[0.08047875500756631, 1.6663556757098104, 0.08366743117047813, 0.13491168752807425]",dend,"['L5PCtemplate[0].dend[8]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]']",-0.09152216544663361
1,"[119.19831780561462, 216.5604565168211, 80.32105935919517, 107.7585945973951, 149.70873856557898, 94.1963273456084, 207.97444699613737]","[0.12169354077106577, 0.15747614647192576, 0.41127064546880776, 0.3451381985956842, 0.25495626464653626, 0.07764171773369954, 0.2969457886484516]",dend,"['L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[58]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]', 'L5PCtemplate[1].dend[69]']",-0.03684494595574961
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837]","[2.1861474392925193, 0.042555366429268465, 0.10438097353755428, 0.2046995653300181]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]']",-0.06391878073657153
3,"[123.06884341192504, 149.70873856557898, 74.88580032951214, 109.94421115086885, 60.75370898766455, 104.90830239692104]","[0.2537001767538734, 1.566102924042084, 0.8211631419930779, 0.15159105257843195, 0.30283564322950396, 0.4282595202620303]",dend,"['L5PCtemplate[3].dend[74]', 'L5PCtemplate[3].dend[66]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[72]', 'L5PCtemplate[3].dend[12]', 'L5PCtemplate[3].dend[37]']",-0.0626921174912809
4,"[89.91900974132152, 64.37498428372382, 60.75370898766455, 88.32971429198041, 113.79450671422445, 77.5076075414143]","[0.1287652348445188, 0.011653120816830466, 0.03543892879268785, 0.5222819281876988, 0.05541178917992822, 0.031242424675992142]",dend,"['L5PCtemplate[4].dend[58]', 'L5PCtemplate[4].dend[60]', 'L5PCtemplate[4].dend[12]', 'L5PCtemplate[4].dend[33]', 'L5PCtemplate[4].dend[31]', 'L5PCtemplate[4].dend[44]']",-0.004985865682272106
5,"[127.3695178804456, 64.34817036737246, 78.6865814500416, 43.431583169161684, 73.78483825144616, 84.12946469704029, 49.11656274943088, 113.79450671422445]","[0.06542535999214893, 0.3067980278698894, 0.37649549454393605, 0.3220975877757527, 0.2563349899356969, 0.1527118376892473, 0.523340017697964, 0.25728535279006054]",dend,"['L5PCtemplate[5].dend[13]', 'L5PCtemplate[5].dend[6]', 'L5PCtemplate[5].dend[22]', 'L5PCtemplate[5].dend[71]', 'L5PCtemplate[5].dend[26]', 'L5PCtemplate[5].dend[14]', 'L5PCtemplate[5].dend[36]', 'L5PCtemplate[5].dend[31]']",-0.06114365298088842
6,"[74.31162123783537, 125.5981794534687, 149.70873856557898, 89.91900974132152]","[0.025825175530696794, 0.35472455635531713, 0.07115352229264098, 0.4495687967548018]",dend,"['L5PCtemplate[6].dend[51]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[66]', 'L5PCtemplate[6].dend[58]']",-0.0014347680405535357
7,"[204.37011221248093, 124.956174973597, 144.809659283318, 167.26752669263527, 244.07708083192296]","[0.01447916235438746, 0.07658692872493653, 0.17498582295972437, 0.119947078042228, 0.07962490977964584]",dend,"['L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[70]']",-0.01221360714396269
8,"[120.57705827075272, 152.4476627904528, 85.23817306740301, 138.67074554785592]","[0.030412227912228716, 0.6175767681518493, 0.17750377059270872, 0.11895000327687175]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[33]', 'L5PCtemplate[8].dend[13]', 'L5PCtemplate[8].dend[28]']",-0.01150853970841581
9,"[121.47339252334079, 106.30384547392431, 113.81234472219249, 154.99522448949983, 112.07440890816054]","[0.30737921789773565, 0.23214680210365518, 0.5328952924617938, 1.3600897252979351, 0.6331884754823975]",dend,"['L5PCtemplate[9].dend[6]', 'L5PCtemplate[9].dend[13]', 'L5PCtemplate[9].dend[10]', 'L5PCtemplate[9].dend[5]', 'L5PCtemplate[9].dend[5]']",-0.10305042127924935
