Node ID,Distance,Conductance,Type,Name,EPSC
0,"[46.95412193191092, 66.11497450112924, 143.422687241373, 106.30384547392431]","[0.06971999352906594, 1.643151576828961, 0.07220715609494625, 0.11910478340317555]",dend,"['L5PCtemplate[0].dend[8]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]']",-0.08917806972874587
1,"[119.19831780561462, 216.5604565168211, 80.32105935919517, 107.7585945973951, 149.70873856557898, 94.1963273456084, 207.97444699613737]","[0.10688077251272193, 0.13908135014141337, 0.3815098535096769, 0.31725896476394966, 0.23077285669379438, 0.06697834902406455, 0.26965715993810296]",dend,"['L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[58]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]', 'L5PCtemplate[1].dend[69]']",-0.033801809745170885
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837]","[2.171300911751896, 0.03569307081055048, 0.09133649483259783, 0.18312898215211837]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]']",-0.06308363187201849
3,"[123.06884341192504, 149.70873856557898, 74.88580032951214, 109.94421115086885, 60.75370898766455, 104.90830239692104]","[0.22993467008138732, 1.5328769872778596, 0.7850199700184767, 0.1344759597979054, 0.2775495231964437, 0.39740751335588814]",dend,"['L5PCtemplate[3].dend[74]', 'L5PCtemplate[3].dend[66]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[72]', 'L5PCtemplate[3].dend[12]', 'L5PCtemplate[3].dend[37]']",-0.058980409832543046
4,"[89.91900974132152, 64.37498428372382, 60.75370898766455, 88.32971429198041, 113.79450671422445, 77.5076075414143]","[0.11355593238356915, 0.009279577960200904, 0.029612060816623067, 0.48927945693446273, 0.04705937151742686, 0.02593947201644154]",dend,"['L5PCtemplate[4].dend[58]', 'L5PCtemplate[4].dend[60]', 'L5PCtemplate[4].dend[12]', 'L5PCtemplate[4].dend[33]', 'L5PCtemplate[4].dend[31]', 'L5PCtemplate[4].dend[44]']",-0.004170338783637817
5,"[127.3695178804456, 64.34817036737246, 78.6865814500416, 43.431583169161684, 73.78483825144616, 84.12946469704029, 49.11656274943088, 113.79450671422445]","[0.05591955703134607, 0.2812811664629341, 0.34795652012477596, 0.2962798471733362, 0.23307758226620054, 0.13571203014927563, 0.49140660251945234, 0.23344796330195577]",dend,"['L5PCtemplate[5].dend[13]', 'L5PCtemplate[5].dend[6]', 'L5PCtemplate[5].dend[22]', 'L5PCtemplate[5].dend[71]', 'L5PCtemplate[5].dend[26]', 'L5PCtemplate[5].dend[14]', 'L5PCtemplate[5].dend[36]', 'L5PCtemplate[5].dend[31]']",-0.05625652933929359
6,"[74.31162123783537, 125.5981794534687, 149.70873856557898, 89.91900974132152]","[0.021270374689045624, 0.32612551524290284, 0.0609583986803649, 0.4184114766486008]",dend,"['L5PCtemplate[6].dend[51]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[66]', 'L5PCtemplate[6].dend[58]']",-0.0011813779551061998
7,"[204.37011221248093, 124.956174973597, 144.809659283318, 167.26752669263527, 244.07708083192296]","[0.01154621443090803, 0.06591424926458608, 0.15588329904261064, 0.10499427340533232, 0.06818101022811614]",dend,"['L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[70]']",-0.010760811835552886
8,"[120.57705827075272, 152.4476627904528, 85.23817306740301, 138.67074554785592]","[0.02515928904666883, 0.580627512984257, 0.1587599580163686, 0.10425323363369376]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[33]', 'L5PCtemplate[8].dend[13]', 'L5PCtemplate[8].dend[28]']",-0.010207396239536592
9,"[121.47339252334079, 106.30384547392431, 113.81234472219249, 154.99522448949983, 112.07440890816054]","[0.2809241135938383, 0.20979664804558557, 0.4989324923756497, 1.322771916941643, 0.597313895188769]",dend,"['L5PCtemplate[9].dend[6]', 'L5PCtemplate[9].dend[13]', 'L5PCtemplate[9].dend[10]', 'L5PCtemplate[9].dend[5]', 'L5PCtemplate[9].dend[5]']",-0.09901160557177491
