Node ID,Distance,Conductance,Type,Name,EPSC
0,"[305.1546690250625, 203.12536279050124, 297.03914062237635, 344.2130572326344, 205.95709008267312, 296.70507413250823]","[0.10695448130602372, 2.044670633639763, 0.09587288320693957, 0.18363531787765164, 0.12205687465130549, 0.1683052634526448]",apic,"['L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[86]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[12]']",-0.0737395637543159
1,"[299.37612342372216, 187.49904621726995]","[0.5606359524304344, 0.3572436050856735]",apic,"['L5PCtemplate[1].apic[10]', 'L5PCtemplate[1].apic[89]']",-0.016575513905081607
2,"[1017.3385909867684, 923.4443824653044]","[1.9547195710192689, 0.391953171088456]",apic,"['L5PCtemplate[2].apic[49]', 'L5PCtemplate[2].apic[38]']",-0.012361250200854101
3,"[203.12536279050124, 327.08942875592305, 232.77678170708953, 394.31562882363727, 355.24492600037985, 299.37612342372216]","[0.2740680364572156, 3.1397203634643183, 0.041914099276634365, 0.1637894143699278, 0.25957863440876616, 0.3179951671864792]",apic,"['L5PCtemplate[3].apic[82]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[83]', 'L5PCtemplate[3].apic[18]', 'L5PCtemplate[3].apic[33]', 'L5PCtemplate[3].apic[10]']",-0.08630087850320933
4,"[1139.099119375378, 1289.0294885812198]","[23.129624981854214, 26.026156763617408]",apic,"['L5PCtemplate[4].apic[67]', 'L5PCtemplate[4].apic[67]']",-0.002167020126364605
5,"[1256.1271403859382, 1246.1922402366936, 1210.9982500289723, 1155.8419231192609, 1236.259643559963, 1260.9908310564795, 1247.7691346354463]","[3.6056579637927415, 7.63038726845357, 8.780751795403118, 1.96441940533522, 0.23621247715423746, 0.8567792275291609, 13.119685990788662]",apic,"['L5PCtemplate[5].apic[65]', 'L5PCtemplate[5].apic[67]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[42]', 'L5PCtemplate[5].apic[66]', 'L5PCtemplate[5].apic[63]']",-0.004944956896224539
6,"[264.02260982087193, 231.9158829836171, 249.35268802719958, 189.59237466332434, 118.18707435641254]","[0.06055464094395769, 0.032653798311465414, 0.06867652292220575, 0.3366549062617823, 0.3537625045728579]",apic,"['L5PCtemplate[6].apic[95]', 'L5PCtemplate[6].apic[79]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[92]', 'L5PCtemplate[6].apic[108]']",-0.035227899530809736
7,"[363.74225133642045, 288.1820293585134, 283.14649180641305, 345.53560556074933]","[0.5204379225312131, 0.33641002556069194, 0.19043211570534552, 0.8286792637245637]",apic,"['L5PCtemplate[7].apic[17]', 'L5PCtemplate[7].apic[16]', 'L5PCtemplate[7].apic[83]', 'L5PCtemplate[7].apic[19]']",-0.012148769141617777
8,"[1082.1476014710763, 1010.9240500275828, 1106.0631133489935]","[2.7985662253017627, 0.18979795015382156, 4.3097112513829146]",apic,"['L5PCtemplate[8].apic[78]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[78]']",-0.0011587522578793141
9,"[236.90947113093318, 320.3812671851626, 311.6141913062814, 311.6141913062814]","[0.07090064329388666, 0.6341219249090828, 0.014360341121501552, 0.09233410751559766]",apic,"['L5PCtemplate[9].apic[96]', 'L5PCtemplate[9].apic[12]', 'L5PCtemplate[9].apic[9]', 'L5PCtemplate[9].apic[9]']",-0.002581716883298668
10,"[230.80523374005736, 257.96163675675126, 204.04272657060807, 461.3882218553504]","[0.18154412170481077, 0.12506636685852457, 0.0654759742104746, 0.04776921145874718]",apic,"['L5PCtemplate[10].apic[102]', 'L5PCtemplate[10].apic[83]', 'L5PCtemplate[10].apic[89]', 'L5PCtemplate[10].apic[17]']",-0.010006038617405011
11,"[1197.2953017254179, 1221.3364953488497, 1105.9376687331796]","[11.337997374550518, 3.750211351510452, 1.341319927975076]",apic,"['L5PCtemplate[11].apic[64]', 'L5PCtemplate[11].apic[42]', 'L5PCtemplate[11].apic[75]']",-0.013034761163055464
12,"[402.2416283282885, 334.27105056178317, 288.9573320507796, 311.6141913062814]","[0.48104631236851364, 0.3183553401528389, 0.6879572222775318, 1.8222378480130208]",apic,"['L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]']",-0.06118917826540837
13,"[218.58730416885743, 158.5725582694369, 372.3321717457555, 272.6730029880563, 308.6432519510967]","[0.7160552359226207, 0.11610074299562485, 0.45684319989087496, 0.43433370313521114, 0.4392651559481857]",apic,"['L5PCtemplate[13].apic[87]', 'L5PCtemplate[13].apic[3]', 'L5PCtemplate[13].apic[18]', 'L5PCtemplate[13].apic[20]', 'L5PCtemplate[13].apic[19]']",-0.050446022403605184
14,"[1078.048120249858, 1210.5084104286736, 1139.099119375378, 1105.9376687331796, 1050.8025755333772, 1226.0942663391088, 1085.7561247998594]","[0.308291641159129, 1.3107354401454767, 3.0096608935654348, 1.685789225300781, 6.069584136906342, 2.31791137276953, 4.524581223486936]",apic,"['L5PCtemplate[14].apic[61]', 'L5PCtemplate[14].apic[41]', 'L5PCtemplate[14].apic[67]', 'L5PCtemplate[14].apic[75]', 'L5PCtemplate[14].apic[74]', 'L5PCtemplate[14].apic[43]', 'L5PCtemplate[14].apic[40]']",-0.026112808203038185
15,"[940.8389239528508, 905.9851485104439, 922.8358253746583, 982.4240557244341, 1082.1057865991384]","[0.6228863766354782, 2.1342180362709278, 1.8531620739794137, 1.08365975533583, 1.8191941673015017]",apic,"['L5PCtemplate[15].apic[38]', 'L5PCtemplate[15].apic[51]', 'L5PCtemplate[15].apic[60]', 'L5PCtemplate[15].apic[68]', 'L5PCtemplate[15].apic[75]']",-0.032690814019531445
16,"[445.14602616885213, 402.5403908502934, 425.4909328219618, 421.4069383692147, 440.27348588813595, 391.20536606776875, 391.20536606776875]","[0.1359511990997857, 0.09525995106086722, 0.7573745162307411, 0.2560054434422654, 1.4884467594229773, 0.17892407113370531, 0.1546473324265723]",apic,"['L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[35]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[33]']",-0.008666675371671317
17,"[816.8660199789317, 816.8660199789317, 788.4503402436945, 838.059981058077, 732.0901756623505, 797.8192791933797, 732.0901756623505, 768.8612055325697]","[1.0955506002345161, 0.8017437777544398, 0.14265656817953484, 0.4347020695248455, 3.9658890991504, 1.7002173898065926, 0.23479575860435786, 0.4698762069233488]",apic,"['L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[37]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]']",-0.024223628416564225
18,"[441.85902775156444, 240.69752380559822, 163.7600932024688, 283.14649180641305, 186.09666655964833]","[0.5479613781972792, 0.1270026597454401, 0.0829429711063832, 0.13321021534369656, 0.27241808089485203]",apic,"['L5PCtemplate[18].apic[17]', 'L5PCtemplate[18].apic[101]', 'L5PCtemplate[18].apic[103]', 'L5PCtemplate[18].apic[83]', 'L5PCtemplate[18].apic[3]']",-0.01288912546328902
19,"[355.24492600037985, 445.14602616885213, 447.0801433093812]","[0.3305000987643774, 0.13780068723337788, 0.07591577313972551]",apic,"['L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[35]']",-0.001517844631848675
20,"[1058.766078338441, 1171.0319160374543]","[2.6263773370569408, 2.8203302840978997]",apic,"['L5PCtemplate[20].apic[61]', 'L5PCtemplate[20].apic[76]']",-0.004665355176314279
21,"[1032.067235396822, 968.6376792891044, 999.7698750450477, 962.8275558003528, 947.4944939198651]","[0.867097310899951, 0.5513119414815723, 3.089764941862646, 2.242157805893496, 2.1759550299175605]",apic,"['L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[49]', 'L5PCtemplate[21].apic[68]', 'L5PCtemplate[21].apic[53]']",-0.007529785806070777
22,"[356.3369328288799, 328.36525758999204]","[0.12434689068840872, 0.150366355277119]",apic,"['L5PCtemplate[22].apic[25]', 'L5PCtemplate[22].apic[18]']",-0.006938683331725315
23,"[1082.1057865991384, 1010.9240500275828, 1018.304306718431, 1034.9073069284893, 1082.2858051409169, 1181.8091763174295]","[3.2980811944823074, 0.25763561060778034, 0.41492250044261747, 2.464367155366283, 7.395151716465391, 2.9960039053555305]",apic,"['L5PCtemplate[23].apic[75]', 'L5PCtemplate[23].apic[53]', 'L5PCtemplate[23].apic[52]', 'L5PCtemplate[23].apic[49]', 'L5PCtemplate[23].apic[69]', 'L5PCtemplate[23].apic[70]']",-0.0022316210504413903
24,"[1229.3836923322092, 1284.5400192419206]","[0.7670088978326741, 1.4936583301939148]",apic,"['L5PCtemplate[24].apic[63]', 'L5PCtemplate[24].apic[63]']",-0.003340392102302303
25,"[320.062023313858, 252.4785624580402, 261.94854786234214]","[0.11100036806894352, 0.13470017982970167, 0.22067881359983557]",apic,"['L5PCtemplate[25].apic[84]', 'L5PCtemplate[25].apic[93]', 'L5PCtemplate[25].apic[87]']",0.0
26,"[1210.9982500289723, 1085.7561247998594, 1260.9908310564795, 1266.0652342675914]","[0.6914482747134226, 1.2803537235265108, 3.4487208703917194, 1.7388781470358345]",apic,"['L5PCtemplate[26].apic[63]', 'L5PCtemplate[26].apic[40]', 'L5PCtemplate[26].apic[66]', 'L5PCtemplate[26].apic[44]']",-0.008778497638672889
27,"[363.74225133642045, 283.6291697090845, 326.99041340256923]","[0.11493471650877589, 1.1630497080757716, 0.09773548525966602]",apic,"['L5PCtemplate[27].apic[17]', 'L5PCtemplate[27].apic[87]', 'L5PCtemplate[27].apic[87]']",-0.03558241073591262
28,"[19.273949454034774, 34.65248624354424, 230.48994892325635]","[0.03177217320820834, 0.0619585427185069, 0.3618274721914964]",apic,"['L5PCtemplate[28].apic[0]', 'L5PCtemplate[28].apic[0]', 'L5PCtemplate[28].apic[103]']",-0.013952509377190836
29,"[847.2177443770693, 788.4503402436945]","[0.7879840262107479, 0.31209784078883906]",apic,"['L5PCtemplate[29].apic[51]', 'L5PCtemplate[29].apic[51]']",-0.00276844648254837
30,"[262.8814577601018, 297.03914062237635, 320.0851050887752, 288.1820293585134, 359.6429433351849, 294.4953777956342, 250.0896735546317, 359.76838909913823]","[0.5019011397381737, 0.38286832141193133, 0.08210261082692494, 0.18675694418801533, 0.8337716011099764, 0.3051595030864415, 0.2509731613105309, 0.4467244800609473]",apic,"['L5PCtemplate[30].apic[86]', 'L5PCtemplate[30].apic[86]', 'L5PCtemplate[30].apic[85]', 'L5PCtemplate[30].apic[16]', 'L5PCtemplate[30].apic[34]', 'L5PCtemplate[30].apic[93]', 'L5PCtemplate[30].apic[10]', 'L5PCtemplate[30].apic[30]']",-0.05344458685669906
31,"[257.87467588456104, 313.0392218190096, 344.2130572326344, 205.95709008267312]","[0.6550070924747046, 0.2094020441324314, 0.03228308353190058, 0.16290745710176222]",apic,"['L5PCtemplate[31].apic[79]', 'L5PCtemplate[31].apic[13]', 'L5PCtemplate[31].apic[17]', 'L5PCtemplate[31].apic[79]']",-0.012666476993672404
32,"[363.98178236557567, 297.03914062237635, 350.34871466787376, 308.6432519510967, 352.54668609881696]","[1.035161584600434, 0.3962684359900895, 0.1505255025161548, 0.19286865821366603, 0.4653393142434482]",apic,"['L5PCtemplate[32].apic[19]', 'L5PCtemplate[32].apic[86]', 'L5PCtemplate[32].apic[18]', 'L5PCtemplate[32].apic[19]', 'L5PCtemplate[32].apic[85]']",-0.025354518761844247
33,"[303.84662065878194, 309.0085548012233, 412.9565961996402]","[0.21093339871000152, 0.2067612215704484, 1.10419151299287]",apic,"['L5PCtemplate[33].apic[84]', 'L5PCtemplate[33].apic[101]', 'L5PCtemplate[33].apic[29]']",-0.0066404815100895576
34,"[1117.6804952031148, 1174.227365422498, 1058.766078338441, 1226.0942663391088]","[2.223782892319855, 0.8479128247383163, 6.486554996532051, 1.408036032756031]",apic,"['L5PCtemplate[34].apic[67]', 'L5PCtemplate[34].apic[63]', 'L5PCtemplate[34].apic[61]', 'L5PCtemplate[34].apic[43]']",-0.02329327972034889
35,"[1026.1894254883025, 1021.6170555725964, 1042.5024963743288, 922.8358253746583, 1017.3385909867684, 1020.2019945156071]","[0.5741161246305383, 0.41119983261151255, 2.113040605072135, 0.16011332310357362, 0.3173524047392589, 0.6176040788404534]",apic,"['L5PCtemplate[35].apic[39]', 'L5PCtemplate[35].apic[68]', 'L5PCtemplate[35].apic[39]', 'L5PCtemplate[35].apic[60]', 'L5PCtemplate[35].apic[49]', 'L5PCtemplate[35].apic[61]']",-0.0077984533220387675
36,"[324.23749899931823, 283.14649180641305, 368.7774766038379, 272.9940969056006, 386.6853090271192, 382.42795917040206]","[0.14795769205120515, 1.2698343348536598, 0.7239085688960778, 0.09403095809453552, 0.21956437132699472, 0.3907091224550548]",apic,"['L5PCtemplate[36].apic[21]', 'L5PCtemplate[36].apic[83]', 'L5PCtemplate[36].apic[85]', 'L5PCtemplate[36].apic[15]', 'L5PCtemplate[36].apic[29]', 'L5PCtemplate[36].apic[19]']",-0.0416327667664973
37,"[670.2616437081233, 515.739675963821, 628.9389610773487, 628.9389610773487, 496.87312844489975, 515.739675963821]","[0.5325286769890736, 0.39149104808386526, 0.37451196103733164, 0.20778648170189984, 0.6440860774049869, 0.5494158287244137]",apic,"['L5PCtemplate[37].apic[37]', 'L5PCtemplate[37].apic[36]', 'L5PCtemplate[37].apic[36]', 'L5PCtemplate[37].apic[36]', 'L5PCtemplate[37].apic[36]', 'L5PCtemplate[37].apic[36]']",-0.029376983070505958
38,"[838.059981058077, 947.4944939198651, 926.351308550626, 947.4944939198651]","[0.38934601528879326, 0.8184933320415994, 2.5232214516959837, 0.08787233049858129]",apic,"['L5PCtemplate[38].apic[60]', 'L5PCtemplate[38].apic[53]', 'L5PCtemplate[38].apic[53]', 'L5PCtemplate[38].apic[53]']",-0.0030368440874894986
39,"[1181.8091763174295, 1143.3304046684527, 1110.6060908635404, 1113.7411410272384, 1082.1057865991384, 1121.9138184241024]","[3.2587224230399134, 0.8120709927371283, 0.914715393430104, 2.240144241442004, 0.21932276712516036, 0.5582041597068365]",apic,"['L5PCtemplate[39].apic[70]', 'L5PCtemplate[39].apic[69]', 'L5PCtemplate[39].apic[54]', 'L5PCtemplate[39].apic[57]', 'L5PCtemplate[39].apic[75]', 'L5PCtemplate[39].apic[56]']",-0.017728320879939474
40,"[261.80710415299075, 240.20924589380672, 225.67649497454522, 258.8097713829477, 290.9945944032781]","[0.20264035613964054, 0.1657780086919725, 0.8644854804488573, 0.025389260843605634, 0.3072621512496129]",apic,"['L5PCtemplate[40].apic[8]', 'L5PCtemplate[40].apic[7]', 'L5PCtemplate[40].apic[12]', 'L5PCtemplate[40].apic[97]', 'L5PCtemplate[40].apic[13]']",-0.04786140824677432
41,"[1243.1200317020266, 1213.6350638582646]","[10.437374893053217, 1.3003345421019965]",apic,"['L5PCtemplate[41].apic[73]', 'L5PCtemplate[41].apic[70]']",0.0
42,"[383.27144544020643, 296.70507413250823, 210.4617471204462, 264.02260982087193, 224.86071215608382, 232.77678170708953, 218.58730416885743]","[0.8572858839440564, 0.20388996291465453, 0.09751624994219488, 0.07181287911035344, 0.0361418801951442, 0.015890645944087494, 1.101817168278197]",apic,"['L5PCtemplate[42].apic[17]', 'L5PCtemplate[42].apic[12]', 'L5PCtemplate[42].apic[93]', 'L5PCtemplate[42].apic[95]', 'L5PCtemplate[42].apic[13]', 'L5PCtemplate[42].apic[83]', 'L5PCtemplate[42].apic[87]']",-0.02203483525562433
43,"[1041.589405455893, 1067.0813902130603, 962.3558687813563, 1000.9199526041903, 978.2791161820779]","[0.0616926483663782, 1.1065914326562758, 0.7164185024253463, 3.28073116578313, 1.2298773308075697]",apic,"['L5PCtemplate[43].apic[69]', 'L5PCtemplate[43].apic[40]', 'L5PCtemplate[43].apic[61]', 'L5PCtemplate[43].apic[61]', 'L5PCtemplate[43].apic[45]']",-0.01170793340037335
44,"[922.8358253746583, 1078.048120249858, 1050.8025755333772, 949.9545794834812, 975.6280069279435, 999.7698750450477, 1058.766078338441, 922.8358253746583]","[0.3474143838180121, 2.203719694040563, 2.607025420929386, 1.3251551895901839, 5.9716925037799164, 1.050341243520417, 1.616319831586313, 1.1057594496634309]",apic,"['L5PCtemplate[44].apic[60]', 'L5PCtemplate[44].apic[61]', 'L5PCtemplate[44].apic[74]', 'L5PCtemplate[44].apic[52]', 'L5PCtemplate[44].apic[38]', 'L5PCtemplate[44].apic[49]', 'L5PCtemplate[44].apic[61]', 'L5PCtemplate[44].apic[60]']",-0.023713301776240314
45,"[384.74841076073955, 373.22514603407427, 272.6730029880563]","[0.4294840055927146, 0.09140832500799925, 0.23376104023571698]",apic,"['L5PCtemplate[45].apic[30]', 'L5PCtemplate[45].apic[33]', 'L5PCtemplate[45].apic[20]']",-0.006396893432736306
46,"[263.4678674708066, 205.95709008267312, 210.4617471204462, 461.3882218553504, 461.3882218553504, 210.86125866500356]","[0.057862804528018216, 0.2996716259474774, 0.06442636983774275, 0.2576936488471891, 0.8691217656097283, 0.3918492830520165]",apic,"['L5PCtemplate[46].apic[101]', 'L5PCtemplate[46].apic[79]', 'L5PCtemplate[46].apic[93]', 'L5PCtemplate[46].apic[17]', 'L5PCtemplate[46].apic[17]', 'L5PCtemplate[46].apic[102]']",-0.016259000533125345
47,"[228.72377489782724, 250.74920881511116]","[0.14175478185440785, 0.1923534053752853]",apic,"['L5PCtemplate[47].apic[86]', 'L5PCtemplate[47].apic[102]']",0.0
48,"[261.94854786234214, 170.97330851489596, 290.9945944032781]","[0.20553277925161026, 0.13273288032784047, 0.38415491877158653]",apic,"['L5PCtemplate[48].apic[87]', 'L5PCtemplate[48].apic[102]', 'L5PCtemplate[48].apic[13]']",-0.018753502457968807
49,"[1104.4308593866588, 1082.1476014710763, 1017.3385909867684, 1082.1057865991384]","[0.6641625950797891, 3.1517659928114212, 0.4510701876011934, 3.2380487757966314]",apic,"['L5PCtemplate[49].apic[40]', 'L5PCtemplate[49].apic[78]', 'L5PCtemplate[49].apic[49]', 'L5PCtemplate[49].apic[75]']",-0.002527707255239875
50,"[1210.9982500289723, 1197.2953017254179, 1215.5595188502741, 1139.099119375378, 1197.2953017254179]","[0.7531762158073664, 5.283256554685948, 13.979165967394875, 6.509201832673449, 0.5999445224081582]",apic,"['L5PCtemplate[50].apic[63]', 'L5PCtemplate[50].apic[64]', 'L5PCtemplate[50].apic[44]', 'L5PCtemplate[50].apic[67]', 'L5PCtemplate[50].apic[64]']",-0.009578844499458228
51,"[1082.1057865991384, 1171.7745217426436, 1129.9786252269105, 1191.8338749482448, 1121.9138184241024, 1087.6134547536517, 1095.4967915045395]","[0.9727643923089153, 3.488525448299745, 0.19908024646227931, 0.5089803097116407, 0.2272027390368069, 1.7112000436878088, 3.6723942202510815]",apic,"['L5PCtemplate[51].apic[75]', 'L5PCtemplate[51].apic[77]', 'L5PCtemplate[51].apic[78]', 'L5PCtemplate[51].apic[77]', 'L5PCtemplate[51].apic[56]', 'L5PCtemplate[51].apic[49]', 'L5PCtemplate[51].apic[53]']",-0.029087299589036775
52,"[1156.7784219191974, 1041.589405455893, 1151.4676333019793]","[6.66916222273752, 0.7256869578693945, 23.256407408736344]",apic,"['L5PCtemplate[52].apic[64]', 'L5PCtemplate[52].apic[69]', 'L5PCtemplate[52].apic[76]']",-0.01020499076531678
53,"[218.58730416885743, 240.69752380559822, 137.2557592531149, 441.85902775156444]","[0.03630497627972935, 0.6194425307607727, 0.01862906388230161, 0.6281444079327122]",apic,"['L5PCtemplate[53].apic[87]', 'L5PCtemplate[53].apic[101]', 'L5PCtemplate[53].apic[2]', 'L5PCtemplate[53].apic[17]']",-0.0012620835462939795
54,"[368.7774766038379, 352.54668609881696, 306.3818005121103, 324.6838631288485, 328.36525758999204]","[0.07295404353816584, 0.07151744583576103, 0.5113953552185705, 0.14686282370126988, 0.03616747731717173]",apic,"['L5PCtemplate[54].apic[85]', 'L5PCtemplate[54].apic[85]', 'L5PCtemplate[54].apic[18]', 'L5PCtemplate[54].apic[17]', 'L5PCtemplate[54].apic[18]']",-0.008857525666883248
