Node ID,Distance,Conductance,Type,Name,EPSC
0,"[120.57705827075272, 106.30384547392431, 90.68340297221485, 66.11497450112924, 66.11497450112924]","[0.08684898402430995, 1.7766068220537774, 0.0763654817479738, 0.12589461487445183, 0.11150363931310912]",dend,"['L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]', 'L5PCtemplate[0].dend[66]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[36]']",-0.06987237838700366
1,"[80.32105935919517, 119.19831780561462, 216.5604565168211, 149.70873856557898, 94.1963273456084]","[0.12948876205704885, 0.4311735631283422, 0.3958845334088135, 0.25240872134147657, 0.0759592091122433]",dend,"['L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]']",-0.03564179390451727
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837, 177.30177078932604]","[0.2708397020884924, 2.179331893088465, 0.03794936884595254, 0.12020593834116501, 0.19896273970873812]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]', 'L5PCtemplate[2].dend[67]']",-0.061590961128388244
3,"[153.96319586631438, 112.99782162310034, 120.57705827075272, 68.94748552015548, 83.1133862528276]","[0.2616881297715293, 1.5060098257659087, 0.8751471932660991, 0.14147669112515518, 0.3097288271093763]",dend,"['L5PCtemplate[3].dend[40]', 'L5PCtemplate[3].dend[67]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[29]', 'L5PCtemplate[3].dend[36]']",-0.05985158702657145
4,"[113.81234472219249, 45.30642964871635, 66.11497450112924, 126.79328158930532, 113.79450671422445]","[0.4316291653231918, 0.11942858140137383, 0.01120330223051034, 0.0375276220762323, 0.5392701880839506]",dend,"['L5PCtemplate[4].dend[10]', 'L5PCtemplate[4].dend[6]', 'L5PCtemplate[4].dend[36]', 'L5PCtemplate[4].dend[2]', 'L5PCtemplate[4].dend[31]']",-0.0006115148835306172
5,"[144.809659283318, 134.43247134517557, 132.14108820183418, 123.06884341192504, 124.956174973597]","[0.05625545867078198, 0.03263724374938394, 0.06426437119322843, 0.32921522771861084, 0.3982151757261112]",dend,"['L5PCtemplate[5].dend[70]', 'L5PCtemplate[5].dend[67]', 'L5PCtemplate[5].dend[72]', 'L5PCtemplate[5].dend[74]', 'L5PCtemplate[5].dend[70]']",-0.03737682607578563
6,"[121.35133217772845, 161.27734916561587, 100.86394087242225, 165.669097688222, 64.37498428372382]","[0.35477847999141093, 0.28511367065605525, 0.15385901860362564, 0.6096433753494961, 0.23879463060973224]",dend,"['L5PCtemplate[6].dend[82]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[77]', 'L5PCtemplate[6].dend[61]', 'L5PCtemplate[6].dend[60]']",-0.01411740065009326
7,"[101.42502984666582, 77.5076075414143, 73.78483825144616, 100.96950177156991, 88.32971429198041]","[0.025887294999268114, 0.33088180774311243, 0.06287510351778569, 0.45472010252370787, 0.011922722017274396]",dend,"['L5PCtemplate[7].dend[27]', 'L5PCtemplate[7].dend[44]', 'L5PCtemplate[7].dend[26]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[33]']",-0.0013195347847272387
8,"[166.2683162119933, 100.96950177156991, 169.3838504300337, 82.8589089884082, 145.16818505228014]","[0.07907484080852978, 0.16286849382925628, 0.11810013729031268, 0.06287098887002088, 0.030417339104124218]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[74]', 'L5PCtemplate[8].dend[66]', 'L5PCtemplate[8].dend[80]', 'L5PCtemplate[8].dend[74]']",-0.018052241748023334
9,"[160.08025388657046, 124.63188202818775, 166.66555180618144, 204.37011221248093, 125.3566566162255]","[0.6234019809959405, 0.1845512459344914, 0.121220103087858, 0.34025320160731964, 0.2355805222335574]",dend,"['L5PCtemplate[9].dend[82]', 'L5PCtemplate[9].dend[76]', 'L5PCtemplate[9].dend[69]', 'L5PCtemplate[9].dend[70]', 'L5PCtemplate[9].dend[69]']",-0.017768280638108536
10,"[64.34817036737246, 197.0880287745798, 63.15924307395112, 66.91099239677285, 80.63428340982409]","[0.49841212789402495, 1.448778679313123, 0.5937464134428097, 0.11674594189682035, 0.29168059404024843]",dend,"['L5PCtemplate[10].dend[6]', 'L5PCtemplate[10].dend[28]', 'L5PCtemplate[10].dend[9]', 'L5PCtemplate[10].dend[10]', 'L5PCtemplate[10].dend[60]']",-0.12869546774822993
11,"[104.35920141659851, 54.42691513006233, 61.136253917246364, 78.8701601312148, 63.15924307395112]","[0.34860415056904676, 0.30747174277429856, 0.029042292937742683, 0.06635500812447213, 0.19850988814886347]",dend,"['L5PCtemplate[11].dend[33]', 'L5PCtemplate[11].dend[51]', 'L5PCtemplate[11].dend[73]', 'L5PCtemplate[11].dend[74]', 'L5PCtemplate[11].dend[9]']",-0.020705096706308268
12,"[126.69388733406447, 109.30215553762554, 53.117938220707586, 201.5855789737725, 65.1512755144224]","[0.14326429224994902, 0.6130562052454422, 0.10353619221461666, 0.44689629211974846, 0.10563427845692776]",dend,"['L5PCtemplate[12].dend[41]', 'L5PCtemplate[12].dend[56]', 'L5PCtemplate[12].dend[48]', 'L5PCtemplate[12].dend[59]', 'L5PCtemplate[12].dend[68]']",-0.03265865071995222
13,"[83.38991108602856, 172.33377399337303, 59.64978482837607, 90.61400111749089, 112.07440890816054]","[0.41278734886851715, 0.3759755058123194, 0.14846202878719048, 0.1634100000060992, 0.08217661356560486]",dend,"['L5PCtemplate[13].dend[6]', 'L5PCtemplate[13].dend[32]', 'L5PCtemplate[13].dend[39]', 'L5PCtemplate[13].dend[5]', 'L5PCtemplate[13].dend[5]']",-0.05623871033719752
14,"[43.431583169161684, 71.6922569989571, 74.31162123783537, 94.65318041623435, 101.42502984666582]","[0.05797610085305506, 0.42224268922550606, 0.15053475257195628, 0.8095055956051814, 0.11730461781576813]",dend,"['L5PCtemplate[14].dend[71]', 'L5PCtemplate[14].dend[54]', 'L5PCtemplate[14].dend[51]', 'L5PCtemplate[14].dend[44]', 'L5PCtemplate[14].dend[27]']",-0.009318360233123713
15,"[130.15984451770422, 201.17835085873975, 65.1512755144224, 109.30215553762554, 216.5604565168211]","[0.10589574916794336, 0.37731226089703046, 0.23359454504628777, 0.05342311591091244, 0.1440905859927187]",dend,"['L5PCtemplate[15].dend[61]', 'L5PCtemplate[15].dend[61]', 'L5PCtemplate[15].dend[68]', 'L5PCtemplate[15].dend[56]', 'L5PCtemplate[15].dend[28]']",-0.01641969353869399
16,"[144.809659283318, 124.63188202818775, 73.15339736778739, 179.11693402168947, 146.01110421120347]","[1.2514483973109993, 0.5664431576797905, 0.07517268937858028, 0.20101940781006847, 0.3303781097715443]",dend,"['L5PCtemplate[16].dend[70]', 'L5PCtemplate[16].dend[76]', 'L5PCtemplate[16].dend[56]', 'L5PCtemplate[16].dend[58]', 'L5PCtemplate[16].dend[69]']",-0.03848563745236788
17,"[101.42502984666582, 158.1431732900972, 114.45093534896017, 119.19831780561462, 52.04017135889184]","[0.11336464598966663, 0.0943233828513298, 0.11109127038878097, 0.26905349976047305, 0.21277775520662162]",dend,"['L5PCtemplate[17].dend[27]', 'L5PCtemplate[17].dend[28]', 'L5PCtemplate[17].dend[54]', 'L5PCtemplate[17].dend[28]', 'L5PCtemplate[17].dend[35]']",-0.00460166431679454
18,"[93.07159617395864, 147.16644446431837, 82.62241046888647, 82.8589089884082, 158.1431732900972]","[0.08119184225403536, 0.04896548419198947, 0.2553164606500565, 0.16607400836682523, 0.10942010063083864]",dend,"['L5PCtemplate[18].dend[54]', 'L5PCtemplate[18].dend[27]', 'L5PCtemplate[18].dend[82]', 'L5PCtemplate[18].dend[80]', 'L5PCtemplate[18].dend[28]']",-0.012082346975716973
19,"[158.09114346989816, 71.6922569989571, 169.50086269348816, 68.94748552015548, 66.11497450112924]","[0.09384048589322394, 0.38240859888913875, 0.3766351001857095, 0.34311258323121935, 0.0845042316242865]",dend,"['L5PCtemplate[19].dend[37]', 'L5PCtemplate[19].dend[54]', 'L5PCtemplate[19].dend[13]', 'L5PCtemplate[19].dend[29]', 'L5PCtemplate[19].dend[36]']",-0.017064998971250134
