Node ID,Distance,Conductance,Type,Name,EPSC
0,"[203.12536279050124, 205.95709008267312, 363.74225133642045, 305.1546690250625, 273.0288810798539]","[0.10299678856014763, 2.0914715551096235, 0.13087644075561655, 0.19663720542473476, 0.16331388965549598]",apic,"['L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[12]']",-0.07807544101723352
1,"[440.27348588813595, 355.24492600037985, 490.25856428421986, 381.95239250561684, 360.4140218545981]","[0.26151515706321304, 0.6871032065911713, 0.7326037322815298, 0.4105021498286822, 0.12871494172428893]",apic,"['L5PCtemplate[1].apic[36]', 'L5PCtemplate[1].apic[33]', 'L5PCtemplate[1].apic[35]', 'L5PCtemplate[1].apic[34]', 'L5PCtemplate[1].apic[29]']",-0.02673640239265751
2,"[962.3558687813563, 1085.7561247998594, 1106.0631133489935, 1032.067235396822, 1143.3304046684527]","[1.840958135915116, 26.043368744005125, 0.5658226162591516, 1.0740856975258959, 3.003149999846243]",apic,"['L5PCtemplate[2].apic[61]', 'L5PCtemplate[2].apic[40]', 'L5PCtemplate[2].apic[78]', 'L5PCtemplate[2].apic[53]', 'L5PCtemplate[2].apic[69]']",-0.046926335861030566
3,"[1226.0942663391088, 1126.8101925423127, 1229.3836923322092, 1174.227365422498, 1078.048120249858]","[5.952317228109261, 22.420512785043915, 20.843925683756982, 2.847350388622544, 3.89112347511517]",apic,"['L5PCtemplate[3].apic[43]', 'L5PCtemplate[3].apic[62]', 'L5PCtemplate[3].apic[63]', 'L5PCtemplate[3].apic[63]', 'L5PCtemplate[3].apic[61]']",-0.02648093179686839
4,"[1151.7151685370425, 1282.9004727400306, 1210.1604815084042, 1229.3836923322092, 1224.7736160644306]","[7.2974143402881655, 4.10360788672014, 0.274424519138041, 0.9164746473878689, 12.749863191188537]",apic,"['L5PCtemplate[4].apic[77]', 'L5PCtemplate[4].apic[44]', 'L5PCtemplate[4].apic[76]', 'L5PCtemplate[4].apic[63]', 'L5PCtemplate[4].apic[67]']",-0.0003326851555129906
5,"[1082.1057865991384, 1249.289046979354, 1249.2882902345739, 1171.7745217426436, 1181.8091763174295]","[0.6764758023190037, 0.8664618656903648, 1.6990504619350928, 6.05058637747708, 7.632012476801122]",apic,"['L5PCtemplate[5].apic[75]', 'L5PCtemplate[5].apic[76]', 'L5PCtemplate[5].apic[72]', 'L5PCtemplate[5].apic[77]', 'L5PCtemplate[5].apic[70]']",-0.01533662028236904
6,"[1289.2205100918568, 1211.893228153846, 1272.0712877706492, 1249.289046979354, 1211.893228153846]","[11.237044387713432, 6.01007727347802, 4.664627621916197, 15.067489249726334, 5.722476479732971]",apic,"['L5PCtemplate[6].apic[73]', 'L5PCtemplate[6].apic[77]', 'L5PCtemplate[6].apic[77]', 'L5PCtemplate[6].apic[76]', 'L5PCtemplate[6].apic[77]']",-0.005853448132597805
7,"[927.1713370718313, 993.0225484154898, 1002.0205556485153, 827.6286096659444, 1011.0571864526626]","[0.16229280101375157, 2.824685034122449, 0.5721827274936978, 1.7470621568898388, 0.11296146206910437]",apic,"['L5PCtemplate[7].apic[52]', 'L5PCtemplate[7].apic[38]', 'L5PCtemplate[7].apic[68]', 'L5PCtemplate[7].apic[51]', 'L5PCtemplate[7].apic[40]']",-0.0011063329381499898
8,"[409.7284324223408, 403.90172233454246, 402.5403908502934, 427.914516222958, 425.4909328219618]","[0.13483324483604042, 0.29656159627597767, 0.19680634158697768, 0.12434355185918944, 0.0556122743432184]",apic,"['L5PCtemplate[8].apic[30]', 'L5PCtemplate[8].apic[35]', 'L5PCtemplate[8].apic[36]', 'L5PCtemplate[8].apic[31]', 'L5PCtemplate[8].apic[35]']",-0.01272297969023839
9,"[1224.7736160644306, 1141.7803285602572, 1221.3364953488497, 1247.7691346354463, 1247.7691346354463]","[13.85439853908889, 2.9647469436344895, 2.6745358798972267, 7.988412575650446, 6.155061195688351]",apic,"['L5PCtemplate[9].apic[67]', 'L5PCtemplate[9].apic[40]', 'L5PCtemplate[9].apic[42]', 'L5PCtemplate[9].apic[63]', 'L5PCtemplate[9].apic[63]']",-0.017162872407538998
10,"[306.3818005121103, 158.2100911073697, 363.74225133642045, 236.90947113093318, 170.97330851489596]","[0.7709880784539973, 1.3773547294917, 1.0322457658706397, 0.15859721172171, 0.3369395351482885]",apic,"['L5PCtemplate[10].apic[18]', 'L5PCtemplate[10].apic[100]', 'L5PCtemplate[10].apic[17]', 'L5PCtemplate[10].apic[96]', 'L5PCtemplate[10].apic[102]']",-0.10897254198880546
11,"[729.6829361103198, 861.5980969360079, 816.8660199789317, 827.6286096659444, 795.6720588997864]","[1.2190303360528498, 1.4747086182948503, 0.11511325494934829, 0.26776317780466147, 0.6972763784357324]",apic,"['L5PCtemplate[11].apic[51]', 'L5PCtemplate[11].apic[37]', 'L5PCtemplate[11].apic[60]', 'L5PCtemplate[11].apic[51]', 'L5PCtemplate[11].apic[60]']",-0.013111364638973555
12,"[337.26470596668537, 381.95239250561684, 282.947306800692, 282.947306800692, 294.4953777956342]","[0.22047435288332634, 1.041221343460958, 0.1575140890068388, 0.5516405201540208, 0.16194284075428259]",apic,"['L5PCtemplate[12].apic[33]', 'L5PCtemplate[12].apic[34]', 'L5PCtemplate[12].apic[10]', 'L5PCtemplate[12].apic[10]', 'L5PCtemplate[12].apic[93]']",-0.027241462892391155
13,"[1058.766078338441, 947.4944939198651, 962.8275558003528, 901.6418642955131, 962.8275558003528]","[4.727659357206173, 2.2949556842486514, 1.1378378410973204, 0.9056285526660731, 0.591863891280801]",apic,"['L5PCtemplate[13].apic[61]', 'L5PCtemplate[13].apic[53]', 'L5PCtemplate[13].apic[68]', 'L5PCtemplate[13].apic[60]', 'L5PCtemplate[13].apic[68]']",-0.03729725776508985
14,"[1110.6060908635404, 1153.894137104828, 1266.1702708969417, 1106.0631133489935, 1061.9376052984048]","[0.9074636168785488, 7.619951626612813, 4.598597314389033, 11.288084010671241, 1.3493830012360042]",apic,"['L5PCtemplate[14].apic[54]', 'L5PCtemplate[14].apic[78]', 'L5PCtemplate[14].apic[73]', 'L5PCtemplate[14].apic[78]', 'L5PCtemplate[14].apic[69]']",-0.007971549838714509
15,"[344.2130572326344, 303.84662065878194, 257.96163675675126, 283.14649180641305, 261.94854786234214]","[0.1650730927063779, 0.48717106511757624, 0.3296143525155392, 0.07609095250725899, 0.16910652048233618]",apic,"['L5PCtemplate[15].apic[17]', 'L5PCtemplate[15].apic[84]', 'L5PCtemplate[15].apic[83]', 'L5PCtemplate[15].apic[83]', 'L5PCtemplate[15].apic[87]']",-0.014568255386393503
16,"[1017.152094658373, 962.3558687813563, 981.6379106927734, 1050.8025755333772, 1050.8025755333772]","[10.788082870979713, 3.924173292570053, 0.6219334100705932, 1.9735107051936505, 3.368945849024733]",apic,"['L5PCtemplate[16].apic[48]', 'L5PCtemplate[16].apic[61]', 'L5PCtemplate[16].apic[61]', 'L5PCtemplate[16].apic[74]', 'L5PCtemplate[16].apic[74]']",-0.025389038128764696
17,"[231.9158829836171, 337.33349416475295, 327.08942875592305, 383.46384024680384, 337.33349416475295]","[0.1457771823712146, 0.13995778091505606, 0.17059908634674553, 0.4564355214577397, 0.3594884229304494]",apic,"['L5PCtemplate[17].apic[79]', 'L5PCtemplate[17].apic[34]', 'L5PCtemplate[17].apic[19]', 'L5PCtemplate[17].apic[23]', 'L5PCtemplate[17].apic[34]']",-0.0032944336396667495
18,"[210.86125866500356, 270.69318389016496, 286.2382111360149, 310.58113404027256, 217.9271801403899]","[0.10146506504663998, 0.0647746779747118, 0.37272353831013005, 0.2558708665272864, 0.12704097719509116]",apic,"['L5PCtemplate[18].apic[102]', 'L5PCtemplate[18].apic[102]', 'L5PCtemplate[18].apic[101]', 'L5PCtemplate[18].apic[102]', 'L5PCtemplate[18].apic[101]']",-0.010964260836487938
19,"[422.3298336477784, 306.3818005121103, 383.27144544020643, 400.87413597522834, 437.76648958488096]","[0.16564153767807863, 0.5875402414280074, 0.5960210338911066, 0.6423375679395291, 0.1737471912257144]",apic,"['L5PCtemplate[19].apic[17]', 'L5PCtemplate[19].apic[18]', 'L5PCtemplate[19].apic[17]', 'L5PCtemplate[19].apic[19]', 'L5PCtemplate[19].apic[19]']",-0.01738268145885513
20,"[982.4240557244341, 943.0738268699395, 952.8663143978592, 886.396013799319, 943.0738268699395]","[0.8947111024098828, 1.9316345480362955, 0.24441771631162623, 0.2738456173357399, 1.8015959962829295]",apic,"['L5PCtemplate[20].apic[68]', 'L5PCtemplate[20].apic[61]', 'L5PCtemplate[20].apic[45]', 'L5PCtemplate[20].apic[51]', 'L5PCtemplate[20].apic[61]']",-0.004973910358785361
21,"[254.24743952539205, 240.69752380559822, 225.67649497454522, 232.77678170708953, 196.90668232211505]","[0.8429994068508572, 0.22410674414279466, 0.04823278957116099, 0.07238966003960838, 0.10234803066288699]",apic,"['L5PCtemplate[21].apic[14]', 'L5PCtemplate[21].apic[101]', 'L5PCtemplate[21].apic[12]', 'L5PCtemplate[21].apic[83]', 'L5PCtemplate[21].apic[87]']",-0.004023084009929789
22,"[1181.9363677199044, 1123.1055939734579, 1058.766078338441, 1177.809648982745, 1082.1057865991384]","[2.3480128237198357, 2.8092135464295844, 0.4231862521263488, 2.286638293057888, 1.7452351701681885]",apic,"['L5PCtemplate[22].apic[67]', 'L5PCtemplate[22].apic[40]', 'L5PCtemplate[22].apic[61]', 'L5PCtemplate[22].apic[78]', 'L5PCtemplate[22].apic[75]']",-0.005661950146418349
23,"[1082.1476014710763, 1095.4967915045395, 1163.6786045109648, 1229.724764243879, 1125.5762247415544]","[0.8898763105266116, 1.0909238756260518, 15.792648084512392, 1.8674461314530348, 0.7201915925100089]",apic,"['L5PCtemplate[23].apic[78]', 'L5PCtemplate[23].apic[53]', 'L5PCtemplate[23].apic[69]', 'L5PCtemplate[23].apic[76]', 'L5PCtemplate[23].apic[59]']",-0.009926302924156971
24,"[402.8006395439925, 344.2130572326344, 210.4617471204462, 309.0085548012233, 186.09666655964833]","[0.15574069624755937, 0.5063051585042798, 0.25750514439478805, 0.16893294705601913, 0.4700321932828455]",apic,"['L5PCtemplate[24].apic[17]', 'L5PCtemplate[24].apic[17]', 'L5PCtemplate[24].apic[93]', 'L5PCtemplate[24].apic[101]', 'L5PCtemplate[24].apic[3]']",-0.01810165422710952
25,"[305.3097915558269, 68.57024074139798, 205.95709008267312, 262.8814577601018, 344.2130572326344]","[0.43366451570321507, 0.059114823107992154, 0.1819476131412026, 0.7384062562869402, 0.3802402052951741]",apic,"['L5PCtemplate[25].apic[87]', 'L5PCtemplate[25].apic[1]', 'L5PCtemplate[25].apic[79]', 'L5PCtemplate[25].apic[86]', 'L5PCtemplate[25].apic[17]']",-0.035675982968541575
26,"[210.4617471204462, 121.19864059413838, 233.66085693160153, 236.90947113093318, 266.3004727952778]","[0.2619208734065746, 0.30532956745627193, 0.6737778374859863, 0.2059242597935604, 0.03475181520989892]",apic,"['L5PCtemplate[26].apic[93]', 'L5PCtemplate[26].apic[107]', 'L5PCtemplate[26].apic[10]', 'L5PCtemplate[26].apic[96]', 'L5PCtemplate[26].apic[9]']",-0.0319263725913288
27,"[224.86071215608382, 231.9158829836171, 290.9945944032781, 282.947306800692, 249.35268802719958]","[0.19480513677499256, 0.8444510688873679, 0.4351877720436146, 0.15369508379326394, 0.19699920561879494]",apic,"['L5PCtemplate[27].apic[13]', 'L5PCtemplate[27].apic[79]', 'L5PCtemplate[27].apic[13]', 'L5PCtemplate[27].apic[10]', 'L5PCtemplate[27].apic[12]']",-0.034405425545003254
28,"[710.093801399195, 691.5212496223327, 729.6829361103198, 691.5212496223327, 729.6829361103198]","[1.0709672964478762, 0.5339238841736103, 0.5606629809295434, 2.086310530433549, 0.6070782919245968]",apic,"['L5PCtemplate[28].apic[51]', 'L5PCtemplate[28].apic[37]', 'L5PCtemplate[28].apic[51]', 'L5PCtemplate[28].apic[37]', 'L5PCtemplate[28].apic[51]']",-0.01207538774110617
29,"[355.24492600037985, 273.4869701268372, 373.22514603407427, 320.0851050887752, 217.8688329178009]","[0.08809711845593952, 0.8582889920219068, 0.1178692872975823, 0.10848640076142795, 0.0654032305863435]",apic,"['L5PCtemplate[29].apic[33]', 'L5PCtemplate[29].apic[93]', 'L5PCtemplate[29].apic[33]', 'L5PCtemplate[29].apic[85]', 'L5PCtemplate[29].apic[6]']",-0.03489166864625304
30,"[250.0896735546317, 294.4953777956342, 381.95239250561684, 355.24492600037985, 359.6429433351849]","[0.3023743934285971, 0.04813569004140152, 0.07281005526472496, 0.12827591918192, 0.1860209909240687]",apic,"['L5PCtemplate[30].apic[10]', 'L5PCtemplate[30].apic[93]', 'L5PCtemplate[30].apic[34]', 'L5PCtemplate[30].apic[33]', 'L5PCtemplate[30].apic[34]']",-0.004501833504377828
31,"[816.8660199789317, 952.8663143978592, 827.6286096659444, 923.4443824653044, 947.4944939198651]","[3.4594487073722298, 3.2180443364074875, 0.3116767390701131, 0.872009310343185, 1.7001975473622775]",apic,"['L5PCtemplate[31].apic[60]', 'L5PCtemplate[31].apic[45]', 'L5PCtemplate[31].apic[51]', 'L5PCtemplate[31].apic[38]', 'L5PCtemplate[31].apic[53]']",-0.026255879454595288
32,"[628.9389610773487, 732.0901756623505, 808.0394749548194, 840.3384910217984, 669.3357344402208]","[0.5566858928178539, 0.6922296374414229, 0.5311117490296998, 0.35206257475241126, 1.0144509372252537]",apic,"['L5PCtemplate[32].apic[36]', 'L5PCtemplate[32].apic[60]', 'L5PCtemplate[32].apic[51]', 'L5PCtemplate[32].apic[37]', 'L5PCtemplate[32].apic[50]']",-0.022103393389727444
33,"[137.2557592531149, 224.86071215608382, 137.2557592531149, 290.9945944032781, 268.94996698754665]","[0.28376129472842426, 0.14117409922643226, 0.14794351965975133, 0.6484965243114197, 0.023165267876270355]",apic,"['L5PCtemplate[33].apic[2]', 'L5PCtemplate[33].apic[13]', 'L5PCtemplate[33].apic[2]', 'L5PCtemplate[33].apic[13]', 'L5PCtemplate[33].apic[13]']",-0.016929772337448412
34,"[352.54668609881696, 336.27742596893404, 437.76648958488096, 352.54668609881696, 345.53560556074933]","[0.3050259362029161, 0.09317589459815036, 0.14823121635730646, 0.2880504085684127, 0.035774902688048685]",apic,"['L5PCtemplate[34].apic[85]', 'L5PCtemplate[34].apic[84]', 'L5PCtemplate[34].apic[19]', 'L5PCtemplate[34].apic[85]', 'L5PCtemplate[34].apic[19]']",-0.013686242839128226
35,"[299.37612342372216, 262.8814577601018, 311.6141913062814, 296.70507413250823, 139.11942427335805]","[0.06646743460803413, 0.23247533784881871, 0.22122623389869986, 1.0622015591753142, 0.02517731425430535]",apic,"['L5PCtemplate[35].apic[10]', 'L5PCtemplate[35].apic[86]', 'L5PCtemplate[35].apic[9]', 'L5PCtemplate[35].apic[12]', 'L5PCtemplate[35].apic[99]']",-0.04338557067740112
36,"[1123.1055939734579, 1052.47602287021, 1026.1894254883025, 1020.2019945156071, 1126.8101925423127]","[3.6378298701050387, 4.72102586072097, 0.6562274981971152, 5.016466409995391, 2.477514557238539]",apic,"['L5PCtemplate[36].apic[40]', 'L5PCtemplate[36].apic[49]', 'L5PCtemplate[36].apic[39]', 'L5PCtemplate[36].apic[61]', 'L5PCtemplate[36].apic[62]']",-0.028382177858077284
37,"[109.16819945498825, 146.63971571851692, 246.5263230092218, 210.1197180388972, 204.04272657060807]","[0.09358830212376341, 0.06805497195274413, 0.046854776362134275, 0.01960196213735092, 1.1227081596653428]",apic,"['L5PCtemplate[37].apic[105]', 'L5PCtemplate[37].apic[105]', 'L5PCtemplate[37].apic[95]', 'L5PCtemplate[37].apic[94]', 'L5PCtemplate[37].apic[89]']",-0.005964681841419406
38,"[137.2557592531149, 303.84662065878194, 210.86125866500356, 252.4785624580402, 236.90947113093318]","[0.008361116471186909, 0.16368654640127844, 0.14188408905215022, 0.5544145412218886, 0.23328834275975613]",apic,"['L5PCtemplate[38].apic[2]', 'L5PCtemplate[38].apic[84]', 'L5PCtemplate[38].apic[102]', 'L5PCtemplate[38].apic[93]', 'L5PCtemplate[38].apic[96]']",-0.013104852577328074
39,"[250.0896735546317, 246.9053395718152, 240.20924589380672, 303.84662065878194, 229.0300361975717]","[0.0918654780393967, 0.267426678686173, 0.34892665523284, 0.3251987343496553, 1.044273972176078]",apic,"['L5PCtemplate[39].apic[10]', 'L5PCtemplate[39].apic[13]', 'L5PCtemplate[39].apic[7]', 'L5PCtemplate[39].apic[84]', 'L5PCtemplate[39].apic[95]']",-0.012924882018694461
40,"[205.95709008267312, 212.0648078318667, 236.90947113093318, 69.39242684257508, 205.95709008267312]","[0.1714820260059926, 0.20186538558622963, 0.2690385820281582, 0.2520665051707181, 0.07816862067410536]",apic,"['L5PCtemplate[40].apic[79]', 'L5PCtemplate[40].apic[11]', 'L5PCtemplate[40].apic[96]', 'L5PCtemplate[40].apic[104]', 'L5PCtemplate[40].apic[79]']",-0.021695972601776248
41,"[359.6429433351849, 359.6429433351849, 468.6693537968005, 359.6429433351849, 391.20536606776875]","[0.3177007488373374, 0.08568690217600501, 0.5722141946756895, 0.10519882734692557, 0.2577009628855925]",apic,"['L5PCtemplate[41].apic[34]', 'L5PCtemplate[41].apic[34]', 'L5PCtemplate[41].apic[35]', 'L5PCtemplate[41].apic[34]', 'L5PCtemplate[41].apic[33]']",-0.00908096489666832
42,"[1190.5961987729293, 1181.8091763174295, 1095.4967915045395, 1221.9712108258445, 1151.7151685370425]","[9.598662804500771, 7.026327079641902, 1.731079832851801, 3.9785274540145688, 2.9966430846460197]",apic,"['L5PCtemplate[42].apic[76]', 'L5PCtemplate[42].apic[70]', 'L5PCtemplate[42].apic[53]', 'L5PCtemplate[42].apic[71]', 'L5PCtemplate[42].apic[77]']",-0.007977779041823396
43,"[838.059981058077, 788.4503402436945, 859.2539421372223, 922.8358253746583, 749.2720708214447]","[0.5534847091131782, 0.9580217141644403, 0.25877533605490044, 1.6845095778091557, 0.2153220468521647]",apic,"['L5PCtemplate[43].apic[60]', 'L5PCtemplate[43].apic[51]', 'L5PCtemplate[43].apic[60]', 'L5PCtemplate[43].apic[60]', 'L5PCtemplate[43].apic[51]']",-0.010419721783705427
44,"[1042.5024963743288, 1029.731921039462, 1041.589405455893, 1021.6170555725964, 886.396013799319]","[3.0054929846243166, 0.40140419544091677, 2.873355539015558, 6.101535977370526, 2.2091313259890946]",apic,"['L5PCtemplate[44].apic[39]', 'L5PCtemplate[44].apic[40]', 'L5PCtemplate[44].apic[69]', 'L5PCtemplate[44].apic[68]', 'L5PCtemplate[44].apic[51]']",-0.00879972847371846
45,"[962.8275558003528, 995.521064306781, 981.6379106927734, 999.7698750450477, 1029.731921039462]","[0.25204323969644193, 0.7704580467951934, 1.6417096327054856, 0.14073602316556202, 0.30079055576421254]",apic,"['L5PCtemplate[45].apic[68]', 'L5PCtemplate[45].apic[52]', 'L5PCtemplate[45].apic[61]', 'L5PCtemplate[45].apic[49]', 'L5PCtemplate[45].apic[40]']",-0.0024371711887738456
46,"[279.9602991912391, 336.3158955937961, 360.4140218545981, 394.31562882363727, 257.87467588456104]","[0.027165210298066997, 0.24193028840467645, 0.5075860667827857, 0.7329139201513512, 0.11158789342680575]",apic,"['L5PCtemplate[46].apic[86]', 'L5PCtemplate[46].apic[85]', 'L5PCtemplate[46].apic[29]', 'L5PCtemplate[46].apic[18]', 'L5PCtemplate[46].apic[79]']",-0.01889090045779085
47,"[1247.7691346354463, 1266.1545769386835, 1302.9254615451578, 1210.9982500289723, 1210.9982500289723]","[37.332131258930524, 1.0632525549096787, 17.942535657763035, 0.511492210094127, 8.044037956266596]",apic,"['L5PCtemplate[47].apic[63]', 'L5PCtemplate[47].apic[63]', 'L5PCtemplate[47].apic[63]', 'L5PCtemplate[47].apic[63]', 'L5PCtemplate[47].apic[63]']",-0.009094196495595952
48,"[838.059981058077, 827.6286096659444, 886.396013799319, 905.9851485104439, 808.0394749548194]","[0.2133072023508847, 0.2058439582053885, 1.9195819930929308, 0.6188895998350166, 0.10302077652846503]",apic,"['L5PCtemplate[48].apic[60]', 'L5PCtemplate[48].apic[51]', 'L5PCtemplate[48].apic[51]', 'L5PCtemplate[48].apic[51]', 'L5PCtemplate[48].apic[51]']",-0.008324914563218044
49,"[384.74841076073955, 345.53560556074933, 294.4953777956342, 356.3369328288799, 272.9940969056006]","[0.4622648042081598, 0.9725550635741651, 0.12646421036422398, 0.13725857775597594, 0.03785850436077724]",apic,"['L5PCtemplate[49].apic[30]', 'L5PCtemplate[49].apic[19]', 'L5PCtemplate[49].apic[93]', 'L5PCtemplate[49].apic[25]', 'L5PCtemplate[49].apic[15]']",-0.027813239942986456
50,"[172.38649280997322, 225.67649497454522, 228.72377489782724, 383.27144544020643, 245.80261632896452]","[0.09325774910343083, 0.754582918999897, 0.027743636577726917, 0.02831131197145499, 0.16814055828080757]",apic,"['L5PCtemplate[50].apic[101]', 'L5PCtemplate[50].apic[12]', 'L5PCtemplate[50].apic[86]', 'L5PCtemplate[50].apic[17]', 'L5PCtemplate[50].apic[86]']",-0.027985884582903964
