Node ID,Distance,Conductance,Type,Name,IPSC
0,[104.90830239692104],[24.000000000000004],dend,['L5PCtemplate[0].dend[37]'],-0.008234062769929551
1,[102.77385335077885],[24.000000000000004],dend,['L5PCtemplate[1].dend[38]'],-0.011415913006374012
2,[104.99675813988493],[24.000000000000004],dend,['L5PCtemplate[2].dend[49]'],0.0
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647, 193.09949784766502, 201.17835085873975]","[24.000000000000004, 24.000000000000004, 24.000000000000004, 24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]', 'L5PCtemplate[3].dend[62]', 'L5PCtemplate[3].dend[61]']",-0.03957316786369347
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[24.000000000000004, 24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.02971821848802847
5,[220.9285964056956],[24.000000000000004],dend,['L5PCtemplate[5].dend[72]'],-0.002331174421499327
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302, 213.6186311684051, 101.98687132330745]","[24.000000000000004, 24.000000000000004, 24.000000000000004, 24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]', 'L5PCtemplate[6].dend[62]', 'L5PCtemplate[6].dend[82]']",-0.019622482307113387
7,"[132.14108820183418, 63.25794961446548]","[24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]']",-0.021012362850569843
8,"[105.12884557076974, 111.7987532910544]","[24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]']",-0.011802954126949317
9,"[134.43247134517557, 148.4577176078409]","[24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]']",-0.017449138105973816
10,[84.12946469704029],[24.000000000000004],dend,['L5PCtemplate[10].dend[14]'],0.0
11,"[106.30384547392431, 130.03362670112426]","[24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[11].dend[13]', 'L5PCtemplate[11].dend[66]']",-0.009464928429281372
12,"[155.86712106725082, 93.68792714710914]","[24.000000000000004, 24.000000000000004]",dend,"['L5PCtemplate[12].dend[67]', 'L5PCtemplate[12].dend[22]']",-0.016986581357514297
