Node ID,Distance,Conductance,Type,Name,IPSC
0,[104.90830239692104],[41.70000000000001],dend,['L5PCtemplate[0].dend[37]'],-0.009295643039308743
1,[102.77385335077885],[41.70000000000001],dend,['L5PCtemplate[1].dend[38]'],-0.01347717905986201
2,[104.99675813988493],[41.70000000000001],dend,['L5PCtemplate[2].dend[49]'],0.0
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647, 193.09949784766502, 201.17835085873975]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]', 'L5PCtemplate[3].dend[62]', 'L5PCtemplate[3].dend[61]']",-0.056868788442443474
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.03701433926437403
5,[220.9285964056956],[41.70000000000001],dend,['L5PCtemplate[5].dend[72]'],-0.0024263404469593297
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302, 213.6186311684051, 101.98687132330745]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]', 'L5PCtemplate[6].dend[62]', 'L5PCtemplate[6].dend[82]']",-0.022140563184791517
7,"[132.14108820183418, 63.25794961446548]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]']",-0.02487752078224048
8,"[105.12884557076974, 111.7987532910544]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]']",-0.01409871922533057
9,"[134.43247134517557, 148.4577176078409]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]']",-0.02003807181125694
10,[84.12946469704029],[41.70000000000001],dend,['L5PCtemplate[10].dend[14]'],0.0
11,"[106.30384547392431, 130.03362670112426]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[11].dend[13]', 'L5PCtemplate[11].dend[66]']",-0.011082562768649495
12,"[155.86712106725082, 93.68792714710914]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[12].dend[67]', 'L5PCtemplate[12].dend[22]']",-0.01940020802635445
13,"[83.3143651168523, 134.43247134517557, 109.94421115086885, 83.46440955223416]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[13].dend[45]', 'L5PCtemplate[13].dend[67]', 'L5PCtemplate[13].dend[72]', 'L5PCtemplate[13].dend[2]']",-0.06921713607113134
14,[263.9305651416439],[41.70000000000001],dend,['L5PCtemplate[14].dend[70]'],-0.003365378638875427
15,"[84.0851219578796, 125.34785430040972, 104.99675813988493]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[15].dend[19]', 'L5PCtemplate[15].dend[45]', 'L5PCtemplate[15].dend[49]']",-0.04576911491511737
16,"[216.5604565168211, 167.3813434839671, 140.67423169442782]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[16].dend[28]', 'L5PCtemplate[16].dend[45]', 'L5PCtemplate[16].dend[14]']",-0.01275539910778889
17,"[157.7359929154133, 128.94432616587443, 154.33796525279956]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[17].dend[59]', 'L5PCtemplate[17].dend[44]', 'L5PCtemplate[17].dend[72]']",-0.009752126948114892
18,"[64.34817036737246, 91.56317190102511]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[18].dend[6]', 'L5PCtemplate[18].dend[67]']",-0.017074569711894583
19,[157.2096136989632],[41.70000000000001],dend,['L5PCtemplate[19].dend[54]'],-0.00640914936838044
20,[123.2264677156664],[41.70000000000001],dend,['L5PCtemplate[20].dend[4]'],-0.012009070516683096
21,"[54.194117300567484, 126.69388733406447, 104.90830239692104]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[21].dend[15]', 'L5PCtemplate[21].dend[41]', 'L5PCtemplate[21].dend[37]']",-0.04234475181306152
22,"[104.33110970863102, 100.86394087242225, 112.99782162310034, 158.1431732900972]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[22].dend[45]', 'L5PCtemplate[22].dend[77]', 'L5PCtemplate[22].dend[67]', 'L5PCtemplate[22].dend[28]']",-0.06674796047292375
23,"[60.65930781833951, 201.17835085873975, 62.204840638074714, 84.0851219578796, 104.35920141659851]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[23].dend[80]', 'L5PCtemplate[23].dend[61]', 'L5PCtemplate[23].dend[83]', 'L5PCtemplate[23].dend[19]', 'L5PCtemplate[23].dend[33]']",-0.0881991326096454
24,[109.94421115086885],[41.70000000000001],dend,['L5PCtemplate[24].dend[72]'],-0.014000014061821275
25,[68.94748552015548],[41.70000000000001],dend,['L5PCtemplate[25].dend[29]'],0.0
26,[131.4997229334096],[41.70000000000001],dend,['L5PCtemplate[26].dend[37]'],-0.005214303692469002
27,"[68.01074554677353, 74.31162123783537]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[27].dend[65]', 'L5PCtemplate[27].dend[51]']",0.0
28,"[87.74733409990351, 158.1431732900972]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[28].dend[72]', 'L5PCtemplate[28].dend[28]']",-0.03430378987019367
29,"[135.8111998862337, 74.88580032951214]","[41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[29].dend[59]', 'L5PCtemplate[29].dend[35]']",-0.03820168895458664
30,"[177.61560103233853, 60.65930781833951, 134.43247134517557, 140.71579303214946, 54.194117300567484]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[30].dend[28]', 'L5PCtemplate[30].dend[80]', 'L5PCtemplate[30].dend[67]', 'L5PCtemplate[30].dend[82]', 'L5PCtemplate[30].dend[15]']",-0.06775235378313482
31,"[65.55045704893816, 152.4476627904528, 54.42691513006233]","[41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[31].dend[72]', 'L5PCtemplate[31].dend[33]', 'L5PCtemplate[31].dend[51]']",-0.04590218882043473
32,[73.78483825144616],[41.70000000000001],dend,['L5PCtemplate[32].dend[26]'],0.0
33,"[86.19613726756356, 177.30177078932604, 240.83685565217837, 196.95651887776307, 105.12884557076974]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[33].dend[4]', 'L5PCtemplate[33].dend[67]', 'L5PCtemplate[33].dend[5]', 'L5PCtemplate[33].dend[58]', 'L5PCtemplate[33].dend[2]']",-0.03550317057374741
34,"[98.1018678436529, 68.94748552015548, 83.3175177762149, 138.67074554785592, 207.97444699613737]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[34].dend[39]', 'L5PCtemplate[34].dend[29]', 'L5PCtemplate[34].dend[21]', 'L5PCtemplate[34].dend[28]', 'L5PCtemplate[34].dend[69]']",-0.07960651702774157
35,"[68.01074554677353, 109.30215553762554, 116.94856380256056, 60.75370898766455, 166.66555180618144]","[41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001, 41.70000000000001]",dend,"['L5PCtemplate[35].dend[65]', 'L5PCtemplate[35].dend[56]', 'L5PCtemplate[35].dend[77]', 'L5PCtemplate[35].dend[12]', 'L5PCtemplate[35].dend[69]']",-0.030980547401782133
