Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[0].soma[0]'],-0.14501989430613094
1,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[1].soma[0]'],-0.14501989430613094
2,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[2].soma[0]'],-0.14501989430613094
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001, 77.00000000000001, 77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.5795830548336767
4,"[11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.2899582544500845
5,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[5].soma[0]'],0.0
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001, 77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.5795830548336767
7,"[11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.2899582544500845
8,"[11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.2899582544500845
9,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[9].soma[0]'],-0.14501989430613094
10,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[10].soma[0]'],-0.14501989430613094
11,"[11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.2899582544500845
12,"[11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.14501989430613094
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.4348126169702482
14,[11.584681059280044],[77.00000000000001],soma,['L5PCtemplate[14].soma[0]'],-0.14501989430613094
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[77.00000000000001, 77.00000000000001, 77.00000000000001]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.4348126169702482
