Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[54.75],soma,['L5PCtemplate[0].soma[0]'],-0.1031227019382186
1,[11.584681059280044],[54.75],soma,['L5PCtemplate[1].soma[0]'],-0.1031227019382186
2,[11.584681059280044],[54.75],soma,['L5PCtemplate[2].soma[0]'],-0.1031227019382186
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.41224343339933966
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.20620542556315513
5,[11.584681059280044],[54.75],soma,['L5PCtemplate[5].soma[0]'],-0.1031227019382186
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.5151987700955374
7,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.20620542556315513
8,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.20620542556315513
9,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.20620542556315513
10,[11.584681059280044],[54.75],soma,['L5PCtemplate[10].soma[0]'],0.0
11,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.20620542556315513
12,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.20620542556315513
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.41224343339933966
14,[11.584681059280044],[54.75],soma,['L5PCtemplate[14].soma[0]'],-0.1031227019382186
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.41224343339933966
16,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]']",-0.20620542556315513
17,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75]",soma,"['L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]']",-0.20620542556315513
18,"[11.584681059280044, 11.584681059280044]","[54.75, 54.75]",soma,"['L5PCtemplate[18].soma[0]', 'L5PCtemplate[18].soma[0]']",-0.20620542556315513
19,[11.584681059280044],[54.75],soma,['L5PCtemplate[19].soma[0]'],-0.1031227019382186
20,[11.584681059280044],[54.75],soma,['L5PCtemplate[20].soma[0]'],-0.1031227019382186
21,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75]",soma,"['L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]']",-0.3092456606310634
22,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[54.75, 54.75, 54.75, 54.75]",soma,"['L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]']",-0.41224343339933966
