Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[0].soma[0]'],-0.11735911971868518
1,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[1].soma[0]'],-0.11735911971868518
2,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[2].soma[0]'],-0.11735911971868518
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.4691138723146082
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.23466571412598114
5,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[5].soma[0]'],-0.11735911971868518
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.586255513437095
7,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.23466571412598114
8,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.23466571412598114
9,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.23466571412598114
10,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[10].soma[0]'],0.0
11,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.23466571412598114
12,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.23466571412598114
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.4691138723146082
14,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[14].soma[0]'],-0.11735911971868518
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.4691138723146082
16,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]']",-0.23466571412598114
17,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]']",-0.23466571412598114
18,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[18].soma[0]', 'L5PCtemplate[18].soma[0]']",-0.23466571412598114
19,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[19].soma[0]'],-0.11735911971868518
20,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[20].soma[0]'],-0.11735911971868518
21,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]']",-0.3519172854282715
22,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]']",-0.4691138723146082
23,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]']",-0.586255513437095
24,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[24].soma[0]'],-0.11735911971868518
25,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[25].soma[0]'],-0.11735911971868518
26,[11.584681059280044],[62.31000000000003],soma,['L5PCtemplate[26].soma[0]'],0.0
27,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[27].soma[0]', 'L5PCtemplate[27].soma[0]']",-0.23466571412598114
28,"[11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[28].soma[0]', 'L5PCtemplate[28].soma[0]']",-0.23466571412598114
29,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[29].soma[0]', 'L5PCtemplate[29].soma[0]', 'L5PCtemplate[29].soma[0]']",-0.3519172854282715
30,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003, 62.31000000000003]",soma,"['L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]']",-0.586255513437095
