Node ID,Distance,Conductance,Type,Name,IPSC
0,"[104.90830239692104, 213.6186311684051, 43.376657406909544]","[27.52467806545371, 27.67328954365241, 27.606882178503987]",dend,"['L5PCtemplate[0].dend[37]', 'L5PCtemplate[0].dend[62]', 'L5PCtemplate[0].dend[1]']",-0.041508127723943744
1,"[102.77385335077885, 170.12215362637647, 104.99675813988493]","[28.27807570894204, 27.87885409812947, 27.655519491374584]",dend,"['L5PCtemplate[1].dend[38]', 'L5PCtemplate[1].dend[2]', 'L5PCtemplate[1].dend[49]']",-0.024431653510248452
2,"[104.99675813988493, 152.06123120618486, 197.0880287745798]","[28.102660942068002, 27.761517346362798, 27.81085679021282]",dend,"['L5PCtemplate[2].dend[49]', 'L5PCtemplate[2].dend[62]', 'L5PCtemplate[2].dend[28]']",-0.025875738376157642
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647]","[27.737345054616508, 27.253133473599334, 27.763393960684986]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]']",-0.047904365858641995
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[27.772811394016653, 27.992729492764067, 27.59749226767327]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.058088392731292515
5,"[220.9285964056956, 169.81666982784498, 124.956174973597]","[27.950170724123417, 27.925644634069805, 27.878093514128388]",dend,"['L5PCtemplate[5].dend[72]', 'L5PCtemplate[5].dend[31]', 'L5PCtemplate[5].dend[70]']",-0.016188829516750047
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302]","[27.741755572292167, 27.653535198517197, 27.56709109988662]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]']",-0.02523334761690421
7,"[132.14108820183418, 63.25794961446548, 109.94421115086885]","[27.8933196569355, 27.961583327453635, 28.311745292807814]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]', 'L5PCtemplate[7].dend[72]']",-0.02917155005945915
8,"[105.12884557076974, 111.7987532910544, 77.5076075414143]","[27.549380815260157, 27.52222151008547, 27.596358025607238]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[44]']",-0.03251355956450652
9,"[134.43247134517557, 148.4577176078409, 196.95651887776307]","[27.720039875847192, 27.78232587384399, 27.823470975712073]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]', 'L5PCtemplate[9].dend[58]']",-0.025258309830178405
