Node ID,Distance,Conductance,Type,Name,IPSC
0,"[104.90830239692104, 213.6186311684051, 43.376657406909544]","[40.233124432892495, 41.64847184430867, 41.01602074765702]",dend,"['L5PCtemplate[0].dend[37]', 'L5PCtemplate[0].dend[62]', 'L5PCtemplate[0].dend[1]']",-0.0527666558852502
1,"[102.77385335077885, 170.12215362637647, 104.99675813988493]","[47.40834008516231, 43.60622950599497, 41.47923325118651]",dend,"['L5PCtemplate[1].dend[38]', 'L5PCtemplate[1].dend[2]', 'L5PCtemplate[1].dend[49]']",-0.027148498223539264
2,"[104.99675813988493, 152.06123120618486, 197.0880287745798]","[45.7377232577905, 42.488736632026665, 42.95863609726497]",dend,"['L5PCtemplate[2].dend[49]', 'L5PCtemplate[2].dend[62]', 'L5PCtemplate[2].dend[28]']",-0.02884420124615872
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647]","[42.25852432968105, 37.64698546285079, 42.50660914938082]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]']",-0.06109111526768629
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[42.5962989906348, 44.69075707394349, 40.926593025459724]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.07054218452680061
5,"[220.9285964056956, 169.81666982784498, 124.956174973597]","[44.28543546784209, 44.051853657807676, 43.5989858488418]",dend,"['L5PCtemplate[5].dend[72]', 'L5PCtemplate[5].dend[31]', 'L5PCtemplate[5].dend[70]']",-0.017952617189109787
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302]","[42.30052925992541, 41.460335223973296, 40.63705809415832]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]']",-0.027618141749030656
7,"[132.14108820183418, 63.25794961446548, 109.94421115086885]","[43.74399673271906, 44.39412692812985, 47.729002788645836]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]', 'L5PCtemplate[7].dend[72]']",-0.033217445947286706
8,"[105.12884557076974, 111.7987532910544, 77.5076075414143]","[40.46838871676341, 40.20972866748067, 40.91579072006894]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[44]']",-0.03705134528928511
9,"[134.43247134517557, 148.4577176078409, 196.95651887776307]","[42.093713103306584, 42.6869130842285, 43.07877119725785]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]', 'L5PCtemplate[9].dend[58]']",-0.027827000634772503
