Node ID,Distance,Conductance,Type,Name,IPSC
0,"[104.90830239692104, 213.6186311684051, 43.376657406909544]","[28.5162397920649, 53.9924931975562, 42.60837345782643]",dend,"['L5PCtemplate[0].dend[37]', 'L5PCtemplate[0].dend[62]', 'L5PCtemplate[0].dend[1]']",-0.05332020020603068
1,"[102.77385335077885, 170.12215362637647, 104.99675813988493]","[157.6701215329215, 89.23213110790947, 50.9461985213572]",dend,"['L5PCtemplate[1].dend[38]', 'L5PCtemplate[1].dend[2]', 'L5PCtemplate[1].dend[49]']",-0.030705308415690524
2,"[104.99675813988493, 152.06123120618486, 197.0880287745798]","[127.59901864022899, 69.11725937648, 77.57544975076948]",dend,"['L5PCtemplate[2].dend[49]', 'L5PCtemplate[2].dend[62]', 'L5PCtemplate[2].dend[28]']",-0.03179467350662435
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647]","[64.97343793425895, 0.0, 69.43896468885487]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]']",-0.07051386786116609
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[71.0533818314264, 108.75362733098288, 40.99867445827502]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.07697783165951932
5,"[220.9285964056956, 169.81666982784498, 124.956174973597]","[101.45783842115766, 97.25336584053818, 89.10174527915241]",dend,"['L5PCtemplate[5].dend[72]', 'L5PCtemplate[5].dend[31]', 'L5PCtemplate[5].dend[70]']",-0.02004511409126053
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302]","[65.72952667865741, 50.60603403151941, 35.78704569484977]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]']",-0.028214060394304852
7,"[132.14108820183418, 63.25794961446548, 109.94421115086885]","[91.71194118894311, 103.41428470633731, 163.4420501956251]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]', 'L5PCtemplate[7].dend[72]']",-0.03895834620664118
8,"[105.12884557076974, 111.7987532910544, 77.5076075414143]","[32.750996901741416, 28.09511601465202, 40.80423296124099]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]', 'L5PCtemplate[8].dend[44]']",-0.03614270994205526
9,"[134.43247134517557, 148.4577176078409, 196.95651887776307]","[62.00683585951849, 72.6844355161131, 79.73788155064133]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]', 'L5PCtemplate[9].dend[58]']",-0.03012111292264308
10,"[84.12946469704029, 148.4577176078409, 116.96455005124055]","[142.0933698881056, 90.14278700210002, 0.0]",dend,"['L5PCtemplate[10].dend[14]', 'L5PCtemplate[10].dend[2]', 'L5PCtemplate[10].dend[40]']",-0.044237006717651184
11,"[106.30384547392431, 130.03362670112426, 124.29573715549212]","[151.7280654471275, 155.86968520757847, 132.85654491333926]",dend,"['L5PCtemplate[11].dend[13]', 'L5PCtemplate[11].dend[66]', 'L5PCtemplate[11].dend[27]']",-0.04465965630231494
12,"[155.86712106725082, 93.68792714710914, 144.809659283318]","[19.065912548242387, 72.97324949365647, 34.15118405777746]",dend,"['L5PCtemplate[12].dend[67]', 'L5PCtemplate[12].dend[22]', 'L5PCtemplate[12].dend[70]']",-0.028165986437045376
13,"[83.3143651168523, 134.43247134517557, 109.94421115086885]","[99.08431415959981, 79.45378196287899, 109.03202588567576]",dend,"['L5PCtemplate[13].dend[45]', 'L5PCtemplate[13].dend[67]', 'L5PCtemplate[13].dend[72]']",-0.06428189763170167
14,"[263.9305651416439, 84.12946469704029, 69.15359332682125]","[33.261577715914406, 68.25362860838477, 57.956157043770766]",dend,"['L5PCtemplate[14].dend[70]', 'L5PCtemplate[14].dend[14]', 'L5PCtemplate[14].dend[5]']",-0.06035144898959288
15,"[84.0851219578796, 125.34785430040972, 104.99675813988493]","[0.0, 6.416584845670798, 25.068642645309666]",dend,"['L5PCtemplate[15].dend[19]', 'L5PCtemplate[15].dend[45]', 'L5PCtemplate[15].dend[49]']",-0.011239753500547067
16,"[216.5604565168211, 167.3813434839671, 140.67423169442782]","[80.93692853313658, 116.63343132787045, 138.34887664236743]",dend,"['L5PCtemplate[16].dend[28]', 'L5PCtemplate[16].dend[45]', 'L5PCtemplate[16].dend[14]']",-0.027267636046701682
17,"[157.7359929154133, 128.94432616587443, 154.33796525279956]","[38.07752425018603, 98.6993185997145, 19.95859296660442]",dend,"['L5PCtemplate[17].dend[59]', 'L5PCtemplate[17].dend[44]', 'L5PCtemplate[17].dend[72]']",-0.025494100907508255
18,"[64.34817036737246, 91.56317190102511, 43.55461003450599]","[65.92421009817069, 43.19127219045073, 35.73909367241094]",dend,"['L5PCtemplate[18].dend[6]', 'L5PCtemplate[18].dend[67]', 'L5PCtemplate[18].dend[25]']",-0.07869193422038734
19,"[157.2096136989632, 243.12547345666093, 220.9285964056956]","[99.36933861185872, 80.6035734095909, 105.78003363365598]",dend,"['L5PCtemplate[19].dend[54]', 'L5PCtemplate[19].dend[72]', 'L5PCtemplate[19].dend[72]']",-0.00957401868646457
20,"[123.2264677156664, 177.61560103233853, 213.6186311684051]","[140.62646334867242, 101.99944910010447, 39.000697759703336]",dend,"['L5PCtemplate[20].dend[4]', 'L5PCtemplate[20].dend[28]', 'L5PCtemplate[20].dend[62]']",-0.03311903028162533
21,"[54.194117300567484, 126.69388733406447, 104.90830239692104]","[92.74039981120595, 56.780784697052994, 74.40129578267188]",dend,"['L5PCtemplate[21].dend[15]', 'L5PCtemplate[21].dend[41]', 'L5PCtemplate[21].dend[37]']",-0.07605288801073584
22,"[104.33110970863102, 100.86394087242225, 112.99782162310034]","[16.262156018304225, 118.48644752014613, 76.18047444631603]",dend,"['L5PCtemplate[22].dend[45]', 'L5PCtemplate[22].dend[77]', 'L5PCtemplate[22].dend[67]']",-0.048097228085453025
23,"[60.65930781833951, 201.17835085873975, 62.204840638074714]","[91.048657832689, 89.01227186288827, 13.534185114646995]",dend,"['L5PCtemplate[23].dend[80]', 'L5PCtemplate[23].dend[61]', 'L5PCtemplate[23].dend[83]']",-0.03372083584736174
24,"[109.94421115086885, 135.8302745239617, 138.67074554785592]","[33.993867112872856, 101.59178102104445, 57.516478634404145]",dend,"['L5PCtemplate[24].dend[72]', 'L5PCtemplate[24].dend[54]', 'L5PCtemplate[24].dend[28]']",-0.04159335345121917
25,"[68.94748552015548, 104.33110970863102, 112.99782162310034]","[45.07099429951424, 127.36093863132885, 111.38896010250775]",dend,"['L5PCtemplate[25].dend[29]', 'L5PCtemplate[25].dend[45]', 'L5PCtemplate[25].dend[67]']",-0.0804452227072261
26,"[131.4997229334096, 207.97444699613737, 110.35851483666956]","[71.47270296313505, 0.0, 19.737461590132234]",dend,"['L5PCtemplate[26].dend[37]', 'L5PCtemplate[26].dend[69]', 'L5PCtemplate[26].dend[66]']",-0.015724457945509585
27,"[68.01074554677353, 74.31162123783537, 63.15924307395112]","[48.735341809735615, 46.21140098631459, 76.33915938037097]",dend,"['L5PCtemplate[27].dend[65]', 'L5PCtemplate[27].dend[51]', 'L5PCtemplate[27].dend[9]']",-0.05512873664486051
28,"[87.74733409990351, 158.1431732900972, 154.99522448949983]","[104.14536031070998, 62.288812718064285, 91.15317835036637]",dend,"['L5PCtemplate[28].dend[72]', 'L5PCtemplate[28].dend[28]', 'L5PCtemplate[28].dend[5]']",-0.05139008713399562
29,"[135.8111998862337, 74.88580032951214, 223.51037200295212]","[44.660464587659646, 132.4792642246366, 17.070875730861296]",dend,"['L5PCtemplate[29].dend[59]', 'L5PCtemplate[29].dend[35]', 'L5PCtemplate[29].dend[59]']",-0.04602586092659067
30,"[177.61560103233853, 60.65930781833951, 134.43247134517557]","[111.3498957569659, 119.49977136497745, 105.37186582616872]",dend,"['L5PCtemplate[30].dend[28]', 'L5PCtemplate[30].dend[80]', 'L5PCtemplate[30].dend[67]']",-0.03794965796686256
31,"[65.55045704893816, 152.4476627904528, 54.42691513006233]","[79.5410335391503, 52.05952509502309, 63.301248905388135]",dend,"['L5PCtemplate[31].dend[72]', 'L5PCtemplate[31].dend[33]', 'L5PCtemplate[31].dend[51]']",-0.06409461813348116
32,"[73.78483825144616, 59.64978482837607, 66.11497450112924]","[61.57402991180354, 96.83689925621624, 112.81522332623683]",dend,"['L5PCtemplate[32].dend[26]', 'L5PCtemplate[32].dend[39]', 'L5PCtemplate[32].dend[36]']",-0.10943012062796242
33,"[86.19613726756356, 177.30177078932604, 240.83685565217837]","[87.84213998462594, 79.31058773896382, 116.16867658457855]",dend,"['L5PCtemplate[33].dend[4]', 'L5PCtemplate[33].dend[67]', 'L5PCtemplate[33].dend[5]']",-0.03282489208231709
34,"[98.1018678436529, 68.94748552015548, 83.3175177762149]","[94.03140456316716, 146.62179242150575, 71.89164989467625]",dend,"['L5PCtemplate[34].dend[39]', 'L5PCtemplate[34].dend[29]', 'L5PCtemplate[34].dend[21]']",-0.10035357947089096
35,"[68.01074554677353, 109.30215553762554, 116.94856380256056]","[122.19700436265012, 99.39832240139758, 66.50597398185505]",dend,"['L5PCtemplate[35].dend[65]', 'L5PCtemplate[35].dend[56]', 'L5PCtemplate[35].dend[77]']",-0.052619115176355535
36,"[145.83871710874416, 135.46387295877747, 140.67423169442782]","[54.41790555447638, 97.14635190733418, 86.66482863661417]",dend,"['L5PCtemplate[36].dend[76]', 'L5PCtemplate[36].dend[40]', 'L5PCtemplate[36].dend[14]']",-0.03860129111643573
37,"[97.73142930013243, 65.55045704893816, 145.83871710874416]","[102.16469637996212, 80.09832033894511, 100.125409519225]",dend,"['L5PCtemplate[37].dend[35]', 'L5PCtemplate[37].dend[72]', 'L5PCtemplate[37].dend[76]']",-0.05645190540661815
38,"[87.65144279883467, 125.3566566162255, 124.956174973597]","[53.96300393477006, 19.272798347568873, 122.20770489869469]",dend,"['L5PCtemplate[38].dend[48]', 'L5PCtemplate[38].dend[69]', 'L5PCtemplate[38].dend[70]']",-0.022244622994094243
39,"[49.11656274943088, 69.15359332682125, 85.10253843614804]","[46.681101287480864, 78.74531063221599, 84.79603675069784]",dend,"['L5PCtemplate[39].dend[36]', 'L5PCtemplate[39].dend[5]', 'L5PCtemplate[39].dend[68]']",-0.08973853519052
40,"[73.78483825144616, 104.71130249161499, 96.89358253592437]","[95.64904426355093, 70.80352950638674, 88.57285566345708]",dend,"['L5PCtemplate[40].dend[26]', 'L5PCtemplate[40].dend[4]', 'L5PCtemplate[40].dend[60]']",-0.09344986771111508
41,"[152.4476627904528, 116.94856380256056, 90.68340297221485]","[121.213295485572, 121.75386008669574, 63.02746947810862]",dend,"['L5PCtemplate[41].dend[33]', 'L5PCtemplate[41].dend[77]', 'L5PCtemplate[41].dend[66]']",-0.037752820685454935
42,"[140.51513324199686, 89.91900974132152, 90.36166855948268]","[116.47010969838605, 106.26918742436942, 113.71491286001111]",dend,"['L5PCtemplate[42].dend[6]', 'L5PCtemplate[42].dend[58]', 'L5PCtemplate[42].dend[10]']",-0.050138351171824524
43,"[184.51662790275998, 83.38991108602856, 149.70873856557898]","[63.170865224353754, 10.20610695544044, 108.87723003172036]",dend,"['L5PCtemplate[43].dend[70]', 'L5PCtemplate[43].dend[6]', 'L5PCtemplate[43].dend[66]']",-0.025580513168677044
