Node ID,Distance,Conductance,Type,Name,IPSC
0,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[14.110754273867993, 26.84180423955656, 21.152906625174936]",soma,"['L5PCtemplate[0].soma[0]', 'L5PCtemplate[0].soma[0]', 'L5PCtemplate[0].soma[0]']",-0.11697396587209141
1,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[78.65181906603495, 44.45183440642476, 25.319503094422675]",soma,"['L5PCtemplate[1].soma[0]', 'L5PCtemplate[1].soma[0]', 'L5PCtemplate[1].soma[0]']",-0.27946369318527786
2,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[63.62462070382554, 34.39998600507987, 38.62673169489842]",soma,"['L5PCtemplate[2].soma[0]', 'L5PCtemplate[2].soma[0]', 'L5PCtemplate[2].soma[0]']",-0.25730991804806536
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[32.329226345481075, 0.0, 34.560749298680534]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.1259833877128358
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[35.36750942076003, 54.20715988012172, 20.348504264010217]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.20700200679186764
5,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[50.561292033239624, 48.46022365198006, 44.386677710332]",soma,"['L5PCtemplate[5].soma[0]', 'L5PCtemplate[5].soma[0]', 'L5PCtemplate[5].soma[0]']",-0.27002610768107616
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[32.70706069302908, 25.14951533963984, 17.744137556954097]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.14238521704612594
7,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[45.69105061080796, 51.538971718528, 81.53618008386931]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.336558225754402
8,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[16.226956507286896, 13.900309363988615, 20.25133752702016]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.09489045001629393
9,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[30.846749364242715, 36.18258319263541, 39.70734691933438]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.20100369310682709
10,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.86777011908389, 44.906909393549434, 0.0]",soma,"['L5PCtemplate[10].soma[0]', 'L5PCtemplate[10].soma[0]', 'L5PCtemplate[10].soma[0]']",-0.21801661184213117
11,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[75.68244159427289, 77.75210102456491, 66.25192341641593]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.41353456986712445
12,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[9.388215742857799, 36.32690995530222, 16.926661144428245]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.11798389693353784
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[49.37518921475558, 39.56537604200536, 54.346281824536305]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.2697977434195309
14,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[16.482105086369454, 33.968410518467834, 28.822535144928786]",soma,"['L5PCtemplate[14].soma[0]', 'L5PCtemplate[14].soma[0]', 'L5PCtemplate[14].soma[0]']",-0.1492996988304185
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[0.0, 3.067065593711611, 12.387913366364476]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.02911224462991413
16,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[40.306537341975755, 58.14487304412193, 68.99656363322751]",soma,"['L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]']",-0.31526297785973156
17,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[18.88874059057908, 49.182798378024, 9.834307985255936]",soma,"['L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]']",-0.14672547340524034
18,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[32.80434832405808, 21.44419407517247, 17.720174865740915]",soma,"['L5PCtemplate[18].soma[0]', 'L5PCtemplate[18].soma[0]', 'L5PCtemplate[18].soma[0]']",-0.135546503152284
19,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[49.51762226742607, 40.13995237884834, 52.72118902970753]",soma,"['L5PCtemplate[19].soma[0]', 'L5PCtemplate[19].soma[0]', 'L5PCtemplate[19].soma[0]']",-0.2680887949367161
20,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.13472432340603, 50.831946925302205, 19.350070908251755]",soma,"['L5PCtemplate[20].soma[0]', 'L5PCtemplate[20].soma[0]', 'L5PCtemplate[20].soma[0]']",-0.26420817347911907
21,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[46.20499423898875, 28.235175463888428, 37.0405364202852]",soma,"['L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]']",-0.2099338816762497
22,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[7.987116299147033, 59.0708664135397, 37.92963153581182]",soma,"['L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]']",-0.19771116013629353
23,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[45.359593178057644, 44.34196585592667, 6.623888617013879]",soma,"['L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]', 'L5PCtemplate[23].soma[0]']",-0.18140440000564695
24,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[16.848046371127303, 50.628226126905275, 28.602818073136966]",soma,"['L5PCtemplate[24].soma[0]', 'L5PCtemplate[24].soma[0]', 'L5PCtemplate[24].soma[0]']",-0.18094061066307177
25,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[22.383532984673927, 63.50564683271128, 55.52409422900318]",soma,"['L5PCtemplate[25].soma[0]', 'L5PCtemplate[25].soma[0]', 'L5PCtemplate[25].soma[0]']",-0.2662717992009789
26,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[35.57705350852221, 0.0, 9.723803722402195]",soma,"['L5PCtemplate[26].soma[0]', 'L5PCtemplate[26].soma[0]', 'L5PCtemplate[26].soma[0]']",-0.08532765420596888
27,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[24.21468886547622, 22.95341954843888, 38.00892992369094]",soma,"['L5PCtemplate[27].soma[0]', 'L5PCtemplate[27].soma[0]', 'L5PCtemplate[27].soma[0]']",-0.16041565601625507
28,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[51.90430644415757, 30.98765946661046, 45.411824403419196]",soma,"['L5PCtemplate[28].soma[0]', 'L5PCtemplate[28].soma[0]', 'L5PCtemplate[28].soma[0]']",-0.2415992004713985
29,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[22.1783821647777, 66.0633878722559, 8.391251511060972]",soma,"['L5PCtemplate[29].soma[0]', 'L5PCtemplate[29].soma[0]', 'L5PCtemplate[29].soma[0]']",-0.18198343430100294
30,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[55.50457290743935, 59.57724685710957, 52.51721850591042]",soma,"['L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]', 'L5PCtemplate[30].soma[0]']",-0.31554721721107626
31,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[39.60897759359206, 25.87585712387404, 31.493596327998127]",soma,"['L5PCtemplate[31].soma[0]', 'L5PCtemplate[31].soma[0]', 'L5PCtemplate[31].soma[0]']",-0.18263369576629884
32,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[30.630466614259607, 48.252106044981396, 56.2368296566389]",soma,"['L5PCtemplate[32].soma[0]', 'L5PCtemplate[32].soma[0]', 'L5PCtemplate[32].soma[0]']",-0.2544267723109783
33,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[43.757224953428356, 39.49381870622109, 57.912624771015786]",soma,"['L5PCtemplate[33].soma[0]', 'L5PCtemplate[33].soma[0]', 'L5PCtemplate[33].soma[0]']",-0.2658020536955519
34,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[46.85013800253826, 73.1307234906358, 35.78641060014516]",soma,"['L5PCtemplate[34].soma[0]', 'L5PCtemplate[34].soma[0]', 'L5PCtemplate[34].soma[0]']",-0.2932838332924348
35,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[60.92511412455765, 49.532106111142845, 33.095068664821454]",soma,"['L5PCtemplate[35].soma[0]', 'L5PCtemplate[35].soma[0]', 'L5PCtemplate[35].soma[0]']",-0.27029728386622764
36,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[27.054392247917505, 48.40674641147061, 43.16889631035247]",soma,"['L5PCtemplate[36].soma[0]', 'L5PCtemplate[36].soma[0]', 'L5PCtemplate[36].soma[0]']",-0.2233912251412562
37,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[50.91452466320885, 39.88746619160063, 49.89544770141272]",soma,"['L5PCtemplate[37].soma[0]', 'L5PCtemplate[37].soma[0]', 'L5PCtemplate[37].soma[0]']",-0.264924629614427
38,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[26.827067799625375, 9.49160117424345, 60.930461420208815]",soma,"['L5PCtemplate[38].soma[0]', 'L5PCtemplate[38].soma[0]', 'L5PCtemplate[38].soma[0]']",-0.18314330812074786
