Node ID,Distance,Conductance,Type,Name,IPSC
0,"[21.19770181309925, 21.99791443707396, 23.685120174334173]","[14.110754273867993, 26.84180423955656, 21.152906625174936]",dend,"['L5PCtemplate[0].dend[39]', 'L5PCtemplate[0].dend[63]', 'L5PCtemplate[0].dend[0]']",-0.10096244864854498
1,"[21.19770181309925, 23.685120174334173, 39.236865054279654]","[78.65181906603495, 44.45183440642476, 25.319503094422675]",dend,"['L5PCtemplate[1].dend[39]', 'L5PCtemplate[1].dend[0]', 'L5PCtemplate[1].dend[43]']",-0.1878426178862469
2,"[39.236865054279654, 21.99791443707396, 49.484739032008434]","[63.62462070382554, 34.39998600507987, 38.62673169489842]",dend,"['L5PCtemplate[2].dend[43]', 'L5PCtemplate[2].dend[63]', 'L5PCtemplate[2].dend[18]']",-0.16138247212751367
3,"[40.46781262524572, 39.236865054279654, 40.46781262524572]","[32.329226345481075, 0.0, 34.560749298680534]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[43]', 'L5PCtemplate[3].dend[81]']",-0.0674781108358502
4,"[17.007759883768998, 45.14137537724546, 60.75370898766455]","[35.36750942076003, 54.20715988012172, 20.348504264010217]",dend,"['L5PCtemplate[4].dend[16]', 'L5PCtemplate[4].dend[78]', 'L5PCtemplate[4].dend[12]']",-0.12741330057082223
5,"[19.472293561258248, 43.55461003450599, 18.296019922873125]","[50.561292033239624, 48.46022365198006, 44.386677710332]",dend,"['L5PCtemplate[5].dend[79]', 'L5PCtemplate[5].dend[25]', 'L5PCtemplate[5].dend[78]']",-0.19599683155462344
6,"[43.376657406909544, 43.431583169161684, 21.19770181309925]","[32.70706069302908, 25.14951533963984, 17.744137556954097]",dend,"['L5PCtemplate[6].dend[1]', 'L5PCtemplate[6].dend[71]', 'L5PCtemplate[6].dend[39]']",-0.09437068121513903
7,"[45.14137537724546, 40.46781262524572, 45.14137537724546]","[45.69105061080796, 51.538971718528, 81.53618008386931]",dend,"['L5PCtemplate[7].dend[78]', 'L5PCtemplate[7].dend[81]', 'L5PCtemplate[7].dend[78]']",-0.123858493181217
8,"[23.685120174334173, 19.134581469327554, 19.134581469327554]","[16.226956507286896, 13.900309363988615, 20.25133752702016]",dend,"['L5PCtemplate[8].dend[0]', 'L5PCtemplate[8].dend[42]', 'L5PCtemplate[8].dend[42]']",-0.07732973889460482
9,"[43.431583169161684, 23.685120174334173, 38.26196533896829]","[30.846749364242715, 36.18258319263541, 39.70734691933438]",dend,"['L5PCtemplate[9].dend[71]', 'L5PCtemplate[9].dend[0]', 'L5PCtemplate[9].dend[52]']",-0.13422628584294216
10,"[46.95412193191092, 23.685120174334173, 40.42374332073766]","[70.86777011908389, 44.906909393549434, 0.0]",dend,"['L5PCtemplate[10].dend[8]', 'L5PCtemplate[10].dend[0]', 'L5PCtemplate[10].dend[39]']",-0.11023231032396552
11,"[25.153635303841966, 43.79339593421373, 49.484739032008434]","[75.68244159427289, 77.75210102456491, 66.25192341641593]",dend,"['L5PCtemplate[11].dend[7]', 'L5PCtemplate[11].dend[64]', 'L5PCtemplate[11].dend[18]']",-0.22052537922832016
12,"[43.431583169161684, 17.007759883768998, 31.71869765005929]","[9.388215742857799, 36.32690995530222, 16.926661144428245]",dend,"['L5PCtemplate[12].dend[71]', 'L5PCtemplate[12].dend[16]', 'L5PCtemplate[12].dend[78]']",-0.09992907306326515
13,"[19.134581469327554, 43.431583169161684, 45.14137537724546]","[49.37518921475558, 39.56537604200536, 54.346281824536305]",dend,"['L5PCtemplate[13].dend[42]', 'L5PCtemplate[13].dend[71]', 'L5PCtemplate[13].dend[78]']",-0.1664685273524924
14,"[31.71869765005929, 46.95412193191092, 43.376657406909544]","[16.482105086369454, 33.968410518467834, 28.822535144928786]",dend,"['L5PCtemplate[14].dend[78]', 'L5PCtemplate[14].dend[8]', 'L5PCtemplate[14].dend[1]']",-0.0892206594969025
15,"[17.007759883768998, 19.134581469327554, 39.236865054279654]","[0.0, 3.067065593711611, 12.387913366364476]",dend,"['L5PCtemplate[15].dend[16]', 'L5PCtemplate[15].dend[42]', 'L5PCtemplate[15].dend[43]']",-0.021769129122617414
