Node ID,Distance,Conductance,Type,Name,EPSP
0,379.58476907278674,0.28426654261287265,apic,L5PCtemplate[0].apic[9],0.16744381315095325
1,320.3812671851626,0.41227837511411225,apic,L5PCtemplate[1].apic[12],0.26537923673643604
2,468.6693537968005,0.4423659246861997,apic,L5PCtemplate[2].apic[35],0.20656363520485854
3,230.80523374005736,2.5114492973373905,apic,L5PCtemplate[3].apic[102],1.6653211764930518
4,93.07159617395864,0.5410956772508123,dend,L5PCtemplate[4].dend[54],0.46805160526960776
5,303.85431458375433,0.3766833722797901,apic,L5PCtemplate[5].apic[85],0.25370051931794535
6,159.52248736022364,1.303522755544154,dend,L5PCtemplate[6].dend[14],1.0019192527656884
7,231.9158829836171,0.463539153328628,apic,L5PCtemplate[7].apic[79],0.3338446449023422
8,170.12215362637647,0.5130641691968661,dend,L5PCtemplate[8].dend[2],0.43415111120813776
9,1256.1271403859382,7.244015926791692,apic,L5PCtemplate[9].apic[65],0.22014719109307634
10,135.46387295877747,0.07651158067966622,dend,L5PCtemplate[10].dend[40],0.07261804853915521
11,166.2683162119933,0.4354880989702969,dend,L5PCtemplate[11].dend[35],0.35470113460652897
12,1160.5177435476412,5.574482836631112,apic,L5PCtemplate[12].apic[67],0.30171866243975387
13,360.4140218545981,1.2686308738356273,apic,L5PCtemplate[13].apic[29],0.6366531224697667
14,1151.7151685370425,3.031820154840051,apic,L5PCtemplate[14].apic[77],0.15741562598535097
15,114.45093534896017,0.7163830388681818,dend,L5PCtemplate[15].dend[54],0.5870100142694099
16,91.56317190102511,0.6286221112173743,dend,L5PCtemplate[16].dend[67],0.5604184302410715
17,1034.9073069284893,4.78858686407439,apic,L5PCtemplate[17].apic[49],0.6779860398697366
18,73.78483825144616,0.33100249579182706,dend,L5PCtemplate[18].dend[26],0.31892339965335736
19,819.078885107589,0.977390249723612,apic,L5PCtemplate[19].apic[37],0.22450876921038798
20,66.91099239677285,0.18399808323431074,dend,L5PCtemplate[20].dend[10],0.18174696438157412
21,53.117938220707586,0.5196079256742796,dend,L5PCtemplate[21].dend[48],0.5053667581368444
22,386.6853090271192,1.2055529706127377,apic,L5PCtemplate[22].apic[29],0.5731972177443083
23,309.0085548012233,3.2641232707874477,apic,L5PCtemplate[23].apic[101],1.6392719046011734
24,205.95709008267312,0.22001042761535847,apic,L5PCtemplate[24].apic[79],0.16085279443161937
25,125.3566566162255,0.18064762635519566,dend,L5PCtemplate[25].dend[69],0.15279025731193485
26,299.37612342372216,0.30764240000440135,apic,L5PCtemplate[26].apic[10],0.20697213927329017
27,922.8358253746583,1.831830869262687,apic,L5PCtemplate[27].apic[60],0.21772742050389127
28,1129.9786252269105,5.096626578448437,apic,L5PCtemplate[28].apic[78],0.14015838948454018
29,1001.1614376649596,3.503856371958173,apic,L5PCtemplate[29].apic[46],0.4796824804233637
30,130.03362670112426,1.6114276410418191,dend,L5PCtemplate[30].dend[66],1.2029827931835086
31,1272.0712877706492,12.479885993189095,apic,L5PCtemplate[31].apic[77],0.07846733881412149
32,135.8111998862337,0.05442512372877677,dend,L5PCtemplate[32].dend[59],0.0500739152721934
33,64.34817036737246,1.6764656752386315,dend,L5PCtemplate[33].dend[6],1.4431658935148448
34,305.1546690250625,2.8033946600031725,apic,L5PCtemplate[34].apic[17],1.578221159799341
35,901.6418642955131,6.521729419472466,apic,L5PCtemplate[35].apic[60],0.7769326457578956
36,256.44604565619005,0.18683904672244914,apic,L5PCtemplate[36].apic[98],0.13451797005130572
37,62.204840638074714,0.3705717009543582,dend,L5PCtemplate[37].dend[83],0.37020628322905225
38,425.4909328219618,0.34609470797233266,apic,L5PCtemplate[38].apic[35],0.16775289671542737
39,266.3004727952778,0.8784906262001071,apic,L5PCtemplate[39].apic[9],0.5686648550717592
40,157.7359929154133,0.5175146316219142,dend,L5PCtemplate[40].dend[59],0.46734911556335135
41,63.25794961446548,0.7397400156494552,dend,L5PCtemplate[41].dend[82],0.6832246466244101
42,236.03288425906243,0.254360560932915,dend,L5PCtemplate[42].dend[28],0.21280971298172346
43,1129.7695508672211,4.679061092373519,apic,L5PCtemplate[43].apic[75],0.2507819596096539
44,127.9039575867526,0.3060290871003837,apic,L5PCtemplate[44].apic[105],0.28123828725070155
45,1224.7736160644306,1.4297123258110493,apic,L5PCtemplate[45].apic[67],0.05823538057910582
46,216.5604565168211,0.14591362067958477,dend,L5PCtemplate[46].dend[28],0.130101487510089
47,104.71130249161499,0.1629272503908802,dend,L5PCtemplate[47].dend[4],0.15494943438979192
48,177.30177078932604,0.5558066976780917,dend,L5PCtemplate[48].dend[67],0.45261581237022597
49,272.6730029880563,1.243730652217152,apic,L5PCtemplate[49].apic[20],0.7703713368355238
50,866.8068790881941,6.311047882023114,apic,L5PCtemplate[50].apic[51],1.1895421859307902
51,1243.1200317020266,4.1159176189438735,apic,L5PCtemplate[51].apic[73],0.18828295855639965
52,1268.853329714829,14.510480920403698,apic,L5PCtemplate[52].apic[76],0.10492175487861743
53,233.66085693160153,0.1818276457837451,apic,L5PCtemplate[53].apic[10],0.1263885336727668
54,118.60562735198347,0.3666669928025134,dend,L5PCtemplate[54].dend[23],0.31525154419426826
55,69.39242684257508,0.2060188342302771,apic,L5PCtemplate[55].apic[104],0.1984294536295863
56,83.3175177762149,0.19058619477701721,dend,L5PCtemplate[56].dend[21],0.18492803943826175
57,100.86394087242225,0.6680881407509373,dend,L5PCtemplate[57].dend[77],0.610030318797115
58,234.38745604921883,0.5800685726728683,apic,L5PCtemplate[58].apic[91],0.4081556561544062
59,177.30177078932604,0.8934319295036542,dend,L5PCtemplate[59].dend[67],0.6807819715043166
60,1266.1702708969417,31.98653179649967,apic,L5PCtemplate[60].apic[73],0.2879500020043366
61,219.37644786150878,0.9117863063976418,dend,L5PCtemplate[61].dend[5],0.5463022228108514
62,402.5403908502934,0.36314488890545865,apic,L5PCtemplate[62].apic[36],0.17677318687123034
63,121.35133217772845,0.6157505285612952,dend,L5PCtemplate[63].dend[82],0.4513325564694668
64,50.49431150301488,0.26504818419106435,dend,L5PCtemplate[64].dend[53],0.2591590925739382
65,166.2683162119933,0.478797240347816,dend,L5PCtemplate[65].dend[35],0.38463207567357927
66,425.4909328219618,0.24590042969015977,apic,L5PCtemplate[66].apic[35],0.11905695638439795
67,80.63428340982409,0.9207264120720887,dend,L5PCtemplate[67].dend[60],0.8553236482869693
68,112.99782162310034,0.4405709819796874,dend,L5PCtemplate[68].dend[67],0.38961328191457767
