SectionName,Degrees
Biophys1[0].soma[0],0
Biophys1[0].dend[18],1
Biophys1[0].dend[20],2
Biophys1[0].dend[19],2
Biophys1[0].dend[17],1
Biophys1[0].dend[12],1
Biophys1[0].dend[16],2
Biophys1[0].dend[13],2
Biophys1[0].dend[15],3
Biophys1[0].dend[14],3
Biophys1[0].apic[0],1
Biophys1[0].apic[2],2
Biophys1[0].apic[14],3
Biophys1[0].apic[3],3
Biophys1[0].apic[13],4
Biophys1[0].apic[4],4
Biophys1[0].apic[6],5
Biophys1[0].apic[10],6
Biophys1[0].apic[12],7
Biophys1[0].apic[11],7
Biophys1[0].apic[7],6
Biophys1[0].apic[9],7
Biophys1[0].apic[8],7
Biophys1[0].apic[5],5
Biophys1[0].apic[1],2
Biophys1[0].dend[7],1
Biophys1[0].dend[11],2
Biophys1[0].dend[8],2
Biophys1[0].dend[10],3
Biophys1[0].dend[9],3
Biophys1[0].dend[4],1
Biophys1[0].dend[6],2
Biophys1[0].dend[5],2
Biophys1[0].dend[1],1
Biophys1[0].dend[3],2
Biophys1[0].dend[2],2
Biophys1[0].dend[0],1
Biophys1[0].axon[0],1
Biophys1[0].axon[1],2
