Node ID,Distance,Conductance,Type,Name,EPSC
0,"[305.1546690250625, 203.12536279050124, 297.03914062237635, 344.2130572326344, 205.95709008267312, 296.70507413250823]","[0.2174552224241288, 2.4943724733537693, 0.19796718253566672, 0.3457427473098508, 0.2359917295145338, 0.3170238519888658]",apic,"['L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[86]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[12]']",-0.09351310357885723
1,"[299.37612342372216, 187.49904621726995]","[0.8685196432478592, 0.5766443491042476]",apic,"['L5PCtemplate[1].apic[10]', 'L5PCtemplate[1].apic[89]']",-0.024681027393569366
2,"[1017.3385909867684, 923.4443824653044]","[2.208749642690914, 0.6860749165462342]",apic,"['L5PCtemplate[2].apic[49]', 'L5PCtemplate[2].apic[38]']",-0.015372392584822592
3,"[203.12536279050124, 327.08942875592305, 232.77678170708953, 394.31562882363727, 355.24492600037985, 299.37612342372216]","[0.46402503609015927, 3.702080389675133, 0.09722519604764245, 0.31877733547748305, 0.4633810593607315, 0.5403603581297547]",apic,"['L5PCtemplate[3].apic[82]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[83]', 'L5PCtemplate[3].apic[18]', 'L5PCtemplate[3].apic[33]', 'L5PCtemplate[3].apic[10]']",-0.10621400172965423
4,"[1139.099119375378, 1289.0294885812198]","[5.0, 5.0]",apic,"['L5PCtemplate[4].apic[67]', 'L5PCtemplate[4].apic[67]']",-0.0018560668607392472
5,"[1256.1271403859382, 1246.1922402366936, 1210.9982500289723, 1155.8419231192609, 1236.259643559963, 1260.9908310564795, 1247.7691346354463]","[2.3590749523309804, 4.500642822669712, 5.0, 1.711816021787678, 0.2501787631762958, 0.7022102695046395, 5.0]",apic,"['L5PCtemplate[5].apic[65]', 'L5PCtemplate[5].apic[67]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[42]', 'L5PCtemplate[5].apic[66]', 'L5PCtemplate[5].apic[63]']",-0.00407265914503796
6,"[264.02260982087193, 231.9158829836171, 249.35268802719958, 189.59237466332434, 118.18707435641254]","[0.13348625324627722, 0.0788729480702795, 0.14768510756034708, 0.549030474793892, 0.560568222141513]",apic,"['L5PCtemplate[6].apic[95]', 'L5PCtemplate[6].apic[79]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[92]', 'L5PCtemplate[6].apic[108]']",-0.058545430509582275
7,"[363.74225133642045, 288.1820293585134, 283.14649180641305, 345.53560556074933]","[0.8314494545656318, 0.5645937280845252, 0.3501705709207128, 1.2207151245180248]",apic,"['L5PCtemplate[7].apic[17]', 'L5PCtemplate[7].apic[16]', 'L5PCtemplate[7].apic[83]', 'L5PCtemplate[7].apic[19]']",-0.018562427197821307
8,"[1082.1476014710763, 1010.9240500275828, 1106.0631133489935]","[2.6420604272854926, 0.31750198006549374, 3.6261781581421717]",apic,"['L5PCtemplate[8].apic[78]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[78]']",-0.001964298738243997
9,"[236.90947113093318, 320.3812671851626, 311.6141913062814, 311.6141913062814]","[0.15113166628439648, 0.9687013301602367, 0.040585809846953355, 0.19264480133849135]",apic,"['L5PCtemplate[9].apic[96]', 'L5PCtemplate[9].apic[12]', 'L5PCtemplate[9].apic[9]', 'L5PCtemplate[9].apic[9]']",-0.005334433646453363
