Node ID,Distance,Conductance,Type,Name,EPSC
0,"[46.95412193191092, 66.11497450112924, 143.422687241373, 106.30384547392431]","[0.12386890327561033, 1.775840988761425, 0.12621253882870115, 0.19329298942673506]",dend,"['L5PCtemplate[0].dend[8]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]']",-0.10127398344508265
1,"[119.19831780561462, 216.5604565168211, 80.32105935919517, 107.7585945973951, 149.70873856557898, 94.1963273456084, 207.97444699613737]","[0.17616705199776556, 0.21758982073773295, 0.5174520359598802, 0.44155688416550654, 0.33601996649645344, 0.11911527897983305, 0.38068186304904106]",dend,"['L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[58]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]', 'L5PCtemplate[1].dend[69]']",-0.04749096483038784
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837]","[2.2265761098917523, 0.06974934160230549, 0.1551862390123266, 0.27526490521845076]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]']",-0.0669294656574948
3,"[123.06884341192504, 149.70873856557898, 74.88580032951214, 109.94421115086885, 60.75370898766455, 104.90830239692104]","[0.3359926568474639, 1.659158999216244, 0.9515379666611536, 0.2140412506188462, 0.39655052213100034, 0.5341040238979532]",dend,"['L5PCtemplate[3].dend[74]', 'L5PCtemplate[3].dend[66]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[72]', 'L5PCtemplate[3].dend[12]', 'L5PCtemplate[3].dend[37]']",-0.07568620679307969
4,"[89.91900974132152, 64.37498428372382, 60.75370898766455, 88.32971429198041, 113.79450671422445, 77.5076075414143]","[0.1860115795059064, 0.02256654441060753, 0.06006895802489225, 0.6376866236209403, 0.08825393380696636, 0.05362088476920537]",dend,"['L5PCtemplate[4].dend[58]', 'L5PCtemplate[4].dend[60]', 'L5PCtemplate[4].dend[12]', 'L5PCtemplate[4].dend[33]', 'L5PCtemplate[4].dend[31]', 'L5PCtemplate[4].dend[44]']",-0.008345042340351938
5,"[127.3695178804456, 64.34817036737246, 78.6865814500416, 43.431583169161684, 73.78483825144616, 84.12946469704029, 49.11656274943088, 113.79450671422445]","[0.10191925645327571, 0.4008807084661954, 0.47888482842245583, 0.419818470049023, 0.34174536589108895, 0.21632466646934181, 0.6428446508512499, 0.34067134498582463]",dend,"['L5PCtemplate[5].dend[13]', 'L5PCtemplate[5].dend[6]', 'L5PCtemplate[5].dend[22]', 'L5PCtemplate[5].dend[71]', 'L5PCtemplate[5].dend[26]', 'L5PCtemplate[5].dend[14]', 'L5PCtemplate[5].dend[36]', 'L5PCtemplate[5].dend[31]']",-0.07902190696853495
6,"[74.31162123783537, 125.5981794534687, 149.70873856557898, 89.91900974132152]","[0.04537356202636752, 0.45103858955695286, 0.10933751861021151, 0.5587531563449655]",dend,"['L5PCtemplate[6].dend[51]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[66]', 'L5PCtemplate[6].dend[58]']",-0.0025122089695628347
7,"[204.37011221248093, 124.956174973597, 144.809659283318, 167.26752669263527, 244.07708083192296]","[0.02671113462498785, 0.1171125970833168, 0.2414937085453453, 0.172608011283069, 0.1189011857770154]",dend,"['L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[70]']",-0.0172337608191242
8,"[120.57705827075272, 152.4476627904528, 85.23817306740301, 138.67074554785592]","[0.052005696524395344, 0.7314443184518996, 0.24689067459929306, 0.17213113530334548]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[33]', 'L5PCtemplate[8].dend[13]', 'L5PCtemplate[8].dend[28]']",-0.016392508979379272
9,"[121.47339252334079, 106.30384547392431, 113.81234472219249, 154.99522448949983, 112.07440890816054]","[0.39789431539860226, 0.3115839994841048, 0.6464308228675063, 1.4643198889731952, 0.752532512551957]",dend,"['L5PCtemplate[9].dend[6]', 'L5PCtemplate[9].dend[13]', 'L5PCtemplate[9].dend[10]', 'L5PCtemplate[9].dend[5]', 'L5PCtemplate[9].dend[5]']",-0.1157067800107825
