Node ID,Distance,Conductance,Type,Name,EPSC
0,"[46.95412193191092, 66.11497450112924, 143.422687241373, 106.30384547392431]","[0.06785917867397755, 1.6385111457158226, 0.07022995395569082, 0.11633629388505251]",dend,"['L5PCtemplate[0].dend[8]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]']",-0.08874374821772335
1,"[119.19831780561462, 216.5604565168211, 80.32105935919517, 107.7585945973951, 149.70873856557898, 94.1963273456084, 207.97444699613737]","[0.10429539124731772, 0.13585873397258505, 0.3761090755413816, 0.31223503243831, 0.22646372087714137, 0.06513914649927352, 0.264783387417333]",dend,"['L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[58]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]', 'L5PCtemplate[1].dend[69]']",-0.03325496646056081
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837]","[2.1680908841059447, 0.03453085103734284, 0.08906536325267386, 0.17931673056927216]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]']",-0.06292984839149085
3,"[123.06884341192504, 149.70873856557898, 74.88580032951214, 109.94421115086885, 60.75370898766455, 104.90830239692104]","[0.2256960771280156, 1.5264272702844273, 0.7782776543907451, 0.13146857434860298, 0.2730029640671305, 0.39180716840121643]",dend,"['L5PCtemplate[3].dend[74]', 'L5PCtemplate[3].dend[66]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[72]', 'L5PCtemplate[3].dend[12]', 'L5PCtemplate[3].dend[37]']",-0.05830349032009963
4,"[89.91900974132152, 64.37498428372382, 60.75370898766455, 88.32971429198041, 113.79450671422445, 77.5076075414143]","[0.11089404183630697, 0.008890660393079747, 0.02862759699602654, 0.48324194681788074, 0.04563335915541904, 0.02504718136982475]",dend,"['L5PCtemplate[4].dend[58]', 'L5PCtemplate[4].dend[60]', 'L5PCtemplate[4].dend[12]', 'L5PCtemplate[4].dend[33]', 'L5PCtemplate[4].dend[31]', 'L5PCtemplate[4].dend[44]']",-0.004032532719122628
5,"[127.3695178804456, 64.34817036737246, 78.6865814500416, 43.431583169161684, 73.78483825144616, 84.12946469704029, 49.11656274943088, 113.79450671422445]","[0.05428988824803746, 0.2766919050334213, 0.3427924849863525, 0.2916250303882741, 0.22891995046443586, 0.13272127851114127, 0.48555302330002104, 0.22919311196712155]",dend,"['L5PCtemplate[5].dend[13]', 'L5PCtemplate[5].dend[6]', 'L5PCtemplate[5].dend[22]', 'L5PCtemplate[5].dend[71]', 'L5PCtemplate[5].dend[26]', 'L5PCtemplate[5].dend[14]', 'L5PCtemplate[5].dend[36]', 'L5PCtemplate[5].dend[31]']",-0.055375643209742975
6,"[74.31162123783537, 125.5981794534687, 149.70873856557898, 89.91900974132152]","[0.02050788922864568, 0.3209712221696892, 0.05920788079202293, 0.41274237428614313]",dend,"['L5PCtemplate[6].dend[51]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[66]', 'L5PCtemplate[6].dend[58]']",-0.0011388723578420468
7,"[204.37011221248093, 124.956174973597, 144.809659283318, 167.26752669263527, 244.07708083192296]","[0.011065207836063108, 0.06407625341118751, 0.15251706499071044, 0.10239027941333059, 0.06621673164448298]",dend,"['L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[70]']",-0.010506194979598149
8,"[120.57705827075272, 152.4476627904528, 85.23817306740301, 138.67074554785592]","[0.02427744992231822, 0.5738469947386635, 0.1554478540134423, 0.10169167138284525]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[33]', 'L5PCtemplate[8].dend[13]', 'L5PCtemplate[8].dend[28]']",-0.009979336054755095
9,"[121.47339252334079, 106.30384547392431, 113.81234472219249, 154.99522448949983, 112.07440890816054]","[0.2761772134019437, 0.20581861021718348, 0.49272235990732927, 1.3156356334765484, 0.5907106698559034]",dend,"['L5PCtemplate[9].dend[6]', 'L5PCtemplate[9].dend[13]', 'L5PCtemplate[9].dend[10]', 'L5PCtemplate[9].dend[5]', 'L5PCtemplate[9].dend[5]']",-0.09825998044874495
10,"[60.65930781833951, 121.35133217772845]","[0.10116577198149958, 0.27874858921185086]",dend,"['L5PCtemplate[10].dend[80]', 'L5PCtemplate[10].dend[82]']",-0.017138044951536813
11,"[114.45093534896017, 146.01110421120347, 164.66314359303897, 59.64978482837607, 82.62241046888647]","[0.32185911840796866, 0.31531754807629564, 0.02751540062228526, 0.055224410535515064, 0.18181179959590785]",dend,"['L5PCtemplate[11].dend[54]', 'L5PCtemplate[11].dend[69]', 'L5PCtemplate[11].dend[70]', 'L5PCtemplate[11].dend[39]', 'L5PCtemplate[11].dend[82]']",-0.013290741937055373
12,"[134.43247134517557, 132.4685610854313, 179.11693402168947, 152.4476627904528, 97.73142930013243]","[0.12709548315225677, 0.5888880646844818, 0.10636917783713423, 0.38346678765867354, 0.09596762703496799]",dend,"['L5PCtemplate[12].dend[67]', 'L5PCtemplate[12].dend[31]', 'L5PCtemplate[12].dend[58]', 'L5PCtemplate[12].dend[33]', 'L5PCtemplate[12].dend[35]']",-0.02819690794666485
