Node ID,Distance,Conductance,Type,Name,EPSC
0,"[46.95412193191092, 66.11497450112924, 143.422687241373, 106.30384547392431]","[0.09184266116896142, 1.6856697943553878, 0.09582041757910861, 0.15127759143673838]",dend,"['L5PCtemplate[0].dend[8]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]']",-0.09375609694330933
1,"[119.19831780561462, 216.5604565168211, 80.32105935919517, 107.7585945973951, 149.70873856557898, 94.1963273456084, 207.97444699613737]","[0.13711508340372158, 0.17651326186108782, 0.44038844144161904, 0.3727225644208147, 0.2793176092383528, 0.08895462765689605, 0.32433335869007995]",dend,"['L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[58]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]', 'L5PCtemplate[1].dend[69]']",-0.039871286287507246
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837]","[2.196692953794802, 0.05004907108353574, 0.11801500155502294, 0.226714036410329]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]']",-0.06472540887187961
3,"[123.06884341192504, 149.70873856557898, 74.88580032951214, 109.94421115086885, 60.75370898766455, 104.90830239692104]","[0.2776052403606534, 1.5952395473711876, 0.8549985785302852, 0.16921983810333674, 0.3279429540668049, 0.4584316892281069]",dend,"['L5PCtemplate[3].dend[74]', 'L5PCtemplate[3].dend[66]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[72]', 'L5PCtemplate[3].dend[12]', 'L5PCtemplate[3].dend[37]']",-0.06629825406605505
4,"[89.91900974132152, 64.37498428372382, 60.75370898766455, 88.32971429198041, 113.79450671422445, 77.5076075414143]","[0.14453059630273205, 0.014383809393317055, 0.041826418378733, 0.5541582524374414, 0.06441731630686602, 0.03709329874231488]",dend,"['L5PCtemplate[4].dend[58]', 'L5PCtemplate[4].dend[60]', 'L5PCtemplate[4].dend[12]', 'L5PCtemplate[4].dend[33]', 'L5PCtemplate[4].dend[31]', 'L5PCtemplate[4].dend[44]']",-0.005879812123055217
5,"[127.3695178804456, 64.34817036737246, 78.6865814500416, 43.431583169161684, 73.78483825144616, 84.12946469704029, 49.11656274943088, 113.79450671422445]","[0.07560735985545876, 0.33212375375840325, 0.40454764931321296, 0.34762148470257975, 0.2796423591426199, 0.1701881157738888, 0.5540857183089256, 0.2812318330272797]",dend,"['L5PCtemplate[5].dend[13]', 'L5PCtemplate[5].dend[6]', 'L5PCtemplate[5].dend[22]', 'L5PCtemplate[5].dend[71]', 'L5PCtemplate[5].dend[26]', 'L5PCtemplate[5].dend[14]', 'L5PCtemplate[5].dend[36]', 'L5PCtemplate[5].dend[31]']",-0.06597763678684032
6,"[74.31162123783537, 125.5981794534687, 149.70873856557898, 89.91900974132152]","[0.03089145816255283, 0.38301542910935515, 0.08204744743420182, 0.4799251240755942]",dend,"['L5PCtemplate[6].dend[51]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[66]', 'L5PCtemplate[6].dend[58]']",-0.0017155656038880807
7,"[204.37011221248093, 124.956174973597, 144.809659283318, 167.26752669263527, 244.07708083192296]","[0.017848715036743703, 0.08793723100833284, 0.19457218114536365, 0.13556985907213595, 0.0918596838026536]",dend,"['L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[70]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[70]']",-0.013714912169859872
8,"[120.57705827075272, 152.4476627904528, 85.23817306740301, 138.67074554785592]","[0.036229078951854815, 0.6530887783828904, 0.1966384680796839, 0.13428473238834965]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[33]', 'L5PCtemplate[8].dend[13]', 'L5PCtemplate[8].dend[28]']",-0.012854859230060356
9,"[121.47339252334079, 106.30384547392431, 113.81234472219249, 154.99522448949983, 112.07440890816054]","[0.33373425593313844, 0.25470146871482297, 0.5657250331772137, 1.3936441443014072, 0.6675013353362715]",dend,"['L5PCtemplate[9].dend[6]', 'L5PCtemplate[9].dend[13]', 'L5PCtemplate[9].dend[10]', 'L5PCtemplate[9].dend[5]', 'L5PCtemplate[9].dend[5]']",-0.10684876776707597
