Node ID,Distance,Conductance,Type,Name,EPSC
0,"[305.1546690250625, 203.12536279050124, 297.03914062237635, 344.2130572326344, 205.95709008267312, 296.70507413250823]","[0.1447554240861752, 2.1035191219442653, 0.13080714404565918, 0.2387896989283434, 0.16046575354538264, 0.21866912911473818]",apic,"['L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[86]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[12]']",-0.07773006705775742
1,"[299.37612342372216, 187.49904621726995]","[0.6564521022301458, 0.4264503940209744]",apic,"['L5PCtemplate[1].apic[10]', 'L5PCtemplate[1].apic[89]']",-0.019167081231330485
2,"[1017.3385909867684, 923.4443824653044]","[2.4109274332939354, 0.5352549160818698]",apic,"['L5PCtemplate[2].apic[49]', 'L5PCtemplate[2].apic[38]']",-0.015425652794931466
3,"[203.12536279050124, 327.08942875592305, 232.77678170708953, 394.31562882363727, 355.24492600037985, 299.37612342372216]","[0.3357061318717204, 3.1811404447430425, 0.060750362967598344, 0.2170272178279476, 0.3281909043615871, 0.3911327389631927]",apic,"['L5PCtemplate[3].apic[82]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[83]', 'L5PCtemplate[3].apic[18]', 'L5PCtemplate[3].apic[33]', 'L5PCtemplate[3].apic[10]']",-0.09022328411845137
4,"[1139.099119375378, 1289.0294885812198]","[24.17232265513912, 28.591758881885053]",apic,"['L5PCtemplate[4].apic[67]', 'L5PCtemplate[4].apic[67]']",-0.0021746054429172545
5,"[1256.1271403859382, 1246.1922402366936, 1210.9982500289723, 1155.8419231192609, 1236.259643559963, 1260.9908310564795, 1247.7691346354463]","[4.641024365801211, 9.165950816838338, 10.273867358489317, 2.560270176290048, 0.3821578035254209, 1.2517993191610295, 15.045014839995696]",apic,"['L5PCtemplate[5].apic[65]', 'L5PCtemplate[5].apic[67]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[42]', 'L5PCtemplate[5].apic[66]', 'L5PCtemplate[5].apic[63]']",-0.005918570741414442
6,"[264.02260982087193, 231.9158829836171, 249.35268802719958, 189.59237466332434, 118.18707435641254]","[0.08548061180966994, 0.04835821955190955, 0.0956430515840779, 0.40409961099274294, 0.4174939530713521]",apic,"['L5PCtemplate[6].apic[95]', 'L5PCtemplate[6].apic[79]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[92]', 'L5PCtemplate[6].apic[108]']",-0.042755881021605546
7,"[363.74225133642045, 288.1820293585134, 283.14649180641305, 345.53560556074933]","[0.6203699424735692, 0.41094929907227995, 0.2441905572210664, 0.9456420268334402]",apic,"['L5PCtemplate[7].apic[17]', 'L5PCtemplate[7].apic[16]', 'L5PCtemplate[7].apic[83]', 'L5PCtemplate[7].apic[19]']",-0.014273071489867561
8,"[1082.1476014710763, 1010.9240500275828, 1106.0631133489935]","[3.4339858760797055, 0.2858965820980427, 5.142784742904982]",apic,"['L5PCtemplate[8].apic[78]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[78]']",-0.001766364904653983
9,"[236.90947113093318, 320.3812671851626, 311.6141913062814, 311.6141913062814]","[0.09825071807822607, 0.7373389854080301, 0.023163924284616742, 0.1267178605222523]",apic,"['L5PCtemplate[9].apic[96]', 'L5PCtemplate[9].apic[12]', 'L5PCtemplate[9].apic[9]', 'L5PCtemplate[9].apic[9]']",-0.003535186937142498
