Node ID,Distance,Conductance,Type,Name,EPSC
0,"[305.1546690250625, 203.12536279050124, 297.03914062237635, 344.2130572326344, 205.95709008267312, 296.70507413250823]","[0.10988735629097905, 2.0504613499551634, 0.09857201739536499, 0.1880053423620468, 0.12508254580765574, 0.17229752252529928]",apic,"['L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[82]', 'L5PCtemplate[0].apic[86]', 'L5PCtemplate[0].apic[17]', 'L5PCtemplate[0].apic[79]', 'L5PCtemplate[0].apic[12]']",-0.07408956370369424
1,"[299.37612342372216, 187.49904621726995]","[0.5686864635641052, 0.3629917355299168]",apic,"['L5PCtemplate[1].apic[10]', 'L5PCtemplate[1].apic[89]']",-0.01679573122146394
2,"[1017.3385909867684, 923.4443824653044]","[1.9919138380849477, 0.4030199611925262]",apic,"['L5PCtemplate[2].apic[49]', 'L5PCtemplate[2].apic[38]']",-0.012600774542192994
3,"[203.12536279050124, 327.08942875592305, 232.77678170708953, 394.31562882363727, 355.24492600037985, 299.37612342372216]","[0.27911270817146194, 3.144368964333019, 0.04332482022593308, 0.16796597973549518, 0.2650972441712589, 0.3239671454857669]",apic,"['L5PCtemplate[3].apic[82]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[83]', 'L5PCtemplate[3].apic[18]', 'L5PCtemplate[3].apic[33]', 'L5PCtemplate[3].apic[10]']",-0.08664672483007507
4,"[1139.099119375378, 1289.0294885812198]","[23.227356159881047, 26.25162458025991]",apic,"['L5PCtemplate[4].apic[67]', 'L5PCtemplate[4].apic[67]']",-0.0021677449737467214
5,"[1256.1271403859382, 1246.1922402366936, 1210.9982500289723, 1155.8419231192609, 1236.259643559963, 1260.9908310564795, 1247.7691346354463]","[3.688138536425397, 7.7574628370801895, 8.906260573653071, 2.011573151012909, 0.24654547581539368, 0.8862426907691308, 13.283600231713647]",apic,"['L5PCtemplate[5].apic[65]', 'L5PCtemplate[5].apic[67]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[42]', 'L5PCtemplate[5].apic[66]', 'L5PCtemplate[5].apic[63]']",-0.005024977484424653
6,"[264.02260982087193, 231.9158829836171, 249.35268802719958, 189.59237466332434, 118.18707435641254]","[0.06244693351590995, 0.033817070073649945, 0.07073804835841888, 0.3422387247554127, 0.35909179877936204]",apic,"['L5PCtemplate[6].apic[95]', 'L5PCtemplate[6].apic[79]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[92]', 'L5PCtemplate[6].apic[108]']",-0.0358420979210905
7,"[363.74225133642045, 288.1820293585134, 283.14649180641305, 345.53560556074933]","[0.5287449707093334, 0.3425198863127407, 0.1947233278484786, 0.8386693976233172]",apic,"['L5PCtemplate[7].apic[17]', 'L5PCtemplate[7].apic[16]', 'L5PCtemplate[7].apic[83]', 'L5PCtemplate[7].apic[19]']",-0.01232776550637027
8,"[1082.1476014710763, 1010.9240500275828, 1106.0631133489935]","[2.8505201568014815, 0.19685465773559735, 4.3789184366887985]",apic,"['L5PCtemplate[8].apic[78]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[78]']",-0.0012036639503776314
9,"[236.90947113093318, 320.3812671851626, 311.6141913062814, 311.6141913062814]","[0.07299686499141488, 0.6428317214469493, 0.014984587758889846, 0.09498266603308576]",apic,"['L5PCtemplate[9].apic[96]', 'L5PCtemplate[9].apic[12]', 'L5PCtemplate[9].apic[9]', 'L5PCtemplate[9].apic[9]']",-0.0026555393290550455
10,"[230.80523374005736, 257.96163675675126, 204.04272657060807, 461.3882218553504]","[0.1855510176180141, 0.12824706008220849, 0.0674182786808111, 0.049504350846882636]",apic,"['L5PCtemplate[10].apic[102]', 'L5PCtemplate[10].apic[83]', 'L5PCtemplate[10].apic[89]', 'L5PCtemplate[10].apic[17]']",-0.010254064520154316
11,"[1197.2953017254179, 1221.3364953488497, 1105.9376687331796]","[11.471966008648954, 3.8301165397035506, 1.375107104909916]",apic,"['L5PCtemplate[11].apic[64]', 'L5PCtemplate[11].apic[42]', 'L5PCtemplate[11].apic[75]']",-0.013215502951879898
12,"[402.2416283282885, 334.27105056178317, 288.9573320507796, 311.6141913062814]","[0.48931447759606617, 0.3245084746272455, 0.6966280394161831, 1.8321220480858649]",apic,"['L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]', 'L5PCtemplate[12].apic[9]']",-0.06181154038671366
13,"[218.58730416885743, 158.5725582694369, 372.3321717457555, 272.6730029880563, 308.6432519510967]","[0.7240596182960232, 0.1189361713386061, 0.4646617669092672, 0.4412493488201193, 0.4464720071780602]",apic,"['L5PCtemplate[13].apic[87]', 'L5PCtemplate[13].apic[3]', 'L5PCtemplate[13].apic[18]', 'L5PCtemplate[13].apic[20]', 'L5PCtemplate[13].apic[19]']",-0.05114838943995892
14,"[1078.048120249858, 1210.5084104286736, 1139.099119375378, 1105.9376687331796, 1050.8025755333772, 1226.0942663391088, 1085.7561247998594]","[0.31932550742873633, 1.3489805641985142, 3.0700154931999895, 1.725226584089096, 6.138843452074043, 2.376450412739792, 4.5922173954107315]",apic,"['L5PCtemplate[14].apic[61]', 'L5PCtemplate[14].apic[41]', 'L5PCtemplate[14].apic[67]', 'L5PCtemplate[14].apic[75]', 'L5PCtemplate[14].apic[74]', 'L5PCtemplate[14].apic[43]', 'L5PCtemplate[14].apic[40]']",-0.0264239421838397
15,"[940.8389239528508, 905.9851485104439, 922.8358253746583, 982.4240557244341, 1082.1057865991384]","[0.6385960264366874, 2.1648020452939036, 1.8828793006152449, 1.1079145026370418, 1.8590943207372714]",apic,"['L5PCtemplate[15].apic[38]', 'L5PCtemplate[15].apic[51]', 'L5PCtemplate[15].apic[60]', 'L5PCtemplate[15].apic[68]', 'L5PCtemplate[15].apic[75]']",-0.03327878073378088
16,"[445.14602616885213, 402.5403908502934, 425.4909328219618, 421.4069383692147, 440.27348588813595, 391.20536606776875, 391.20536606776875]","[0.13972834614570392, 0.09810853601477161, 0.7679947131185161, 0.26174682293881857, 1.501865929740661, 0.18335331914462227, 0.1586529201929953]",apic,"['L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[35]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[36]', 'L5PCtemplate[16].apic[33]', 'L5PCtemplate[16].apic[33]']",-0.008890949082740462
17,"[816.8660199789317, 816.8660199789317, 788.4503402436945, 838.059981058077, 732.0901756623505, 797.8192791933797, 732.0901756623505, 768.8612055325697]","[1.1134248896267434, 0.8167778226700547, 0.14712019142874977, 0.44527157720204197, 3.989866854030417, 1.7209807094274439, 0.24139184678659437, 0.47983551420541043]",apic,"['L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[37]', 'L5PCtemplate[17].apic[60]', 'L5PCtemplate[17].apic[51]']",-0.024561815445167667
18,"[441.85902775156444, 240.69752380559822, 163.7600932024688, 283.14649180641305, 186.09666655964833]","[0.5571686697358134, 0.13018206820992945, 0.08519495308629116, 0.13658579269947746, 0.27737128407202355]",apic,"['L5PCtemplate[18].apic[17]', 'L5PCtemplate[18].apic[101]', 'L5PCtemplate[18].apic[103]', 'L5PCtemplate[18].apic[83]', 'L5PCtemplate[18].apic[3]']",-0.01309870606576169
19,"[355.24492600037985, 445.14602616885213, 447.0801433093812]","[0.33690184839208687, 0.14161454359325915, 0.07837674492977206]",apic,"['L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[33]', 'L5PCtemplate[19].apic[35]']",-0.0015678582727218782
20,"[1058.766078338441, 1171.0319160374543]","[2.6742205675913313, 2.881581547718503]",apic,"['L5PCtemplate[20].apic[61]', 'L5PCtemplate[20].apic[76]']",-0.004729771045219877
21,"[1032.067235396822, 968.6376792891044, 999.7698750450477, 962.8275558003528, 947.4944939198651]","[0.8895857869754241, 0.5663034684604039, 3.1355680653743265, 2.2780132539646987, 2.2100585505498493]",apic,"['L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[53]', 'L5PCtemplate[21].apic[49]', 'L5PCtemplate[21].apic[68]', 'L5PCtemplate[21].apic[53]']",-0.007637373580848816
