Node ID,Distance,Conductance,Type,Name,EPSC
0,"[120.57705827075272, 106.30384547392431, 90.68340297221485, 66.11497450112924, 66.11497450112924]","[0.08088360321691403, 1.8095318299762335, 0.07093335176363416, 0.11878858112172924, 0.10483411876468147]",dend,"['L5PCtemplate[0].dend[35]', 'L5PCtemplate[0].dend[13]', 'L5PCtemplate[0].dend[66]', 'L5PCtemplate[0].dend[36]', 'L5PCtemplate[0].dend[36]']",-0.06989803311938658
1,"[80.32105935919517, 119.19831780561462, 216.5604565168211, 149.70873856557898, 94.1963273456084]","[0.12221380337538541, 0.42100118718291096, 0.3841172462594971, 0.24230707138009855, 0.07053525785101247]",dend,"['L5PCtemplate[1].dend[75]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[28]', 'L5PCtemplate[1].dend[66]', 'L5PCtemplate[1].dend[51]']",-0.03448872272713288
2,"[145.16818505228014, 133.03318673269888, 68.01074554677353, 189.05896229448837, 177.30177078932604]","[0.26058708260404145, 2.2308108676960363, 0.03456119718293366, 0.11272676721694136, 0.18946196249955966]",dend,"['L5PCtemplate[2].dend[74]', 'L5PCtemplate[2].dend[77]', 'L5PCtemplate[2].dend[65]', 'L5PCtemplate[2].dend[66]', 'L5PCtemplate[2].dend[67]']",-0.0619153637885006
3,"[153.96319586631438, 112.99782162310034, 120.57705827075272, 68.94748552015548, 83.1133862528276]","[0.25144102955321285, 1.5260699238585762, 0.8724708066061588, 0.13393634186855233, 0.2999071551391083]",dend,"['L5PCtemplate[3].dend[40]', 'L5PCtemplate[3].dend[67]', 'L5PCtemplate[3].dend[35]', 'L5PCtemplate[3].dend[29]', 'L5PCtemplate[3].dend[36]']",-0.05884579797452716
4,"[113.81234472219249, 45.30642964871635, 66.11497450112924, 126.79328158930532, 113.79450671422445]","[0.42154736380320135, 0.1126035164358179, 0.009843374159589314, 0.034087907137699575, 0.5301423975197828]",dend,"['L5PCtemplate[4].dend[10]', 'L5PCtemplate[4].dend[6]', 'L5PCtemplate[4].dend[36]', 'L5PCtemplate[4].dend[2]', 'L5PCtemplate[4].dend[31]']",-0.0005357340356226814
5,"[144.809659283318, 134.43247134517557, 132.14108820183418, 123.06884341192504, 124.956174973597]","[0.051676405531845084, 0.029515252026380473, 0.059294655174203945, 0.3188540948144947, 0.387823305441886]",dend,"['L5PCtemplate[5].dend[70]', 'L5PCtemplate[5].dend[67]', 'L5PCtemplate[5].dend[72]', 'L5PCtemplate[5].dend[74]', 'L5PCtemplate[5].dend[70]']",-0.036022955565329084
6,"[121.35133217772845, 161.27734916561587, 100.86394087242225, 165.669097688222, 64.37498428372382]","[0.3443940540714646, 0.2745644279463965, 0.14583844166389456, 0.6002841361189941, 0.2296235263216117]",dend,"['L5PCtemplate[6].dend[82]', 'L5PCtemplate[6].dend[58]', 'L5PCtemplate[6].dend[77]', 'L5PCtemplate[6].dend[61]', 'L5PCtemplate[6].dend[60]']",-0.013773950601603246
7,"[101.42502984666582, 77.5076075414143, 73.78483825144616, 100.96950177156991, 88.32971429198041]","[0.023281477491600828, 0.321083797068879, 0.058107059018392984, 0.4450036783124529, 0.010485647306395915]",dend,"['L5PCtemplate[7].dend[27]', 'L5PCtemplate[7].dend[44]', 'L5PCtemplate[7].dend[26]', 'L5PCtemplate[7].dend[74]', 'L5PCtemplate[7].dend[33]']",-0.0011851987551381171
8,"[166.2683162119933, 100.96950177156991, 169.3838504300337, 82.8589089884082, 145.16818505228014]","[0.07330990217953333, 0.1546367939296379, 0.11077895739434367, 0.058082663592887634, 0.027439193686600017]",dend,"['L5PCtemplate[8].dend[35]', 'L5PCtemplate[8].dend[74]', 'L5PCtemplate[8].dend[66]', 'L5PCtemplate[8].dend[80]', 'L5PCtemplate[8].dend[74]']",-0.01691986074945362
9,"[160.08025388657046, 124.63188202818775, 166.66555180618144, 204.37011221248093, 125.3566566162255]","[0.6143688421241453, 0.1757087715614368, 0.11380495829033328, 0.3288248556528441, 0.225906516876094]",dend,"['L5PCtemplate[9].dend[82]', 'L5PCtemplate[9].dend[76]', 'L5PCtemplate[9].dend[69]', 'L5PCtemplate[9].dend[70]', 'L5PCtemplate[9].dend[69]']",-0.017025607394316467
10,"[64.34817036737246, 197.0880287745798, 63.15924307395112, 66.91099239677285, 80.63428340982409]","[0.4897793198492844, 1.4616177871397942, 0.5865073607896096, 0.10990820156852732, 0.28195902389803756]",dend,"['L5PCtemplate[10].dend[6]', 'L5PCtemplate[10].dend[28]', 'L5PCtemplate[10].dend[9]', 'L5PCtemplate[10].dend[10]', 'L5PCtemplate[10].dend[60]']",-0.1274281609909167
11,"[104.35920141659851, 54.42691513006233, 61.136253917246364, 78.8701601312148, 63.15924307395112]","[0.3384487368072909, 0.2979894028851073, 0.026248636541793907, 0.061408385493751744, 0.1898581452931324]",dend,"['L5PCtemplate[11].dend[33]', 'L5PCtemplate[11].dend[51]', 'L5PCtemplate[11].dend[73]', 'L5PCtemplate[11].dend[74]', 'L5PCtemplate[11].dend[9]']",-0.019922519601323074
12,"[126.69388733406447, 109.30215553762554, 53.117938220707586, 201.5855789737725, 65.1512755144224]","[0.13537480745225203, 0.6050675596587946, 0.09717981238718357, 0.4354179022098688, 0.09916136837790249]",dend,"['L5PCtemplate[12].dend[41]', 'L5PCtemplate[12].dend[56]', 'L5PCtemplate[12].dend[48]', 'L5PCtemplate[12].dend[59]', 'L5PCtemplate[12].dend[68]']",-0.03146208226496583
