Node ID,Distance,Conductance,Type,Name,IPSC
0,"[978.2791161820779, 1050.8025755333772, 50.03102303305371, 610.0724135584273, 350.34871466787376, 290.9945944032781, 324.23749899931823, 940.8389239528508]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[0].apic[45]', 'L5PCtemplate[0].apic[74]', 'L5PCtemplate[0].apic[0]', 'L5PCtemplate[0].apic[36]', 'L5PCtemplate[0].apic[18]', 'L5PCtemplate[0].apic[13]', 'L5PCtemplate[0].apic[21]', 'L5PCtemplate[0].apic[38]']",-0.001564625038952272
1,"[1070.0447388119308, 240.20924589380672, 859.2539421372223, 1070.0447388119308, 978.2791161820779, 819.078885107589, 318.57287608557755, 1197.2953017254179, 591.2058660395061, 468.6693537968005]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[1].apic[49]', 'L5PCtemplate[1].apic[7]', 'L5PCtemplate[1].apic[60]', 'L5PCtemplate[1].apic[49]', 'L5PCtemplate[1].apic[45]', 'L5PCtemplate[1].apic[37]', 'L5PCtemplate[1].apic[26]', 'L5PCtemplate[1].apic[64]', 'L5PCtemplate[1].apic[36]', 'L5PCtemplate[1].apic[35]']",-0.001378297096721326
2,"[859.2539421372223, 1249.2882902345739, 534.6062234827423, 1032.067235396822, 294.4953777956342, 229.0300361975717, 363.74225133642045, 337.7764871090879, 379.58476907278674]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[2].apic[60]', 'L5PCtemplate[2].apic[72]', 'L5PCtemplate[2].apic[36]', 'L5PCtemplate[2].apic[53]', 'L5PCtemplate[2].apic[93]', 'L5PCtemplate[2].apic[95]', 'L5PCtemplate[2].apic[17]', 'L5PCtemplate[2].apic[28]', 'L5PCtemplate[2].apic[9]']",-0.015136719503061613
3,"[197.12502106286257, 838.059981058077, 69.39242684257508, 1266.1702708969417, 1183.4764057109455, 412.9565961996402, 90.4324413232239, 90.27013936857709, 359.6429433351849, 1052.47602287021, 1129.9786252269105, 383.53218282262037, 305.3097915558269, 146.63971571851692, 345.53560556074933, 1210.9982500289723, 111.97003799575621, 1197.804532320655]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[3].apic[103]', 'L5PCtemplate[3].apic[60]', 'L5PCtemplate[3].apic[104]', 'L5PCtemplate[3].apic[73]', 'L5PCtemplate[3].apic[71]', 'L5PCtemplate[3].apic[29]', 'L5PCtemplate[3].apic[105]', 'L5PCtemplate[3].apic[1]', 'L5PCtemplate[3].apic[34]', 'L5PCtemplate[3].apic[49]', 'L5PCtemplate[3].apic[78]', 'L5PCtemplate[3].apic[24]', 'L5PCtemplate[3].apic[87]', 'L5PCtemplate[3].apic[105]', 'L5PCtemplate[3].apic[19]', 'L5PCtemplate[3].apic[63]', 'L5PCtemplate[3].apic[1]', 'L5PCtemplate[3].apic[40]']",-0.23083455441792466
4,"[359.76838909913823, 204.04272657060807, 337.7764871090879, 195.15683647518154, 972.7378218951312, 1302.9254615451578, 1252.011934565048, 1095.4967915045395, 572.3393185205848, 354.2599060505388, 320.3812671851626, 1171.0319160374543, 1105.1821706953726]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[4].apic[30]', 'L5PCtemplate[4].apic[89]', 'L5PCtemplate[4].apic[28]', 'L5PCtemplate[4].apic[101]', 'L5PCtemplate[4].apic[52]', 'L5PCtemplate[4].apic[63]', 'L5PCtemplate[4].apic[77]', 'L5PCtemplate[4].apic[53]', 'L5PCtemplate[4].apic[36]', 'L5PCtemplate[4].apic[22]', 'L5PCtemplate[4].apic[12]', 'L5PCtemplate[4].apic[76]', 'L5PCtemplate[4].apic[49]']",-0.005227481416625324
5,"[294.4953777956342, 840.3384910217984, 320.062023313858, 311.6141913062814, 232.7139044414883, 1192.6128077257351, 710.8962145832052, 978.2791161820779, 861.5980969360079, 1217.553741628528]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[5].apic[93]', 'L5PCtemplate[5].apic[37]', 'L5PCtemplate[5].apic[84]', 'L5PCtemplate[5].apic[9]', 'L5PCtemplate[5].apic[14]', 'L5PCtemplate[5].apic[63]', 'L5PCtemplate[5].apic[60]', 'L5PCtemplate[5].apic[45]', 'L5PCtemplate[5].apic[37]', 'L5PCtemplate[5].apic[64]']",-0.0014743717656529043
6,"[296.70507413250823, 1129.9786252269105, 1087.6134547536517, 1050.8025755333772, 109.16819945498825, 774.4780978206411, 968.6376792891044, 249.35268802719958, 468.6693537968005, 947.4944939198651, 1102.634004983429, 203.12536279050124, 1160.4550631470565, 212.0648078318667, 515.739675963821, 256.44604565619005]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[78]', 'L5PCtemplate[6].apic[49]', 'L5PCtemplate[6].apic[74]', 'L5PCtemplate[6].apic[105]', 'L5PCtemplate[6].apic[60]', 'L5PCtemplate[6].apic[53]', 'L5PCtemplate[6].apic[12]', 'L5PCtemplate[6].apic[35]', 'L5PCtemplate[6].apic[53]', 'L5PCtemplate[6].apic[69]', 'L5PCtemplate[6].apic[82]', 'L5PCtemplate[6].apic[40]', 'L5PCtemplate[6].apic[11]', 'L5PCtemplate[6].apic[36]', 'L5PCtemplate[6].apic[98]']",-0.0009689841562021684
7,"[220.58640692394613, 213.80748499305946, 187.49904621726995, 710.8962145832052, 337.26470596668537, 137.2557592531149, 1034.9073069284893, 1232.3947573227133, 1118.75658954297, 905.9851485104439, 901.6418642955131]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[7].apic[89]', 'L5PCtemplate[7].apic[103]', 'L5PCtemplate[7].apic[89]', 'L5PCtemplate[7].apic[60]', 'L5PCtemplate[7].apic[33]', 'L5PCtemplate[7].apic[2]', 'L5PCtemplate[7].apic[49]', 'L5PCtemplate[7].apic[44]', 'L5PCtemplate[7].apic[55]', 'L5PCtemplate[7].apic[51]', 'L5PCtemplate[7].apic[60]']",-0.011431254242211253
8,"[137.2557592531149, 968.6376792891044, 926.351308550626, 422.3298336477784, 306.3818005121103, 412.9565961996402, 978.2791161820779, 445.14602616885213, 224.86071215608382, 940.8389239528508, 363.98178236557567, 189.59237466332434]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[8].apic[2]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[53]', 'L5PCtemplate[8].apic[17]', 'L5PCtemplate[8].apic[18]', 'L5PCtemplate[8].apic[29]', 'L5PCtemplate[8].apic[45]', 'L5PCtemplate[8].apic[33]', 'L5PCtemplate[8].apic[13]', 'L5PCtemplate[8].apic[38]', 'L5PCtemplate[8].apic[19]', 'L5PCtemplate[8].apic[92]']",-0.026658677251134577
9,"[1082.1476014710763, 205.35240951557392, 1117.6804952031148, 1249.289046979354, 947.4944939198651, 384.74841076073955, 356.3369328288799, 1211.893228153846, 382.42795917040206, 268.94996698754665, 1143.3304046684527]","[143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996, 143.69999999999996]",apic,"['L5PCtemplate[9].apic[78]', 'L5PCtemplate[9].apic[5]', 'L5PCtemplate[9].apic[67]', 'L5PCtemplate[9].apic[76]', 'L5PCtemplate[9].apic[53]', 'L5PCtemplate[9].apic[30]', 'L5PCtemplate[9].apic[25]', 'L5PCtemplate[9].apic[77]', 'L5PCtemplate[9].apic[19]', 'L5PCtemplate[9].apic[13]', 'L5PCtemplate[9].apic[69]']",-0.005879422117516242
