Node ID,Distance,Conductance,Type,Name,IPSC
0,[104.90830239692104],[66.6],dend,['L5PCtemplate[0].dend[37]'],-0.009959046319352183
1,[102.77385335077885],[66.6],dend,['L5PCtemplate[1].dend[38]'],-0.014850759643536549
2,[104.99675813988493],[66.6],dend,['L5PCtemplate[2].dend[49]'],0.0
3,"[40.46781262524572, 87.65144279883467, 82.62241046888647, 193.09949784766502, 201.17835085873975]","[66.6, 66.6, 66.6, 66.6, 66.6]",dend,"['L5PCtemplate[3].dend[81]', 'L5PCtemplate[3].dend[48]', 'L5PCtemplate[3].dend[82]', 'L5PCtemplate[3].dend[62]', 'L5PCtemplate[3].dend[61]']",-0.0745287709008835
4,"[84.0851219578796, 109.94421115086885, 54.194117300567484]","[66.6, 66.6, 66.6]",dend,"['L5PCtemplate[4].dend[19]', 'L5PCtemplate[4].dend[72]', 'L5PCtemplate[4].dend[15]']",-0.042427375532838596
5,[220.9285964056956],[66.6],dend,['L5PCtemplate[5].dend[72]'],-0.002480327981402297
6,"[154.99522448949983, 177.30177078932604, 125.09637579498302, 213.6186311684051, 101.98687132330745]","[66.6, 66.6, 66.6, 66.6, 66.6]",dend,"['L5PCtemplate[6].dend[5]', 'L5PCtemplate[6].dend[67]', 'L5PCtemplate[6].dend[38]', 'L5PCtemplate[6].dend[62]', 'L5PCtemplate[6].dend[82]']",-0.02377742348613765
7,"[132.14108820183418, 63.25794961446548]","[66.6, 66.6]",dend,"['L5PCtemplate[7].dend[72]', 'L5PCtemplate[7].dend[82]']",-0.027492017605368346
8,"[105.12884557076974, 111.7987532910544]","[66.6, 66.6]",dend,"['L5PCtemplate[8].dend[2]', 'L5PCtemplate[8].dend[44]']",-0.015643231488127185
9,"[134.43247134517557, 148.4577176078409]","[66.6, 66.6]",dend,"['L5PCtemplate[9].dend[67]', 'L5PCtemplate[9].dend[2]']",-0.0217294951383451
10,[84.12946469704029],[66.6],dend,['L5PCtemplate[10].dend[14]'],0.0
11,"[106.30384547392431, 130.03362670112426]","[66.6, 66.6]",dend,"['L5PCtemplate[11].dend[13]', 'L5PCtemplate[11].dend[66]']",-0.012151050894715354
12,"[155.86712106725082, 93.68792714710914]","[66.6, 66.6]",dend,"['L5PCtemplate[12].dend[67]', 'L5PCtemplate[12].dend[22]']",-0.020978567124529945
13,"[83.3143651168523, 134.43247134517557, 109.94421115086885, 83.46440955223416]","[66.6, 66.6, 66.6, 66.6]",dend,"['L5PCtemplate[13].dend[45]', 'L5PCtemplate[13].dend[67]', 'L5PCtemplate[13].dend[72]', 'L5PCtemplate[13].dend[2]']",-0.07990680046248144
14,[263.9305651416439],[66.6],dend,['L5PCtemplate[14].dend[70]'],-0.003509961088354885
15,"[84.0851219578796, 125.34785430040972, 104.99675813988493]","[66.6, 66.6, 66.6]",dend,"['L5PCtemplate[15].dend[19]', 'L5PCtemplate[15].dend[45]', 'L5PCtemplate[15].dend[49]']",-0.05219108490024382
