Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[0].soma[0]'],-0.13183951205206768
1,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[1].soma[0]'],-0.13183951205206768
2,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[2].soma[0]'],-0.13183951205206768
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.5269489649350589
4,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.26361207522995755
5,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[5].soma[0]'],0.0
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.5269489649350589
7,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.26361207522995755
8,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.26361207522995755
9,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[9].soma[0]'],-0.13183951205206768
10,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[10].soma[0]'],-0.13183951205206768
11,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.26361207522995755
12,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.13183951205206768
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.3953152079120059
14,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[14].soma[0]'],-0.13183951205206768
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.3953152079120059
16,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]']",-0.3953152079120059
17,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]']",-0.26361207522995755
18,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[18].soma[0]'],-0.13183951205206768
19,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[19].soma[0]'],0.0
20,[11.584681059280044],[70.00000000000003],soma,['L5PCtemplate[20].soma[0]'],0.0
21,"[11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]']",-0.26361207522995755
22,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[70.00000000000003, 70.00000000000003, 70.00000000000003]",soma,"['L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]']",-0.26361207522995755
