Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[0].soma[0]'],-0.10924295441583354
1,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[1].soma[0]'],-0.10924295441583354
2,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[2].soma[0]'],-0.10924295441583354
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.43669329025703973
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.21844073503700656
5,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[5].soma[0]'],-0.10924295441583354
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.5457481272429732
7,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.21844073503700656
8,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.21844073503700656
9,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.21844073503700656
10,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[10].soma[0]'],0.0
11,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.21844073503700656
12,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.21844073503700656
13,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]', 'L5PCtemplate[13].soma[0]']",-0.43669329025703973
14,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[14].soma[0]'],-0.10924295441583354
15,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]', 'L5PCtemplate[15].soma[0]']",-0.43669329025703973
16,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]', 'L5PCtemplate[16].soma[0]']",-0.21844073503700656
17,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]', 'L5PCtemplate[17].soma[0]']",-0.21844073503700656
18,"[11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[18].soma[0]', 'L5PCtemplate[18].soma[0]']",-0.21844073503700656
19,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[19].soma[0]'],-0.10924295441583354
20,[11.584681059280044],[57.999999999999986],soma,['L5PCtemplate[20].soma[0]'],-0.10924295441583354
21,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]', 'L5PCtemplate[21].soma[0]']",-0.32759083658078225
22,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[57.999999999999986, 57.999999999999986, 57.999999999999986, 57.999999999999986]",soma,"['L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]', 'L5PCtemplate[22].soma[0]']",-0.43669329025703973
