Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[61.049999999999976],soma,['L5PCtemplate[0].soma[0]'],-0.11498643971208367
1,[11.584681059280044],[61.049999999999976],soma,['L5PCtemplate[1].soma[0]'],-0.11498643971208367
2,[11.584681059280044],[61.049999999999976],soma,['L5PCtemplate[2].soma[0]'],-0.11498643971208367
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976, 61.049999999999976, 61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.4596363646584223
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.22992255770759584
5,[11.584681059280044],[61.049999999999976],soma,['L5PCtemplate[5].soma[0]'],-0.11498643971208367
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976, 61.049999999999976, 61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.574414126361944
7,"[11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.22992255770759584
8,"[11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.22992255770759584
9,"[11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.22992255770759584
10,[11.584681059280044],[61.049999999999976],soma,['L5PCtemplate[10].soma[0]'],0.0
11,"[11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[11].soma[0]', 'L5PCtemplate[11].soma[0]']",-0.22992255770759584
12,"[11.584681059280044, 11.584681059280044]","[61.049999999999976, 61.049999999999976]",soma,"['L5PCtemplate[12].soma[0]', 'L5PCtemplate[12].soma[0]']",-0.22992255770759584
