Node ID,Distance,Conductance,Type,Name,IPSC
0,[11.584681059280044],[58.52999999999997],soma,['L5PCtemplate[0].soma[0]'],-0.11024101215184601
1,[11.584681059280044],[58.52999999999997],soma,['L5PCtemplate[1].soma[0]'],-0.11024101215184601
2,[11.584681059280044],[58.52999999999997],soma,['L5PCtemplate[2].soma[0]'],-0.11024101215184601
3,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997, 58.52999999999997, 58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]', 'L5PCtemplate[3].soma[0]']",-0.4406802708118107
4,"[11.584681059280044, 11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]', 'L5PCtemplate[4].soma[0]']",-0.22043597486742783
5,[11.584681059280044],[58.52999999999997],soma,['L5PCtemplate[5].soma[0]'],-0.11024101215184601
6,"[11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997, 58.52999999999997, 58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]', 'L5PCtemplate[6].soma[0]']",-0.5507296681514617
7,"[11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[7].soma[0]', 'L5PCtemplate[7].soma[0]']",-0.22043597486742783
8,"[11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[8].soma[0]', 'L5PCtemplate[8].soma[0]']",-0.22043597486742783
9,"[11.584681059280044, 11.584681059280044]","[58.52999999999997, 58.52999999999997]",soma,"['L5PCtemplate[9].soma[0]', 'L5PCtemplate[9].soma[0]']",-0.22043597486742783
