channel x_pos y_pos z_pos
0 -8 -1910 -100
1 24 -1910 -100
2 -24 -1890 -100
3 8 -1890 -100
4 -8 -1870 -100
5 24 -1870 -100
6 -24 -1850 -100
7 8 -1850 -100
8 -8 -1830 -100
9 24 -1830 -100
10 -24 -1810 -100
11 8 -1810 -100
12 -8 -1790 -100
13 24 -1790 -100
14 -24 -1770 -100
15 8 -1770 -100
16 -8 -1750 -100
17 24 -1750 -100
18 -24 -1730 -100
19 8 -1730 -100
20 -8 -1710 -100
21 24 -1710 -100
22 -24 -1690 -100
23 8 -1690 -100
24 -8 -1670 -100
25 24 -1670 -100
26 -24 -1650 -100
27 8 -1650 -100
28 -8 -1630 -100
29 24 -1630 -100
30 -24 -1610 -100
31 8 -1610 -100
32 -8 -1590 -100
33 24 -1590 -100
34 -24 -1570 -100
35 8 -1570 -100
36 -8 -1550 -100
37 24 -1550 -100
38 -24 -1530 -100
39 8 -1530 -100
40 -8 -1510 -100
41 24 -1510 -100
42 -24 -1490 -100
43 8 -1490 -100
44 -8 -1470 -100
45 24 -1470 -100
46 -24 -1450 -100
47 8 -1450 -100
48 -8 -1430 -100
49 24 -1430 -100
50 -24 -1410 -100
51 8 -1410 -100
52 -8 -1390 -100
53 24 -1390 -100
54 -24 -1370 -100
55 8 -1370 -100
56 -8 -1350 -100
57 24 -1350 -100
58 -24 -1330 -100
59 8 -1330 -100
60 -8 -1310 -100
61 24 -1310 -100
62 -24 -1290 -100
63 8 -1290 -100
64 -8 -1270 -100
65 24 -1270 -100
66 -24 -1250 -100
67 8 -1250 -100
68 -8 -1230 -100
69 24 -1230 -100
70 -24 -1210 -100
71 8 -1210 -100
72 -8 -1190 -100
73 24 -1190 -100
74 -24 -1170 -100
75 8 -1170 -100
76 -8 -1150 -100
77 24 -1150 -100
78 -24 -1130 -100
79 8 -1130 -100
80 -8 -1110 -100
81 24 -1110 -100
82 -24 -1090 -100
83 8 -1090 -100
84 -8 -1070 -100
85 24 -1070 -100
86 -24 -1050 -100
87 8 -1050 -100
88 -8 -1030 -100
89 24 -1030 -100
90 -24 -1010 -100
91 8 -1010 -100
92 -8 -990 -100
93 24 -990 -100
94 -24 -970 -100
95 8 -970 -100
96 -8 -950 -100
97 24 -950 -100
98 -24 -930 -100
99 8 -930 -100
100 -8 -910 -100
101 24 -910 -100
102 -24 -890 -100
103 8 -890 -100
104 -8 -870 -100
105 24 -870 -100
106 -24 -850 -100
107 8 -850 -100
108 -8 -830 -100
109 24 -830 -100
110 -24 -810 -100
111 8 -810 -100
112 -8 -790 -100
113 24 -790 -100
114 -24 -770 -100
115 8 -770 -100
116 -8 -750 -100
117 24 -750 -100
118 -24 -730 -100
119 8 -730 -100
120 -8 -710 -100
121 24 -710 -100
122 -24 -690 -100
123 8 -690 -100
124 -8 -670 -100
125 24 -670 -100
126 -24 -650 -100
127 8 -650 -100
128 -8 -630 -100
129 24 -630 -100
130 -24 -610 -100
131 8 -610 -100
132 -8 -590 -100
133 24 -590 -100
134 -24 -570 -100
135 8 -570 -100
136 -8 -550 -100
137 24 -550 -100
138 -24 -530 -100
139 8 -530 -100
140 -8 -510 -100
141 24 -510 -100
142 -24 -490 -100
143 8 -490 -100
144 -8 -470 -100
145 24 -470 -100
146 -24 -450 -100
147 8 -450 -100
148 -8 -430 -100
149 24 -430 -100
150 -24 -410 -100
151 8 -410 -100
152 -8 -390 -100
153 24 -390 -100
154 -24 -370 -100
155 8 -370 -100
156 -8 -350 -100
157 24 -350 -100
158 -24 -330 -100
159 8 -330 -100
160 -8 -310 -100
161 24 -310 -100
162 -24 -290 -100
163 8 -290 -100
164 -8 -270 -100
165 24 -270 -100
166 -24 -250 -100
167 8 -250 -100
168 -8 -230 -100
169 24 -230 -100
170 -24 -210 -100
171 8 -210 -100
172 -8 -190 -100
173 24 -190 -100
174 -24 -170 -100
175 8 -170 -100
176 -8 -150 -100
177 24 -150 -100
178 -24 -130 -100
179 8 -130 -100
180 -8 -110 -100
181 24 -110 -100
182 -24 -90 -100
183 8 -90 -100
184 -8 -70 -100
185 24 -70 -100
186 -24 -50 -100
187 8 -50 -100
188 -8 -30 -100
189 24 -30 -100
190 -24 -10 -100
191 8 -10 -100
192 -8 10 -100
193 24 10 -100
194 -24 30 -100
195 8 30 -100
196 -8 50 -100
197 24 50 -100
198 -24 70 -100
199 8 70 -100
200 -8 90 -100
201 24 90 -100
202 -24 110 -100
203 8 110 -100
204 -8 130 -100
205 24 130 -100
206 -24 150 -100
207 8 150 -100
208 -8 170 -100
209 24 170 -100
210 -24 190 -100
211 8 190 -100
212 -8 210 -100
213 24 210 -100
214 -24 230 -100
215 8 230 -100
216 -8 250 -100
217 24 250 -100
218 -24 270 -100
219 8 270 -100
220 -8 290 -100
221 24 290 -100
